1	▁La	BO	_
2	▁société	IO	_
3	▁Renaud	IO	_
4	-	EO	_
5	Luc	EO	_
6	ienne	EO	_
7	▁a	BN	_
8	▁été	IN	_
9	▁autorisée	IN	_
10	▁à	IN	_
11	▁exploiter	EN	_
12	▁une	BA	_
13	▁activité	IA	_
14	▁de	IA	_
15	▁fabrication	IA	_
16	▁de	IA	_
17	▁savons	EA	_
18	,	O	_
19	▁d	O	_
20	'	O	_
21	enc	O	_
22	au	O	_
23	s	O	_
24	tique	O	_
25	▁et	O	_
26	▁peintures	O	_
27	▁d	O	_
28	'	O	_
29	une	O	_
30	▁part	O	_
31	,	O	_
32	▁et	O	_
33	▁de	O	_
34	▁régénération	BA	_
35	▁d	IA	_
36	'	IA	_
37	huile	BO	_
38	s	BO	_
39	▁de	IO	_
40	▁moteurs	IO	_
41	▁usagé	EO	_
42	es	O	_
43	▁d	O	_
44	'	O	_
45	autre	O	_
46	▁part	O	_
47	▁par	O	_
48	▁arrêté	BO	_
49	▁préfectoral	EO	_
50	▁du	O	_
51	▁4	BT	_
52	▁janvier	IT	_
53	▁1951	ET	_
54	.	ET	_


1	▁L	BO	_
2	’	BO	_
3	activité	EO	_
4	▁a	BN	_
5	▁cessé	EN	_
6	▁en	BT	_
7	▁1993	ET	_
8	.	ET	_


1	▁La	BO	_
2	▁société	IO	_
3	▁Renaud	IO	_
4	-	EO	_
5	Luc	EO	_
6	ienne	EO	_
7	▁a	BN	_
8	▁été	IN	_
9	▁déclarée	IN	_
10	▁en	IN	_
11	▁redressement	IN	_
12	▁judiciaire	EN	_
13	▁en	BT	_
14	▁1993	ET	_
15	▁et	O	_
16	▁mise	BN	_
17	▁en	IN	_
18	▁liquidation	EN	_
19	▁en	BT	_
20	▁1994	ET	_
21	.	ET	_


1	▁A	BT	_
2	▁sa	IT	_
3	▁cessation	EN	_
4	,	O	_
5	▁l	BO	_
6	'	BO	_
7	exploitant	EO	_
8	▁a	BN	_
9	▁laissé	O	_
10	▁à	O	_
11	▁l	O	_
12	'	O	_
13	abandon	O	_
14	▁sur	O	_
15	▁le	O	_
16	▁site	O	_
17	▁de	O	_
18	▁nombreux	O	_
19	▁déchets	O	_
20	.	O	_


1	▁Le	BO	_
2	▁site	EO	_
3	▁a	BN	_
4	▁été	IN	_
5	▁reconnu	IN	_
6	▁	EN	_
7	orphelin	O	_
8	▁par	O	_
9	▁lettres	O	_
10	▁du	O	_
11	▁ministère	BO	_
12	▁en	IO	_
13	▁charge	IO	_
14	▁de	IO	_
15	▁l	IO	_
16	'	IO	_
17	environnement	EO	_
18	▁de	BT	_
19	▁juillet	IT	_
20	▁1996	IT	_
21	▁et	IT	_
22	▁avril	IT	_
23	▁1997	ET	_
24	.	ET	_


1	▁Conformément	O	_
2	▁à	O	_
3	▁l	BO	_
4	'	BO	_
5	arrêté	IO	_
6	▁préfectoral	EO	_
7	▁du	O	_
8	▁2	BT	_
9	▁février	IT	_
10	▁1999,	ET	_
11	▁l	BO	_
12	'	BO	_
13	ADEME	EO	_
14	▁a	BN	_
15	▁fait	EN	_
16	▁procéder	EN	_
17	▁courant	BT	_
18	▁2000	IT	_
19	▁et	IT	_
20	▁2001	ET	_
21	▁à	BN	_
22	▁l	BN	_
23	'	BN	_
24	enlèvement	BN	_
25	▁des	IN	_
26	▁produits	IN	_
27	▁toxiques	EN	_
28	▁de	O	_
29	▁laboratoire	O	_
30	▁et	O	_
31	▁à	BN	_
32	▁la	BN	_
33	▁réalisation	IN	_
34	▁des	IN	_
35	▁diagnostic	IN	_
36	s	EN	_
37	▁	EN	_
38	amiante	EN	_
39	▁et	O	_
40	▁solidité	O	_
41	.	O	_


1	▁Au	O	_
2	▁total	O	_
3	,	O	_
4	▁l	BO	_
5	'	BO	_
6	ADEME	EO	_
7	▁a	BN	_
8	▁procédé	IN	_
9	▁à	IN	_
10	▁l	BN	_
11	'	BN	_
12	enlèvement	EN	_
13	▁et	O	_
14	▁à	O	_
15	▁l	O	_
16	'	BN	_
17	élimination	EN	_
18	▁de	O	_
19	▁2	BO	_
20	99	BO	_
21	▁tonnes	IO	_
22	▁de	IO	_
23	▁déchets	IO	_
24	▁dangereux	EO	_
25	.	O	_


1	▁Au	O	_
2	▁cours	O	_
3	▁de	O	_
4	▁l	BN	_
5	'	BN	_
6	exécution	IN	_
7	▁des	IN	_
8	▁travaux	EN	_
9	,	O	_
10	▁il	O	_
11	▁a	O	_
12	▁été	O	_
13	▁constaté	O	_
14	▁que	O	_
15	▁les	BO	_
16	▁d	IO	_
17	al	EO	_
18	lage	EO	_
19	▁à	O	_
20	▁l	O	_
21	'	O	_
22	intérieur	O	_
23	▁des	O	_
24	▁bâtiments	O	_
25	▁et	O	_
26	▁que	O	_
27	▁les	BO	_
28	▁sols	EO	_
29	▁à	O	_
30	▁l	O	_
31	'	O	_
32	extérieur	O	_
33	▁étaient	O	_
34	▁probablement	O	_
35	▁pollué	O	_
36	s	O	_
37	▁à	O	_
38	▁plusieurs	O	_
39	▁endroits	O	_
40	.	O	_


1	▁Conformément	BR	_
2	▁à	ER	_
3	▁l	BO	_
4	'	BO	_
5	arrêté	IO	_
6	▁préfectoral	EO	_
7	▁du	O	_
8	▁19	BT	_
9	▁octobre	IT	_
10	▁2005,	ET	_
11	▁l	BO	_
12	'	BO	_
13	ADEME	EO	_
14	▁a	BN	_
15	▁fait	IN	_
16	▁procéder	EN	_
17	▁à	ER	_
18	▁une	BN	_
19	▁étude	EN	_
20	▁qui	O	_
21	▁a	O	_
22	▁permis	O	_
23	▁de	O	_
24	▁caractérise	O	_
25	r	O	_
26	▁le	O	_
27	▁contexte	BO	_
28	▁géologique	IO	_
29	▁et	IO	_
30	▁hydro	EN	_
31	gé	EN	_
32	ologique	EN	_
33	▁du	O	_
34	▁site	O	_
35	▁et	O	_
36	▁de	O	_
37	▁mettre	O	_
38	▁en	O	_
39	▁place	O	_
40	▁un	O	_
41	▁réseau	BO	_
42	▁de	IO	_
43	▁pié	EO	_
44	z	EO	_
45	omètre	EO	_
46	s	EO	_
47	▁pour	O	_
48	▁le	BA	_
49	▁suivi	IA	_
50	▁de	IA	_
51	▁la	IA	_
52	▁qualité	IA	_
53	▁des	IA	_
54	▁eaux	IA	_
55	▁souterrain	EA	_
56	es	EA	_
57	.	O	_


1	▁De	BO	_
2	▁fortes	IO	_
3	▁contamination	EO	_
4	s	EO	_
5	▁en	O	_
6	▁	O	_
7	hydrocarbures	O	_
8	▁lourds	O	_
9	▁et	O	_
10	▁volatil	O	_
11	s	O	_
12	▁et	O	_
13	▁en	O	_
14	▁solvant	O	_
15	s	O	_
16	▁chlor	O	_
17	és	O	_
18	▁ont	BN	_
19	▁été	IN	_
20	▁constatée	EN	_
21	s	EN	_
22	.	O	_


1	▁Conformément	BR	_
2	▁à	ER	_
3	▁l	BO	_
4	'	BO	_
5	arrêté	IO	_
6	▁préfectoral	EO	_
7	▁du	O	_
8	▁20	BT	_
9	▁décembre	IT	_
10	▁2010,	ET	_
11	▁l	BO	_
12	'	BO	_
13	ADEME	EO	_
14	▁a	BN	_
15	▁fait	EN	_
16	▁réaliser	EN	_
17	▁de	BN	_
18	▁nouvelles	IN	_
19	▁investigations	EN	_
20	,	O	_
21	▁notamment	O	_
22	▁au	BL	_
23	▁niveau	EL	_
24	▁des	O	_
25	▁zones	O	_
26	▁d	O	_
27	'	O	_
28	habitat	O	_
29	s	O	_
30	▁et	O	_
31	▁des	O	_
32	▁locaux	O	_
33	▁de	O	_
34	▁travail	BA	_
35	▁situés	BL	_
36	▁à	IL	_
37	▁proximité	IL	_
38	▁du	IL	_
39	▁site	EL	_
40	,	O	_
41	▁au	BL	_
42	▁niveau	IL	_
43	▁du	IL	_
44	▁ruisseau	IL	_
45	▁le	IL	_
46	▁Jou	EL	_
47	ha	EL	_
48	▁situé	BL	_
49	▁en	IL	_
50	▁contre	IL	_
51	-	IL	_
52	bas	IL	_
53	▁du	IL	_
54	▁site	EL	_
55	,	O	_
56	▁au	BR	_
57	▁niveau	IR	_
58	▁de	ER	_
59	▁l	O	_
60	'	O	_
61	emprise	O	_
62	▁du	O	_
63	▁site	O	_
64	▁afin	O	_
65	▁de	BN	_
66	▁localiser	EN	_
67	▁les	IO	_
68	▁sources	IO	_
69	▁de	IO	_
70	▁pollution	EO	_
71	▁et	O	_
72	▁l	O	_
73	'	O	_
74	extension	O	_
75	▁du	O	_
76	▁pan	O	_
77	ache	O	_
78	▁de	O	_
79	▁pollution	O	_
80	.	O	_


1	▁Le	BA	_
2	▁suivi	IA	_
3	▁de	IA	_
4	▁la	BO	_
5	▁pollution	IO	_
6	▁des	IO	_
7	▁eaux	EO	_
8	▁est	O	_
9	▁poursuivi	O	_
10	.	O	_


1	▁A	O	_
2	▁l	O	_
3	'	O	_
4	issue	O	_
5	▁des	O	_
6	▁différentes	O	_
7	▁investigations	IL	_
8	▁réalisées	IL	_
9	▁sur	IL	_
10	▁et	IL	_
11	▁hors	IL	_
12	▁site	EL	_
13	,	O	_
14	▁6	BO	_
15	▁sources	IO	_
16	▁de	IO	_
17	▁pollution	EO	_
18	▁ont	BN	_
19	▁été	IN	_
20	▁caractérisée	EN	_
21	s	O	_
22	▁:	O	_


1	▁-	O	_
2	▁source	O	_
3	▁1	O	_
4	▁:	O	_
5	▁pollution	O	_
6	▁des	O	_
7	▁sols	O	_
8	▁en	O	_
9	▁surface	O	_
10	▁par	O	_
11	▁des	BO	_
12	▁huiles	EO	_
13	▁lourdes	EO	_
14	▁en	BL	_
15	▁contre	IL	_
16	-	IL	_
17	bas	IL	_
18	▁du	IL	_
19	▁jardin	IL	_
20	▁d	IL	_
21	'	IL	_
22	un	IL	_
23	▁rive	EL	_
24	rain	EL	_
25	▁;	O	_


1	▁-	O	_
2	▁source	O	_
3	▁2	O	_
4	▁:	O	_
5	▁présence	O	_
6	▁de	O	_
7	▁fût	O	_
8	s	O	_
9	▁enterré	O	_
10	s	O	_
11	▁dans	BL	_
12	▁la	IL	_
13	▁partie	IL	_
14	▁nord	IL	_
15	▁du	IL	_
16	▁site	EL	_
17	▁(	O	_
18	parc	O	_
19	▁à	O	_
20	▁fût	O	_
21	s	O	_
22	)	O	_
23	▁;	O	_


1	▁-	O	_
2	▁source	O	_
3	▁3	O	_
4	▁:	O	_
5	▁forte	O	_
6	▁pollution	O	_
7	▁des	O	_
8	▁sols	O	_
9	▁par	O	_
10	▁des	O	_
11	▁	O	_
12	hydrocarbures	BO	_
13	▁dans	BL	_
14	▁la	BO	_
15	▁zone	BO	_
16	▁bâtiment	EO	_
17	▁qui	O	_
18	▁est	O	_
19	▁à	O	_
20	▁l	O	_
21	'	O	_
22	origine	O	_
23	▁de	O	_
24	▁la	BN	_
25	▁pollution	EN	_
26	▁des	IA	_
27	▁eaux	IA	_
28	▁souterrain	EA	_
29	es	EA	_
30	▁et	O	_
31	▁de	O	_
32	▁la	O	_
33	▁présence	O	_
34	▁d	O	_
35	'	O	_
36	une	O	_
37	▁phase	O	_
