
#69.0139
#Le site est situé rue du Nizerand à Arnas (69).
1	Le	DET	BO	_
2	site	NOUN	EO	_
3	est	AUX	BR	_
4	situé	VERB	ER	_
5	rue	VERB	BL	_
6	du	DET	IL	_
7	Nizerand	NOUN	IL	_
8	à	ADP	IL	_
9	Arnas	PROPN	IL	_
10	(	PUNCT	EL	_
11	69	PRON	EL	_
12	)	PUNCT	EL	_
13	.	PUNCT	O	_


#La superficie du site est d'environ 8862 m².
1	La	DET	O	_
2	superficie	NOUN	O	_
3	du	DET	O	_
4	site	NOUN	O	_
5	est	AUX	O	_
6	d'	ADP	O	_
7	environ	ADV	O	_
8	8862	NUM	O	_
9	m²	PROPN	O	_
10	.	PUNCT	O	_


#Le ruisseau Nizerand se trouve à proximité immédiate du site et est à usage récréatifs.
1	Le	DET	BO	_
2	ruisseau	NOUN	IO	_
3	Nizerand	PROPN	EO	_
4	se	PRON	BL	_
5	trouve	VERB	IL	_
6	à	ADP	IL	_
7	proximité	NOUN	IL	_
8	immédiate	ADJ	IL	_
9	du	DET	IL	_
10	site	NOUN	EL	_
11	et	CCONJ	O	_
12	est	AUX	O	_
13	à	ADP	O	_
14	usage	NOUN	BR	_
15	récréatifs	ADJ	EA	_
16	.	PUNCT	O	_


#La Saône se trouve à 1500 m à l'ouest du site.
1	La	DET	BL	_
2	Saône	PROPN	EL	_
3	se	PRON	BL	_
4	trouve	VERB	IL	_
5	à	ADP	IL	_
6	1500	NUM	IL	_
7	m	NOUN	IL	_
8	à	ADP	IL	_
9	l'	DET	IL	_
10	ouest	NOUN	IL	_
11	du	DET	IL	_
12	site	NOUN	EL	_
13	.	PUNCT	O	_


#Une nappe d'eau souterraine se trouve au droit du site à 4-10 m de profondeur.
1	Une	DET	O	_
2	nappe	NOUN	O	_
3	d'	ADP	O	_
4	eau	NOUN	O	_
5	souterraine	PROPN	O	_
6	se	PRON	BL	_
7	trouve	AUX	IL	_
8	au	PROPN	IL	_
9	droit	VERB	IL	_
10	du	DET	IL	_
11	site	NOUN	EL	_
12	à	ADP	IL	_
13	4	NUM	EL	_
14	-	PUNCT	O	_
15	10	NUM	O	_
16	m	NOUN	O	_
17	de	ADP	O	_
18	profondeur	NOUN	O	_
19	.	PUNCT	O	_


#Le sens d'écoulement de la nappe est orienté est/sud-est.
1	Le	DET	O	_
2	sens	NOUN	O	_
3	d'	ADP	O	_
4	écoulement	NOUN	O	_
5	de	ADP	O	_
6	la	DET	O	_
7	nappe	PROPN	O	_
8	est	AUX	O	_
9	orienté	VERB	IL	_
10	est	AUX	IL	_
11	/	ADP	IL	_
12	sud	PROPN	IL	_
13	-	PUNCT	IL	_
14	est	AUX	EL	_
15	.	PUNCT	O	_


#Les captages AEP les plus proches en aval se trouvent à 1,5 km du site (captage Beauregard).
1	Les	DET	BO	_
2	captages	NOUN	IO	_
3	AEP	ADJ	EO	_
4	les	DET	EO	_
5	plus	ADV	EO	_
6	proches	ADJ	EO	_
7	en	ADP	EO	_
8	aval	NOUN	EO	_
9	se	PRON	BL	_
10	trouvent	VERB	IL	_
11	à	ADP	IL	_
12	1,5	NUM	IL	_
13	km	NOUN	IL	_
14	du	DET	IL	_
15	site	NOUN	EL	_
16	(	PUNCT	O	_
17	captage	NOUN	IL	_
18	Beauregard	PROPN	EL	_
19	)	PUNCT	O	_
20	.	PUNCT	O	_


#Un captage d'une laiterie se trouve également à 700 m en aval hydraulique.
1	Un	DET	BO	_
2	captage	NOUN	EO	_
3	d'	ADP	O	_
4	une	DET	BO	_
5	laiterie	NOUN	EO	_
6	se	PRON	BL	_
7	trouve	VERB	IL	_
8	également	ADV	IL	_
9	à	ADP	IL	_
10	700	NUM	IL	_
11	m	NOUN	IL	_
12	en	ADP	IL	_
