1	▁Cette	BO	_
2	▁petite	IO	_
3	▁unité	IO	_
4	▁de	IO	_
5	▁production	IO	_
6	▁de	IO	_
7	▁bordure	IO	_
8	s	IO	_
9	▁de	IO	_
10	▁jardin	EO	_
11	,	O	_
12	▁bal	O	_
13	us	O	_
14	trad	O	_
15	es	O	_
16	▁et	O	_
17	▁en	O	_
18	▁béton	BO	_
19	▁à	BN	_
20	▁fonctionné	EN	_
21	▁jusqu	BT	_
22	’	BT	_
23	en	IT	_
24	▁août	IT	_
25	▁1992	ET	_
26	.	O	_


1	▁Cette	BO	_
2	▁société	EO	_
3	▁a	BN	_
4	▁été	IN	_
5	▁dissout	BN	_
6	e	BN	_
7	▁le	BT	_
8	▁31	IT	_
9	▁novembre	IT	_
10	▁1993	ET	_
11	,	O	_
12	▁il	O	_
13	▁semble	O	_
14	▁que	O	_
15	▁le	BO	_
16	▁dernier	IO	_
17	▁	IO	_
18	exploitant	EO	_
19	▁Mr	BO	_
20	▁Claude	IO	_
21	▁RO	EO	_
22	D	EO	_
23	DE	EO	_
24	▁ait	BN	_
25	▁quitté	IN	_
26	▁le	IN	_
27	▁territoire	IN	_
28	▁français	EN	_
29	,	O	_
30	▁laissant	O	_
31	▁le	BO	_
32	▁site	IO	_
33	▁de	IO	_
34	▁production	EO	_
35	▁à	O	_
36	▁l	O	_
37	’	O	_
38	état	BL	_
39	▁de	IL	_
40	▁friche	IL	_
41	▁industrielle	EL	_
42	.	O	_


1	▁Ce	BO	_
2	▁site	EO	_
3	▁est	BL	_
4	▁situé	IL	_
5	▁en	IL	_
6	▁zone	IL	_
7	▁in	IL	_
8	onda	IL	_
9	ble	IL	_
10	▁à	IL	_
11	▁l	IL	_
12	’	IL	_
13	intérieur	IL	_
14	▁du	IL	_
15	▁périmètre	IL	_
16	▁de	IL	_
17	▁protection	IL	_
18	▁rapproché	IL	_
19	▁des	IL	_
20	▁puits	IL	_
21	▁de	IL	_
22	▁cap	BO	_
23	tage	EO	_
24	▁du	BL	_
25	▁S	IL	_
26	IV	EL	_
27	OM	EL	_
28	▁du	IL	_
29	▁Val	IL	_
30	▁d	EL	_
31	’	EL	_
32	Allier	EL	_
33	.	O	_


1	▁La	BO	_
2	▁rivière	IO	_
3	▁	BL	_
4	Allier	EL	_
5	▁est	BL	_
6	▁à	IL	_
7	▁30	IL	_
8	▁mètres	IL	_
9	▁de	IL	_
10	▁l	IL	_
11	’	IL	_
12	unique	IL	_
13	▁bâtiment	EO	_
14	▁constituant	O	_
15	▁l	O	_
16	’	O	_
17	unité	O	_
18	▁de	O	_
19	▁produits	O	_
20	▁PRE	BO	_
21	FA	IO	_
22	▁BE	EO	_
23	TON	EO	_
24	.	O	_


1	▁Les	BO	_
2	▁puits	IO	_
3	▁de	IO	_
4	▁cap	EO	_
5	tage	EO	_
6	▁sont	BL	_
7	▁situés	IL	_
8	▁à	IL	_
9	▁500	IL	_
10	▁m	IL	_
11	▁de	IL	_
12	▁l	IL	_
13	’	IL	_
14	ancienne	IL	_
15	▁usine	EL	_
16	,	O	_
17	▁cette	O	_
18	▁dernière	O	_
19	▁se	BL	_
20	▁trouve	IL	_
21	▁dans	IL	_
22	▁le	IL	_
23	▁périmètre	IL	_
24	▁de	IL	_
25	▁cap	IL	_
26	tage	IL	_
27	▁rapproché	EL	_
28	.	O	_


1	▁Un	BO	_
2	▁procès	IO	_
3	▁verbal	IO	_
4	▁d	IO	_
5	’	IO	_
