#40.0088

#Ancien atelier de peinture et de traitement des bois exploité par la SA CASTRA  sur la commune de Castets (40).
1	Ancien	ancien	ADJ	_	_	2	amod	_	_
2	atelier	atelier	NOUN	_	_	2	ROOT	_	_
3	de	de	ADP	_	_	4	case	_	_
4	peinture	peinture	NOUN	_	_	2	nmod	_	_
5	et	et	CCONJ	_	_	7	cc	_	_
6	de	de	ADP	_	_	7	case	_	_
7	traitement	traitement	NOUN	_	_	4	conj	_	_
8	des	de	ADP	_	_	9	case	_	_
9	bois	bois	NOUN	_	_	7	nmod	_	_
10	exploité	exploiter	VERB	_	_	2	acl	_	_
11	par	par	ADP	_	_	13	case	_	_
12	la	le	DET	_	_	13	det	_	_
13	SA	sa	NOUN	_	_	10	obl:agent	_	_
14	CASTRA	CASTRA	PROPN	_	_	13	nmod	_	_
15	 	 	SPACE	_	_	2	dep	_	_
16	sur	sur	ADP	_	_	18	case	_	_
17	la	le	DET	_	_	18	det	_	_
18	commune	commune	NOUN	_	_	2	nmod	_	_
19	de	de	ADP	_	_	20	case	_	_
20	Castets	Castets	PROPN	_	_	18	nmod	_	_
21	(	(	PUNCT	_	_	20	punct	_	_
22	40	40	PUNCT	_	_	20	nummod	_	_
23	)	)	PUNCT	_	_	18	punct	_	_
24	.	.	PUNCT	_	_	2	punct	_	_


#Cette installation a été autorisée par l'arrêté préfectoral du 5 novembre 1987.
1	Cette	ce	DET	_	_	2	det	_	_
2	installation	installation	NOUN	_	_	5	nsubj:pass	_	_
3	a	avoir	AUX	_	_	5	aux:tense	_	_
4	été	être	AUX	_	_	5	aux:pass	_	_
5	autorisée	autoriser	VERB	_	_	5	ROOT	_	_
6	par	par	ADP	_	_	8	case	_	_
7	l'	le	DET	_	_	8	det	_	_
8	arrêté	arrêté	NOUN	_	_	5	obl:agent	_	_
9	préfectoral	préfectoral	ADJ	_	_	8	amod	_	_
10	du	de	ADP	_	_	11	case	_	_
11	5	5	NUM	_	_	8	nmod	_	_
12	novembre	novembre	NOUN	_	_	11	nmod	_	_
13	1987	1987	NUM	_	_	12	nmod	_	_
14	.	.	PUNCT	_	_	5	punct	_	_


#Le 20/04/2010, la société CASTRA informe la DREAL qu'elle a quitté le site en 1992.
1	Le	le	DET	_	_	2	det	_	_
2	20/04/2010	20/04/2010	NUM	_	_	7	obl:mod	_	_
3	,	,	PUNCT	_	_	7	punct	_	_
4	la	le	DET	_	_	5	det	_	_
5	société	société	NOUN	_	_	7	nsubj	_	_
6	CASTRA	CASTRA	PROPN	_	_	5	nmod	_	_
7	informe	informe	VERB	_	_	7	ROOT	_	_
8	la	le	DET	_	_	9	det	_	_
9	DREAL	DREAL	PROPN	_	_	7	obj	_	_
10	qu'	que	SCONJ	_	_	13	mark	_	_
11	elle	lui	PRON	_	_	13	nsubj	_	_
12	a	avoir	AUX	_	_	13	aux:tense	_	_
13	quitté	quitter	VERB	_	_	7	ccomp	_	_
14	le	le	DET	_	_	15	det	_	_
15	site	site	NOUN	_	_	13	obj	_	_
16	en	en	ADP	_	_	17	case	_	_
17	1992	1992	NUM	_	_	13	obl:mod	_	_
18	.	.	PUNCT	_	_	7	punct	_	_


#La société CASTRA s'est transformée, depuis, en une entreprise artisanale de travaux en bâtiments (peintures, etc.).
1	La	le	DET	_	_	2	det	_	_
2	société	société	NOUN	_	_	6	nsubj	_	_
3	CASTRA	CASTRA	PROPN	_	_	2	nmod	_	_
4	s'	se	PRON	_	_	6	expl:comp	_	_
5	est	être	AUX	_	_	6	aux:tense	_	_
6	transformée	transformer	VERB	_	_	6	ROOT	_	_
7	,	,	PUNCT	_	_	6	punct	_	_
8	depuis	depuis	ADV	_	_	6	advmod	_	_
9	,	,	PUNCT	_	_	6	punct	_	_
10	en	en	ADP	_	_	12	case	_	_
11	une	un	DET	_	_	12	det	_	_
12	entreprise	entreprise	NOUN	_	_	6	obl:arg	_	_
13	artisanale	artisanal	ADJ	_	_	12	amod	_	_
14	de	de	ADP	_	_	15	case	_	_
15	travaux	travail	NOUN	_	_	12	nmod	_	_
16	en	en	ADP	_	_	17	case	_	_
17	bâtiments	bâtiment	NOUN	_	_	15	nmod	_	_
18	(	(	PUNCT	_	_	12	punct	_	_
19	peintures	peinture	NOUN	_	_	12	appos	_	_
20	,	,	PUNCT	_	_	12	punct	_	_
21	etc.	etc.	ADV	_	_	12	advmod	_	_
22	)	)	PUNCT	_	_	6	punct	_	_
23	.	.	PUNCT	_	_	23	ROOT	_	_


#A priori, la déclaration de cessation d’activité n’aurait pas été faite.
1	A	à	ADP	_	_	2	case	_	_
2	priori	priori	NOUN	_	_	14	obl:mod	_	_
3	,	,	PUNCT	_	_	14	punct	_	_
4	la	le	DET	_	_	5	det	_	_
5	déclaration	déclaration	NOUN	_	_	14	nsubj:pass	_	_
6	de	de	ADP	_	_	7	case	_	_
7	cessation	cessation	NOUN	_	_	5	nmod	_	_
8	d’	d’	ADP	_	_	9	case	_	_
9	activité	activité	NOUN	_	_	7	nmod	_	_
10	n’	n’	ADV	_	_	14	advmod	_	_
11	aurait	avoir	AUX	_	_	14	aux:tense	_	_
12	pas	pas	ADV	_	_	14	advmod	_	_
13	été	être	AUX	_	_	14	aux:pass	_	_
14	faite	faire	VERB	_	_	14	ROOT	_	_
15	.	.	PUNCT	_	_	14	punct	_	_


#Le site de Castets est occupé par l'entreprise DASSE Constructeur.
1	Le	le	DET	_	_	2	det	_	_
2	site	site	NOUN	_	_	6	nsubj:pass	_	_
3	de	de	ADP	_	_	4	case	_	_
4	Castets	Castets	PROPN	_	_	2	nmod	_	_
5	est	être	AUX	_	_	6	aux:pass	_	_
6	occupé	occuper	VERB	_	_	6	ROOT	_	_
7	par	par	ADP	_	_	9	case	_	_
8	l'	le	DET	_	_	9	det	_	_
9	entreprise	entreprise	NOUN	_	_	6	obl:agent	_	_
10	DASSE	DASSE	PROPN	_	_	9	nmod	_	_
11	Constructeur	Constructeur	PROPN	_	_	9	nmod	_	_
12	.	.	PUNCT	_	_	6	punct	_	_


#1 - DIAGNOSTIC
1	1	1	NUM	_	_	1	ROOT	_	_
2	-	-	PUNCT	_	_	3	punct	_	_
3	DIAGNOSTIC	DIAGNOSTIC	PROPN	_	_	3	ROOT	_	_


#Le rapport de l'inspection proposant une étude de sol n'a jamais abouti par la signature d'un arrêté préfectoral.
1	Le	le	DET	_	_	2	det	_	_
2	rapport	rapport	NOUN	_	_	14	nsubj	_	_
3	de	de	ADP	_	_	5	case	_	_
4	l'	le	DET	_	_	5	det	_	_
5	inspection	inspection	NOUN	_	_	2	nmod	_	_
6	proposant	proposer	VERB	_	_	5	acl	_	_
7	une	un	DET	_	_	8	det	_	_
8	étude	étude	NOUN	_	_	6	obj	_	_
9	de	de	ADP	_	_	10	case	_	_
10	sol	sol	NOUN	_	_	8	nmod	_	_
11	n'	n'	ADV	_	_	14	advmod	_	_
12	a	avoir	AUX	_	_	14	aux:tense	_	_
13	jamais	jamais	ADV	_	_	14	advmod	_	_
14	abouti	aboutir	VERB	_	_	14	ROOT	_	_
15	par	par	ADP	_	_	17	case	_	_
16	la	le	DET	_	_	17	det	_	_
17	signature	signature	NOUN	_	_	14	obl:mod	_	_
18	d'	de	ADP	_	_	20	case	_	_
19	un	un	DET	_	_	20	det	_	_
