
#33.0084
#Ancien site de créosotage du bois.
1	Ancien	ancien	BO	_
2	site	site	EO	_
3	de	de	O	_
4	créosotage	créosotage	IA	_
5	du	de	IA	_
6	bois	bois	EA	_
7	.	.	O	_


#La Sté Anonyme des Ets Armand Beaumartin acquière l'usine de St Médard d'Eyrans en 1913 pour la fabrication :
1	La	le	BO	_
2	Sté	sté	IO	_
3	Anonyme	anonyme	IO	_
4	des	de	IO	_
5	Ets	et	IO	_
6	Armand	Armand	IO	_
7	Beaumartin	Beaumartin	EO	_
8	acquière	acquérir	BN	_
9	l'	le	BO	_
10	usine	usine	EO	_
11	de	de	O	_
12	St	St	BL	_
13	Médard	Médard	BL	_
14	d'	de	IL	_
15	Eyrans	Eyrans	EL	_
16	en	en	BT	_
17	1913	1913	ET	_
18	pour	pour	O	_
19	la	le	BA	_
20	fabrication	fabrication	EA	_
21	:	:	O	_


#- de poteaux en bois et leur imprégnation d'une solution aqueuse de sulfate de cuivre : procédé du Docteur Boucherie
1	-	-	O	_
2	de	de	O	_
3	poteaux	poteau	O	_
4	en	en	O	_
5	bois	bois	O	_
6	et	et	O	_
7	leur	leur	O	_
8	imprégnation	imprégnation	BA	_
9	d'	de	O	_
10	une	un	O	_
11	solution	solution	O	_
12	aqueuse	aqueux	O	_
13	de	de	O	_
14	sulfate	sulfate	O	_
15	de	de	O	_
16	cuivre	cuivre	O	_
17	:	:	O	_
18	procédé	procédé	O	_
19	du	de	O	_
20	Docteur	docteur	O	_
21	Boucherie	Boucherie	O	_


#- de traverses de chemin de fer et leur imprégnation avec de la créosole, à l'aide d'autoclaves par vide et pression.
1	-	-	O	_
2	de	de	O	_
3	traverses	traverse	BO	_
4	de	de	IO	_
5	chemin	chemin	IO	_
6	de	de	IO	_
7	fer	fer	EO	_
8	et	et	O	_
9	leur	leur	BA	_
10	imprégnation	imprégnation	BA	_
11	avec	avec	O	_
12	de	de	O	_
13	la	le	BO	_
14	créosole	créosole	EO	_
15	,	,	O	_
16	à	à	O	_
17	l'	le	O	_
18	aide	aide	O	_
19	d'	de	O	_
20	autoclaves	autoclave	O	_
21	par	par	O	_
22	vide	vide	O	_
23	et	et	O	_
24	pression	pression	O	_
25	.	.	O	_


#Le démantèlement des installations Boucherie et la modernisation de la fabrication des poteaux par la mise en place d'un autoclave pour injecter la solution de sulfate de cuivre a lieu en 1950.
1	Le	le	BN	_
2	démantèlement	démantèlement	BN	_
3	des	de	IN	_
4	installations	installation	IN	_
5	Boucherie	boucherie	BO	_
6	et	et	O	_
7	la	le	BA	_
8	modernisation	modernisation	IA	_
9	de	de	IA	_
10	la	le	IA	_
11	fabrication	fabrication	IA	_
12	des	de	IA	_
13	poteaux	poteau	IA	_
14	par	par	O	_
15	la	le	BN	_
16	mise	mise	BN	_
17	en	en	IN	_
18	place	place	IN	_
19	d'	de	IN	_
20	un	un	IN	_
21	autoclave	autoclave	EN	_
22	pour	pour	O	_
23	injecter	injecter	BA	_
24	la	le	BA	_
25	solution	solution	IA	_
26	de	de	IA	_
27	sulfate	sulfate	EA	_
28	de	de	IO	_
29	cuivre	cuivre	EO	_
30	a	avoir	BN	_
31	lieu	lieu	EN	_
32	en	en	BT	_
33	1950	1950	ET	_
34	.	.	O	_


#En 1980, la Sté Xylochimie installe sur le site un autoclave, pour le traitement du bois, utilisant une solution aqueuse contenant des sels métalliques de cuivre, chrome et arsenic.
1	En	en	BT	_
2	1980	1980	ET	_
3	,	,	ET	_
4	la	le	BO	_
5	Sté	sté	IO	_
6	Xylochimie	Xylochimie	EO	_
7	installe	installe	BN	_
8	sur	sur	IL	_
9	le	le	IL	_
10	site	site	EL	_
