
#74.0049
#M.
1	M.	m.	O	_


#Gaston COTTERLAZ-CARRAT a été autorisé, par arrêté n°85-1520 du 22 novembre 1985 à exploiter un chantier de stockage et de récupération de métaux et de carcasses de véhicules hors d'usage sur les parcelles de la section D du cadastre numérotées : 3156, 3180, 3567, 3636, 3638, 3640.
1	Gaston	Gaston	BN	_
2	COTTERLAZ	COTTERLAZ	EO	_
3	-	-	IO	_
4	CARRAT	CARRAT	EO	_
5	a	avoir	BN	_
6	été	être	IN	_
7	autorisé	autoriser	EN	_
8	,	,	O	_
9	par	par	O	_
10	arrêté	arrêté	O	_
11	n°	numéro	O	_
12	85	85	O	_
13	-	-	O	_
14	1520	1520	O	_
15	du	de	BT	_
16	22	22	IT	_
17	novembre	novembre	IT	_
18	1985	1985	ET	_
19	à	à	O	_
20	exploiter	exploiter	BN	_
21	un	un	BO	_
22	chantier	chantier	IO	_
23	de	de	IO	_
24	stockage	stockage	IO	_
25	et	et	IO	_
26	de	de	IO	_
27	récupération	récupération	IO	_
28	de	de	IO	_
29	métaux	métal	EO	_
30	et	et	O	_
31	de	de	O	_
32	carcasses	carcasse	BO	_
33	de	de	IO	_
34	véhicules	véhicule	EO	_
35	hors	hors	O	_
36	d'	de	O	_
37	usage	usage	O	_
38	sur	sur	O	_
39	les	le	O	_
40	parcelles	parcelle	O	_
41	de	de	O	_
42	la	le	O	_
43	section	section	O	_
44	D	d	O	_
45	du	de	O	_
46	cadastre	cadastre	O	_
47	numérotées	numéroter	O	_
48	 	 	O	_
49	:	:	O	_
50	3156	3156	O	_
51	,	,	O	_
52	3180	3180	O	_
53	,	,	O	_
54	3567	3567	O	_
55	,	,	O	_
56	3636	3636	O	_
57	,	,	O	_
58	3638	3638	O	_
59	,	,	O	_
60	3640	3640	O	_
61	.	.	O	_


#Le site n'est plus exploité aujourd'hui.
1	Le	le	BO	_
2	site	site	EO	_
3	n'	n'	BN	_
4	est	être	BN	_
5	plus	plus	IN	_
6	exploité	exploiter	EN	_
7	aujourd'hui	aujourd'hui	BT	_
8	.	.	O	_


#L'exploitant est décédé.
1	L'	le	BO	_
2	exploitant	exploitant	EO	_
3	est	être	BN	_
4	décédé	décéder	EN	_
5	.	.	O	_


#Lors de la visite d'inspection du 9 août 2010, Mme COTTERLAZ-CARRAT a confirmé que personne n'avait repris l'exploitation de l'installation classée.
1	Lors	lors	BN	_
2	de	de	IN	_
3	la	le	EN	_
4	visite	visite	EN	_
5	d'	de	EN	_
6	inspection	inspection	EN	_
7	du	de	O	_
8	9	9	BT	_
9	août	août	IT	_
10	2010	2010	ET	_
11	,	,	ET	_
12	Mme	mme	BO	_
13	COTTERLAZ	COTTERLAZ	EO	_
14	-	-	IO	_
15	CARRAT	CARRAT	EO	_
16	a	avoir	O	_
17	confirmé	confirmer	O	_
18	que	que	O	_
19	personne	personne	O	_
20	n'	n'	O	_
21	avait	avoir	O	_
22	repris	reprendre	O	_
23	l'	le	BO	_
24	exploitation	exploitation	EN	_
25	de	de	O	_
26	l'	le	BO	_
27	installation	installation	IO	_
28	classée	classer	EO	_
29	.	.	O	_


