
#12.0012
#Unité de fabrication d'injecteurs et bougies de préchauffage pour véhicules routiers, comportant un atelier d'usinage des métaux et de traitement de surfaces.
1	Unité	unité	BA	_
2	de	de	BA	_
3	fabrication	fabrication	IA	_
4	d'	de	IA	_
5	injecteurs	injecteur	IA	_
6	et	et	IA	_
7	bougies	bougie	IA	_
8	de	de	IA	_
9	préchauffage	préchauffage	IA	_
10	pour	pour	O	_
11	véhicules	véhicule	O	_
12	routiers	routier	O	_
13	,	,	O	_
14	comportant	comporter	BR	_
15	un	un	BO	_
16	atelier	atelier	IO	_
17	d'	de	BA	_
18	usinage	usinage	IA	_
19	des	de	IA	_
20	métaux	métal	EA	_
21	et	et	O	_
22	de	de	O	_
23	traitement	traitement	BA	_
24	de	de	IA	_
25	surfaces	surface	EA	_
26	.	.	O	_


#Elle est soumise à :
1	Elle	lui	O	_
2	est	être	O	_
3	soumise	soumettre	O	_
4	à	à	O	_
5	:	:	O	_


#- l'arrêté préfectoral du 28 juillet 1993, autorisant à poursuivre l'exploitation d'un établissement de fabrication d'accessoires mécaniques, notamment pour l'automobile;
1	-	-	O	_
2	l'	le	BO	_
3	arrêté	arrêté	BO	_
4	préfectoral	préfectoral	EO	_
5	du	de	O	_
6	28	28	BT	_
7	juillet	juillet	IT	_
8	1993	1993	ET	_
9	,	,	O	_
10	autorisant	autoriser	O	_
11	à	à	O	_
12	poursuivre	poursuivre	BN	_
13	l'	le	BN	_
14	exploitation	exploitation	EN	_
15	d'	de	ER	_
16	un	un	BO	_
17	établissement	établissement	IA	_
18	de	de	IA	_
19	fabrication	fabrication	IA	_
20	d'	de	IA	_
21	accessoires	accessoire	IA	_
22	mécaniques	mécanique	EA	_
23	,	,	O	_
24	notamment	notamment	O	_
25	pour	pour	O	_
26	l'	le	O	_
27	automobile	automobile	O	_
28	;	;	O	_


#- l'arrêté préfectoral complémentaire du 29 octobre 2004, imposant des prescriptions techniques pour l'exploitation d'une installation de réfrigération comportant des tours de réfrigération;
1	-	-	O	_
2	l'	le	BO	_
3	arrêté	arrêté	IO	_
4	préfectoral	préfectoral	IO	_
5	complémentaire	complémentaire	EO	_
6	du	de	O	_
7	29	29	BT	_
8	octobre	octobre	IT	_
9	2004	2004	ET	_
10	,	,	ET	_
11	imposant	imposer	BN	_
12	des	un	BO	_
13	prescriptions	prescription	IO	_
14	techniques	technique	EO	_
15	pour	pour	O	_
16	l'	le	BO	_
17	exploitation	exploitation	BR	_
18	d'	de	IR	_
19	une	un	BO	_
20	installation	installation	IA	_
21	de	de	IA	_
22	réfrigération	réfrigération	EA	_
23	comportant	comporter	O	_
24	des	un	O	_
25	tours	tour	BO	_
26	de	de	IO	_
27	réfrigération	réfrigération	EO	_
28	;	;	O	_


#- l'arrêté préfectoral d'autorisation d'exploiter une usine de fabrication d'équipements pour automobiles du 11 mai 2005, annulant et remplaçant les prescriptions des arrêtés préfectoraux du 28 juillet 1993 ainsi que du 29 octobre 2004.
1	-	-	O	_
2	l'	le	BO	_
3	arrêté	arrêté	IO	_
4	préfectoral	préfectoral	IO	_
5	d'	de	EO	_
