
#42.0133
#Historique du site :
1	Historique	historique	O	_
2	du	de	O	_
3	site	site	O	_
4	:	:	O	_


#- 1829 : Première usine construite sur le site (HOLTZER)
1	-	-	O	_
2	1829	1829	BT	_
3	:	:	O	_
4	Première	premier	BN	_
5	usine	usine	IN	_
6	construite	construire	EN	_
7	sur	sur	O	_
8	le	le	O	_
9	site	site	O	_
10	(	(	O	_
11	HOLTZER	HOLTZER	EO	_
12	)	)	O	_


#- 1853 : Production des premiers cylindres de laminoirs forgés (VERDIER)
1	-	-	O	_
2	1853	1853	ET	_
3	:	:	BA	_
4	Production	production	IA	_
5	des	de	IA	_
6	premiers	premier	IA	_
7	cylindres	cylindre	IA	_
8	de	de	IA	_
9	laminoirs	laminoir	EA	_
10	forgés	forger	BO	_
11	(	(	O	_
12	VERDIER	VERDIER	O	_
13	)	)	O	_


#- 1953 : Création de la C.
1	-	-	O	_
2	1953	1953	O	_
3	:	:	O	_
4	Création	création	BN	_
5	de	de	O	_
6	la	le	BO	_
7	C.	c.	BO	_


#.F.
1	.F.	.f.	O	_


# : Compagnie des Ateliers et Forges de la Loire(VERDIER + HOLTZER + entreprises locales)
1	 	 	BO	_
2	:	:	IO	_
3	Compagnie	compagnie	IO	_
4	des	de	IO	_
5	Ateliers	atelier	IO	_
6	et	et	IO	_
7	Forges	forge	EO	_
8	de	de	IA	_
9	la	le	IA	_
10	Loire(VERDIER	Loire(VERDIER	EL	_
11	+	plus	EO	_
12	HOLTZER	HOLTZER	EO	_
13	+	plus	O	_
14	entreprises	entreprise	O	_
15	locales	local	O	_
16	)	)	O	_


#- 1970 : Création de Creusot Loire (C.
1	-	-	O	_
2	1970	1970	O	_
3	:	:	O	_
4	Création	création	BN	_
5	de	de	BO	_
6	Creusot	Creusot	IO	_
7	Loire	Loire	EO	_
8	(	(	O	_
9	C.	c.	BO	_


#.F.
1	.F.	.f.	O	_


# + SCHNEIDER)
1	 	 	O	_
2	+	plus	EO	_
3	SCHNEIDER	SCHNEIDER	EO	_
4	)	)	O	_


#- 1983 : Création de C3F (Membre du groupe USINOR-SACILOR)
1	-	-	O	_
2	1983	1983	ET	_
3	:	:	BN	_
4	Création	création	BN	_
5	de	de	BO	_
6	C3F	C3F	EO	_
7	(	(	O	_
8	Membre	membre	O	_
9	du	de	O	_
10	groupe	groupe	O	_
11	USINOR	USINOR	EO	_
12	-	-	O	_
13	SACILOR	SACILOR	O	_
14	)	)	O	_


#- 1985 : Création de CHAVANNE KETIN (Toutes les entreprises françaises de cylindres de laminoirs forgés)
1	-	-	O	_
2	1985	1985	O	_
3	:	:	O	_
4	Création	création	BN	_
5	de	de	O	_
6	CHAVANNE	CHAVANNE	BO	_
7	KETIN	KETIN	EO	_
8	(	(	O	_
9	Toutes	tout	O	_
10	les	le	O	_
11	entreprises	entreprise	O	_
12	françaises	français	O	_
13	de	de	O	_
14	cylindres	cylindre	IA	_
15	de	de	IA	_
16	laminoirs	laminoir	EA	_
17	forgés	forger	EA	_
18	)	)	O	_


#- 1993 : Intégration à FORCAST (USINOR-SACILOR + COCKERILL)
1	-	-	O	_
2	1993	1993	O	_
3	:	:	O	_
4	Intégration	intégration	BR	_
5	à	à	ER	_
6	FORCAST	FORCAST	BO	_
7	(	(	O	_
8	USINOR	USINOR	EO	_
9	-	-	O	_
10	SACILOR	SACILOR	O	_
11	+	plus	O	_
12	COCKERILL	COCKERILL	O	_
13	)	)	O	_


#- 1998 : Intégration de l’usine au groupe AKERS
1	-	-	O	_
2	1998	1998	O	_
3	:	:	O	_
4	Intégration	intégration	BN	_
5	de	de	O	_
6	l’	l’	BO	_
7	usine	usine	EO	_
8	au	au	ER	_
9	groupe	groupe	BO	_
10	AKERS	AKERS	EO	_


#- 2000 : Création de l’unité AKERS « Specialty Rolls »
1	-	-	O	_
2	2000	2000	ET	_
3	:	:	BN	_
4	Création	création	BN	_
5	de	de	ER	_
