
#91.0026
#L\'activité du site était dédiée à la fabrication de joints.
1	L\'activité	l\'activité	IO	_
2	du	de	IO	_
3	site	site	EO	_
4	était	être	BR	_
5	dédiée	dédier	IR	_
6	à	à	ER	_
7	la	le	IA	_
8	fabrication	fabrication	IA	_
9	de	de	IA	_
10	joints	joint	EA	_
11	.	.	O	_


#L\'établissement était autorisé par arrêté préfectoral du 14 décembre 1992 cependant certaines activités ayant cessé, le site est passé sous le régime de la déclaration en février 2001.
1	L\'établissement	l\'établissement	EO	_
2	était	être	O	_
3	autorisé	autoriser	BO	_
4	par	par	BO	_
5	arrêté	arrêté	BO	_
6	préfectoral	préfectoral	EO	_
7	du	de	O	_
8	14	14	BT	_
9	décembre	décembre	IT	_
10	1992	1992	ET	_
11	cependant	cependant	O	_
12	certaines	certain	BO	_
13	activités	activité	EO	_
14	ayant	avoir	BN	_
15	cessé	cesser	EN	_
16	,	,	O	_
17	le	le	BO	_
18	site	site	EO	_
19	est	être	BN	_
20	passé	passer	EN	_
21	sous	sous	BR	_
22	le	le	BN	_
23	régime	régime	IN	_
24	de	de	IN	_
25	la	le	IN	_
26	déclaration	déclaration	EN	_
27	en	en	BT	_
28	février	février	IT	_
29	2001	2001	ET	_
30	.	.	O	_


#La société SOFAJOINT a cessé définitivement ses activités le 1er février 2003.
1	La	le	BO	_
2	société	société	IO	_
3	SOFAJOINT	SOFAJOINT	EO	_
4	a	avoir	BN	_
5	cessé	cesser	IN	_
6	définitivement	définitivement	IN	_
7	ses	son	IN	_
8	activités	activité	EN	_
9	le	le	BT	_
10	1er	premier	IT	_
11	février	février	IT	_
12	2003	2003	ET	_
13	.	.	ET	_


#CE SITE A ETE A L\'ORIGINE D\'UNE POLLUTION DE LA RIVIERE ORGE DUE A UN DEVERSEMENT CHRONIQUE DE TOLUENE.
1	CE	ce	BO	_
2	SITE	site	EO	_
3	A	avoir	BR	_
4	ETE	ete	IR	_
5	A	à	ER	_
6	L\'ORIGINE	l\'origine	EN	_
7	D\'UNE	d\'une	BN	_
8	POLLUTION	pollution	EN	_
9	DE	de	IL	_
10	LA	le	IL	_
11	RIVIERE	riviere	IL	_
12	ORGE	orge	EL	_
13	DUE	devoir	IR	_
14	A	à	ER	_
15	UN	un	BN	_
16	DEVERSEMENT	deversement	BN	_
17	CHRONIQUE	chronique	EN	_
18	DE	de	O	_
19	TOLUENE	toluene	BO	_
20	.	.	O	_


#LA NAPPE D\'ACCOMPAGNEMENT DE LA RIVIERE A PRESENTE EGALEMENT DES TRACES DE POLLUTION.
1	LA	le	BO	_
2	NAPPE	nappe	EO	_
3	D\'ACCOMPAGNEMENT	d\'accompagnement	EN	_
4	DE	de	O	_
5	LA	le	BO	_
6	RIVIERE	riviere	EL	_
7	A	à	BR	_
8	PRESENTE	presente	IR	_
9	EGALEMENT	egalement	IR	_
10	DES	de	BO	_
11	TRACES	trace	IO	_
12	DE	de	IO	_
13	POLLUTION	pollution	EA	_
14	.	.	O	_


#DES TRAVAUX DE MODIFICATION DES INSTALLATIONS POUR REMEDIER AU REJET ONT ETE REALISES EN JUIN 2000 (associés à un suivi de la qualité des rejets).
1	DES	un	BN	_
2	TRAVAUX	travail	IN	_
3	DE	de	IN	_
4	MODIFICATION	modification	EN	_
5	DES	de	O	_
6	INSTALLATIONS	installation	EN	_
7	POUR	pour	O	_
8	REMEDIER	remedier	O	_
9	AU	au	O	_
10	REJET	rejet	EN	_
11	ONT	avoir	BN	_
12	ETE	ete	EN	_
13	REALISES	realiser	EN	_
14	EN	en	BT	_
15	JUIN	juin	IT	_
16	2000	2000	ET	_
17	(	(	O	_
18	associés	associer	O	_
19	à	à	O	_
20	un	un	BA	_
21	suivi	suivi	IA	_
22	de	de	IA	_
23	la	le	IA	_
24	qualité	qualité	IA	_
25	des	de	IA	_
26	rejets	rejet	EA	_
27	)	)	O	_
28	.	.	O	_


#Toute trace de la pollution chronique a disparu.
1	Toute	tout	O	_
2	trace	trace	O	_
3	de	de	O	_
4	la	le	O	_
5	pollution	pollution	O	_
6	chronique	chronique	O	_
7	a	avoir	O	_
8	disparu	disparaître	O	_
9	.	.	O	_


#Cet établissement a fait l\'objet de \"l\'action nationale amiante\" en 2006, qui consistait à réexaminer la situation des anciens sites industriels d\'exploitation ou de transformation d\'amiante.
1	Cet	ce	BO	_
2	établissement	établissement	EO	_
3	a	avoir	BR	_
4	fait	faire	IR	_
5	l\'objet	l\'objet	IR	_
6	de	de	ER	_
7	\"l\'action	\"l\'action	IO	_
8	nationale	national	IO	_
9	amiante\	amiante\	EO	_
10	"	"	O	_
11	en	en	BT	_
12	2006	2006	ET	_
13	,	,	ET	_
14	qui	qui	O	_
15	consistait	consister	O	_
16	à	à	O	_
17	réexaminer	réexaminer	EN	_
18	la	le	BO	_
19	situation	situation	EO	_
20	des	de	O	_
21	anciens	ancien	BO	_
22	sites	site	IO	_
23	industriels	industriel	IO	_
24	d\'exploitation	d\'exploitation	BA	_
25	ou	ou	IA	_
26	de	de	IA	_
27	transformation	transformation	IA	_
28	d\'amiante	d\'amiante	EO	_
29	.	.	O	_


#Dans ce cadre, à la demande de l\'inspection des installations classées, la société SOFAJOINT, reprise par le groupe LATTY  INTERNATIONAL, a transmis le 20 septembre 2005 un dossier technique de synthèse, rappelant l’historique de l’exploitation de l’unité de Viry-Châtillon et explicitant les actions de nettoyage effectuées sur le site.
1	Dans	dans	O	_
2	ce	ce	O	_
3	cadre	cadre	O	_
4	,	,	O	_
5	à	à	BR	_
6	la	le	IR	_
7	demande	demande	IR	_
8	de	de	ER	_
9	l\'inspection	l\'inspection	IO	_
10	des	de	IO	_
11	installations	installation	IO	_
12	classées	classer	EO	_
13	,	,	O	_
14	la	le	BO	_
15	société	société	IO	_
16	SOFAJOINT	SOFAJOINT	EO	_
17	,	,	O	_
18	reprise	reprendre	O	_
19	par	par	O	_
20	le	le	BO	_
21	groupe	groupe	BO	_
22	LATTY	LATTY	EO	_
23	 	 	EO	_
24	INTERNATIONAL	INTERNATIONAL	EO	_
25	,	,	BN	_
26	a	avoir	EN	_
27	transmis	transmettre	EN	_
28	le	le	BT	_
29	20	20	IT	_
30	septembre	septembre	IT	_
31	2005	2005	ET	_
32	un	un	BO	_
33	dossier	dossier	BO	_
34	technique	technique	EO	_
35	de	de	O	_
36	synthèse	synthèse	O	_
37	,	,	O	_
38	rappelant	rappeler	O	_
39	l’	l’	O	_
40	historique	historique	O	_
41	de	de	O	_
42	l’	l’	BN	_
43	exploitation	exploitation	EN	_
44	de	de	BO	_
45	l’	l’	EN	_
46	unité	unité	EN	_
47	de	de	BL	_
48	Viry	Viry	BL	_
49	-	-	BL	_
50	Châtillon	Châtillon	EL	_
51	et	et	BR	_
52	explicitant	expliciter	BR	_
53	les	le	BN	_
54	actions	action	IN	_
55	de	de	IN	_
56	nettoyage	nettoyage	EN	_
57	effectuées	effectuer	O	_
58	sur	sur	O	_
59	le	le	O	_
60	site	site	O	_
61	.	.	O	_


#D’autre part, l’exploitant a indiqué que le site était entièrement bétonné, même du temps de la société MAJAC, ancien fournisseur de SOFAJOINT, et a insisté sur l’impossibilité d’enfouir des déchets.
1	D’	d’	O	_
2	autre	autre	O	_
3	part	part	O	_
4	,	,	O	_
5	l’	l’	BO	_
6	exploitant	exploitant	EO	_
7	a	avoir	O	_
8	indiqué	indiquer	O	_
9	que	que	O	_
10	le	le	BO	_
11	site	site	EO	_
12	était	être	O	_
13	entièrement	entièrement	O	_
14	bétonné	bétonner	BO	_
15	,	,	O	_
16	même	même	O	_
17	du	de	O	_
18	temps	temps	O	_
19	de	de	O	_
20	la	le	BO	_
21	société	société	IO	_
22	MAJAC	MAJAC	IO	_
23	,	,	O	_
24	ancien	ancien	O	_
25	fournisseur	fournisseur	O	_
26	de	de	O	_
27	SOFAJOINT	SOFAJOINT	EO	_
28	,	,	O	_
29	et	et	O	_
30	a	avoir	O	_
31	insisté	insister	O	_
32	sur	sur	O	_
33	l’	l’	O	_
34	impossibilité	impossibilité	O	_
35	d’	d’	O	_
36	enfouir	enfouir	O	_
37	des	un	O	_
38	déchets	déchet	O	_
39	.	.	O	_


#L\'inspection des installations classées a conclu au regard des éléments fournis par l\'expoitant que le site n\'avait pas besoin d\'action complémentaire.
