
#42.0162
#Historique :
1	Historique	historique	O	_
2	 	 	O	_
3	:	:	O	_


#- Vers 1900-1910 : Construction du premier bâtiment, nommé aujourd’hui « magasin », le plus ancien du site.
1	-	-	O	_
2	Vers	vers	BT	_
3	1900	1900	IT	_
4	-	-	ET	_
5	1910	1910	ET	_
6	 	 	BN	_
7	:	:	BN	_
8	Construction	construction	BN	_
9	du	de	IN	_
10	premier	premier	IN	_
11	bâtiment	bâtiment	EN	_
12	,	,	O	_
13	nommé	nommer	O	_
14	aujourd’hui	aujourd’hui	O	_
15	«	«	O	_
16	 	 	O	_
17	magasin	magasin	O	_
18	 	 	O	_
19	»	»	O	_
20	,	,	O	_
21	le	le	O	_
22	plus	plus	O	_
23	ancien	ancien	O	_
24	du	de	O	_
25	site	site	O	_
26	.	.	O	_


#- Vers 1954 : Activité de réparation de locomotives.
1	-	-	O	_
2	Vers	vers	BT	_
3	1954	1954	ET	_
4	 	 	BA	_
5	:	:	BA	_
6	Activité	activité	BA	_
7	de	de	IA	_
8	réparation	réparation	IA	_
9	de	de	IA	_
10	locomotives	locomotive	EA	_
11	.	.	O	_


#- 1956-1980 : Le site est exploité par la société GEVARM qui exerce les activités de fabrication d’armes,de sous traitance pour la fabrication de pelleteuses et la fabrication de tracteurs à chenilles.
1	-	-	O	_
2	1956	1956	ET	_
3	-	-	ET	_
4	1980	1980	ET	_
5	 	 	O	_
6	:	:	BO	_
7	Le	le	BO	_
8	site	site	EO	_
9	est	être	BN	_
10	exploité	exploiter	EN	_
11	par	par	BO	_
12	la	le	BO	_
13	société	société	IO	_
14	GEVARM	GEVARM	EO	_
15	qui	qui	O	_
16	exerce	exercer	BA	_
17	les	le	BA	_
18	activités	activité	IA	_
19	de	de	IA	_
20	fabrication	fabrication	IA	_
21	d’	d’	IA	_
22	armes	arme	EO	_
23	,	,	O	_
24	de	de	BA	_
25	sous	sou	BA	_
26	traitance	traitance	EA	_
27	pour	pour	BA	_
28	la	le	BA	_
29	fabrication	fabrication	IA	_
30	de	de	IA	_
31	pelleteuses	pelleteuse	EA	_
32	et	et	BO	_
33	la	le	BO	_
34	fabrication	fabrication	IA	_
35	de	de	IA	_
36	tracteurs	tracteur	IA	_
37	à	à	EA	_
38	chenilles	chenille	EA	_
39	.	.	O	_


#Activités de dépôts de carburant enterrés, de dépôts de gaz combustibles, d’atelier de mécano soudure, de compresseur, de traitement de surface.
1	Activités	activité	BO	_
2	de	de	IO	_
3	dépôts	dépôt	IO	_
4	de	de	IO	_
5	carburant	carburant	IO	_
6	enterrés	enterrer	EO	_
7	,	,	O	_
8	de	de	O	_
9	dépôts	dépôt	O	_
10	de	de	O	_
11	gaz	gaz	O	_
12	combustibles	combustible	O	_
13	,	,	O	_
14	d’	d’	O	_
15	atelier	atelier	O	_
16	de	de	O	_
17	mécano	mécano	BA	_
18	soudure	soudure	EA	_
19	,	,	O	_
20	de	de	O	_
21	compresseur	compresseur	O	_
22	,	,	O	_
23	de	de	O	_
24	traitement	traitement	BA	_
25	de	de	IA	_
26	surface	surface	EA	_
27	.	.	O	_


#- 1980-1984 : Le site est exploité par SIMI (Société Internationale de Matériel Industriel) qui fabrique des véhicules 4x4.
1	-	-	O	_
2	1980	1980	ET	_
3	-	-	ET	_
4	1984	1984	ET	_
5	 	 	O	_
6	:	:	BO	_
7	Le	le	BO	_
8	site	site	EO	_
9	est	être	BN	_
10	exploité	exploiter	EN	_
11	par	par	BO	_
12	SIMI	SIMI	EO	_
13	(	(	BO	_
14	Société	société	BO	_
15	Internationale	international	IO	_
16	de	de	IO	_
17	Matériel	matériel	IO	_
18	Industriel	industriel	EO	_
19	)	)	O	_
20	qui	qui	BA	_
21	fabrique	fabrique	BA	_
22	des	un	BO	_
23	véhicules	véhicule	IO	_
24	4x4	4x4	EO	_
25	.	.	EO	_


#- 1984-2001 : La société AUVERLAND reprend l’exploitation du site pour y fabriquer des 4x4 destinés aux secteurs civil et militaires.
1	-	-	IT	_
2	1984	1984	ET	_
3	-	-	IT	_
4	2001	2001	ET	_
5	 	 	ET	_
6	:	:	BO	_
7	La	le	BO	_
8	société	société	IO	_
