
#13.0104
#GDF Marseille - Terrains de l'ancienne usine à Gaz (15ème)
1	GDF	GDF	EO	_
2	Marseille	Marseille	EO	_
3	-	-	O	_
4	Terrains	terrain	EO	_
5	de	de	O	_
6	l'	le	O	_
7	ancienne	ancien	O	_
8	usine	usine	O	_
9	à	à	O	_
10	Gaz	gaz	O	_
11	(	(	O	_
12	15ème	15ème	O	_
13	)	)	O	_


#Le site de Marseille implanté, rue Allar, a accueilli une usine créée en 1855, ayant fabriqué du gaz à partir de la distillation de la houille jusqu'en 1979.
1	Le	le	BO	_
2	site	site	IO	_
3	de	de	IO	_
4	Marseille	Marseille	EO	_
5	implanté	implanter	EO	_
6	,	,	O	_
7	rue	rue	BL	_
8	Allar	Allar	EL	_
9	,	,	O	_
10	a	avoir	BN	_
11	accueilli	accueillir	EN	_
12	une	un	BO	_
13	usine	usine	EO	_
14	créée	créer	BN	_
15	en	en	BT	_
16	1855	1855	IT	_
17	,	,	O	_
18	ayant	avoir	BA	_
19	fabriqué	fabriquer	BA	_
20	du	de	IA	_
21	gaz	gaz	EA	_
22	à	à	O	_
23	partir	partir	O	_
24	de	de	O	_
25	la	le	BA	_
26	distillation	distillation	IA	_
27	de	de	IA	_
28	la	le	IA	_
29	houille	houille	EA	_
30	jusqu'	jusque	BT	_
31	en	en	IT	_
32	1979	1979	ET	_
33	.	.	O	_


#Ainsi, des matériaux tels que des liquides contaminés (eaux chargées en HAP,...), des sols imprégnés (HAP, Benzoapyrène, Benzène, cyanures totaux, ...)ainsi que des goudrons pâteux sont présents sur le site.
1	Ainsi	ainsi	O	_
2	,	,	O	_
3	des	un	BO	_
4	matériaux	matériau	EO	_
5	tels	tel	O	_
6	que	que	O	_
7	des	un	O	_
8	liquides	liquide	O	_
9	contaminés	contaminer	O	_
10	(	(	O	_
11	eaux	eau	O	_
12	chargées	charger	O	_
13	en	en	O	_
14	HAP	hap	O	_
15	,	,	O	_
16	...	...	O	_
17	)	)	O	_
18	,	,	O	_
19	des	un	O	_
20	sols	sol	O	_
21	imprégnés	imprégner	O	_
22	(	(	O	_
23	HAP	hap	O	_
24	,	,	O	_
25	Benzoapyrène	Benzoapyrène	O	_
26	,	,	O	_
27	Benzène	benzène	O	_
28	,	,	O	_
29	cyanures	cyanure	O	_
30	totaux	total	O	_
31	,	,	O	_
32	...	...	O	_
33	)	)	O	_
34	ainsi	ainsi	O	_
35	que	que	O	_
36	des	un	O	_
37	goudrons	goudron	O	_
38	pâteux	pâteux	O	_
39	sont	être	O	_
40	présents	présent	O	_
41	sur	sur	O	_
42	le	le	O	_
43	site	site	O	_
44	.	.	O	_


#Le site acceuille un immeuble de 5 000m² dit "Allar 2"
1	Le	le	BO	_
2	site	site	EO	_
3	acceuille	acceuille	ER	_
4	un	un	BO	_
5	immeuble	immeuble	EO	_
6	de	de	O	_
7	5	5	O	_
8	000	000	O	_
9	m²	m²	O	_
10	dit	dire	O	_
11	"	"	O	_
12	Allar	Allar	O	_
13	2	2	O	_
14	"	"	O	_


#* Gaz de France a hiérarchisé ses actions sur les 467 sites d'anciennes usines à gaz qu'il gère, répartis sur l'ensemble du territoire.
1	*	*	O	_
2	Gaz	Gaz	BO	_
3	de	de	IO	_
4	France	France	EO	_
5	a	avoir	BN	_
6	hiérarchisé	hiérarchiser	EN	_
7	ses	son	BO	_
8	actions	action	EO	_
9	sur	sur	O	_
10	les	le	O	_
11	467	467	BO	_
12	sites	site	EO	_
13	d'	de	O	_
14	anciennes	ancien	O	_
15	usines	usine	O	_
16	à	à	O	_
17	gaz	gaz	O	_
18	qu'	qu'	O	_
19	il	il	O	_
20	gère	gérer	O	_
21	,	,	O	_
22	répartis	répartir	O	_
23	sur	sur	O	_
24	l'	le	O	_
25	ensemble	ensemble	O	_
26	du	de	O	_
27	territoire	territoire	O	_
28	.	.	O	_


#La méthodologie retenue a consisté à hiérarchiser les sites en fonction de leur sensibilité vis à vis de l'environnement  (usage du site, vulnérabilité des eaux souterraines et superficielles, présence et type de population sur le site...).
1	La	le	O	_
2	méthodologie	méthodologie	O	_
3	retenue	retenir	O	_
4	a	avoir	O	_
5	consisté	consister	O	_
6	à	à	O	_
7	hiérarchiser	hiérarchiser	BN	_
8	les	le	BO	_
9	sites	site	EO	_
10	en	en	BR	_
11	fonction	fonction	IR	_
12	de	de	ER	_
13	leur	leur	BO	_
14	sensibilité	sensibilité	EO	_
15	vis	vis	BR	_
16	à	à	IR	_
17	vis	vis	IR	_
18	de	de	ER	_
19	l'	le	BO	_
20	environnement	environnement	EO	_
21	 	 	O	_
22	(	(	O	_
23	usage	usage	O	_
24	du	de	O	_
25	site	site	O	_
26	,	,	O	_
27	vulnérabilité	vulnérabilité	O	_
28	des	de	O	_
29	eaux	eau	O	_
30	souterraines	souterrain	O	_
31	et	et	O	_
32	superficielles	superficiel	O	_
33	,	,	O	_
34	présence	présence	O	_
35	et	et	O	_
36	type	type	O	_
37	de	de	O	_
38	population	population	O	_
39	sur	sur	O	_
40	le	le	O	_
41	site	site	O	_
42	...	...	O	_
43	)	)	O	_
44	.	.	O	_


