
#68.0023
#Dépôt entre 1959 et 1969 de résidus miniers issus de l'exploitation de la potasse.
1	Dépôt	dépôt	BN	_
2	entre	entre	BT	_
3	1959	1959	IT	_
4	et	et	IT	_
5	1969	1969	ET	_
6	de	de	O	_
7	résidus	résidu	BO	_
8	miniers	minier	EO	_
9	issus	issu	BR	_
10	de	de	ER	_
11	l'	le	BN	_
12	exploitation	exploitation	BA	_
13	de	de	IA	_
14	la	le	IA	_
15	potasse	potasse	EA	_
16	.	.	O	_


#Le terril Joseph Else Est a été constitué entre 1959 et 1969 par les matériaux issus de l'exploitation du sel gemme, composés de chlorure de sodium (NaCl) et d'insolubles (mélange d'argiles et d’une fraction dure et dense constituée d’anhydrite (sulfate de calcium CaSO4) et de dolomie (carbonates de calcium et de magnésium)).
1	Le	le	O	_
2	terril	terril	O	_
3	Joseph	Joseph	O	_
4	Else	Else	IO	_
5	Est	Est	EO	_
6	a	avoir	BN	_
7	été	être	IN	_
8	constitué	constituer	EN	_
9	entre	entre	BT	_
10	1959	1959	IT	_
11	et	et	IT	_
12	1969	1969	ET	_
13	par	par	O	_
14	les	le	BO	_
15	matériaux	matériau	EO	_
16	issus	issu	O	_
17	de	de	O	_
18	l'	le	BN	_
19	exploitation	exploitation	EN	_
20	du	de	O	_
21	sel	sel	O	_
22	gemme	gemme	O	_
23	,	,	O	_
24	composés	composer	O	_
25	de	de	O	_
26	chlorure	chlorure	O	_
27	de	de	O	_
28	sodium	sodium	O	_
29	(	(	O	_
30	NaCl	nacl	O	_
31	)	)	O	_
32	et	et	O	_
33	d'	de	O	_
34	insolubles	insoluble	O	_
35	(	(	O	_
36	mélange	mélange	O	_
37	d'	de	O	_
38	argiles	argile	O	_
39	et	et	O	_
40	d’	d’	O	_
41	une	un	O	_
42	fraction	fraction	O	_
43	dure	dur	O	_
44	et	et	O	_
45	dense	dense	O	_
46	constituée	constituer	O	_
47	d’	d’	O	_
48	anhydrite	anhydrite	O	_
49	(	(	O	_
50	sulfate	sulfate	O	_
51	de	de	O	_
52	calcium	calcium	O	_
53	CaSO4	caso4	O	_
54	)	)	O	_
55	et	et	O	_
56	de	de	O	_
57	dolomie	dolomie	O	_
58	(	(	O	_
59	carbonates	carbonate	O	_
60	de	de	O	_
61	calcium	calcium	O	_
62	et	et	O	_
63	de	de	O	_
64	magnésium	magnésium	O	_
65	)	)	O	_
66	)	)	O	_
67	.	.	O	_


#Au total 2 100 000 tonnes de matériaux ont été déposés dont 1 100 000 tonnes de NaCl.
1	Au	au	O	_
2	total	total	O	_
3	2	2	O	_
4	100	100	BO	_
5	000	000	IO	_
6	tonnes	tonne	IO	_
7	de	de	IO	_
8	matériaux	matériau	EO	_
9	ont	avoir	BN	_
10	été	être	IN	_
11	déposés	déposer	EN	_
12	dont	dont	O	_
13	1	1	O	_
14	100	100	O	_
15	000	000	O	_
16	tonnes	tonne	O	_
17	de	de	O	_
18	NaCl	nacl	O	_
19	.	.	O	_


#Sans traitement des terrils, l’eau de pluie ruisselle sur les flancs du terril et s’infiltre dans la masse du terril.
1	Sans	sans	O	_
2	traitement	traitement	O	_
3	des	de	O	_
4	terrils	terril	O	_
5	,	,	O	_
6	l’	l’	O	_
7	eau	eau	O	_
8	de	de	O	_
9	pluie	pluie	O	_
10	ruisselle	ruisseler	O	_
11	sur	sur	O	_
12	les	le	O	_
13	flancs	flanc	BL	_
14	du	de	IL	_
15	terril	terril	EL	_
16	et	et	O	_
17	s’	s’	BN	_
18	infiltre	infiltre	EN	_
19	dans	dans	IL	_
20	la	le	IL	_
21	masse	masse	IL	_
22	du	de	IL	_
23	terril	terril	EL	_
24	.	.	O	_


#L’eau se charge ainsi des sels contenus dans les matériaux déposés.
