
#13.0076
#EUROCOPTER ( ex SNIAS ) à Marignane -13-
1	EUROCOPTER	EUROCOPTER	PROPN	EO	EI	1	ROOT
2	(	(	PUNCT	O	O	4	punct
3	ex	ex	ADV	O	O	4	case
4	SNIAS	SNIAS	PROPN	O	EI	1	nmod
5	)	)	PUNCT	O	O	1	punct
6	à	à	ADP	BL	O	7	case
7	Marignane	Marignane	PROPN	IL	O	1	nmod
8	-13-	-13-	NOUN	IL	O	7	nmod


#* Ce site en activité est implanté à Marignane depuis 1936 à proximité de l'étang de Berre sur une superficie d'environ 70 ha.
1	*	*	PUNCT	O	O	7	punct
2	Ce	ce	DET	BO	O	3	det
3	site	site	NOUN	EO	O	7	nsubj:pass
4	en	en	ADP	ER	O	5	case
5	activité	activité	NOUN	EO	O	3	nmod
6	est	être	AUX	BN	O	7	aux:pass
7	implanté	implanter	VERB	EN	O	7	ROOT
8	à	à	ADP	IL	O	9	case
9	Marignane	Marignane	PROPN	IL	O	7	obl:mod
10	depuis	depuis	ADP	BT	O	11	case
11	1936	1936	NUM	ET	O	7	obl:mod
12	à	à	ADP	BL	O	13	case
13	proximité	proximité	NOUN	IL	O	7	obl:mod
14	de	de	ADP	IL	O	16	case
15	l'	le	DET	IL	O	16	det
16	étang	étang	NOUN	IL	O	13	nmod
17	de	de	ADP	IL	O	18	case
18	Berre	Berre	PROPN	EL	O	16	nmod
19	sur	sur	ADP	O	O	21	case
20	une	un	DET	O	O	21	det
21	superficie	superficie	NOUN	O	O	7	obl:mod
22	d'	de	ADP	O	O	25	case
23	environ	environ	ADV	O	O	25	advmod
24	70	70	NUM	O	O	25	nummod
25	ha	ha	NOUN	O	O	21	nmod
26	.	.	PUNCT	O	O	7	punct


#* L'établissement est spécialisé dans l'assemblage des pièces pour hélicoptères (production annuelle de 300 unités) avec les activités de traitement de surface : métallisation par dépôts électrolytiques de cadmium, nickel, chrome, ...), mécanique de précisions.
1	*	*	PUNCT	O	O	5	punct
2	L'	le	DET	O	O	3	det
3	établissement	établissement	NOUN	O	O	5	nsubj:pass
4	est	être	AUX	O	O	5	aux:pass
5	spécialisé	spécialiser	VERB	BR	O	5	ROOT
6	dans	dans	ADP	IA	O	8	case
7	l'	le	DET	IA	O	8	det
8	assemblage	assemblage	NOUN	IA	O	5	obl:arg
9	des	de	ADP	IA	O	10	case
10	pièces	pièce	NOUN	IA	O	8	nmod
11	pour	pour	ADP	IA	O	12	case
12	hélicoptères	hélicoptère	NOUN	EO	O	10	nmod
13	(	(	PUNCT	O	O	8	punct
14	production	production	NOUN	O	O	8	appos
15	annuelle	annuel	ADJ	O	O	14	amod
16	de	de	ADP	O	O	18	case
17	300	300	NUM	O	O	18	nummod
18	unités	unité	NOUN	O	O	14	nmod
19	)	)	PUNCT	O	O	8	punct
20	avec	avec	ADP	O	O	22	case
21	les	le	DET	BA	O	22	det
22	activités	activité	NOUN	BA	O	5	obl:mod
23	de	de	ADP	IA	O	24	case
24	traitement	traitement	NOUN	BA	O	22	nmod
25	de	de	ADP	IA	O	26	case
26	surface	surface	NOUN	EA	O	24	nmod
27	:	:	PUNCT	O	O	22	punct
28	métallisation	métallisation	NOUN	BA	O	22	appos
29	par	par	ADP	O	O	30	case
30	dépôts	dépôt	NOUN	O	O	28	nmod
31	électrolytiques	électrolytique	ADJ	O	O	30	amod
32	de	de	ADP	O	O	33	case
33	cadmium	cadmium	NOUN	O	BS	30	nmod
34	,	,	PUNCT	O	O	35	punct
35	nickel	nickel	NOUN	O	BS	33	conj
36	,	,	PUNCT	O	O	37	punct
37	chrome	chrome	NOUN	O	BS	33	conj
38	,	,	PUNCT	O	O	33	punct
39	...	...	PUNCT	O	O	28	punct
40	)	)	PUNCT	O	O	22	punct
41	,	,	PUNCT	O	O	42	punct
42	mécanique	mécanique	NOUN	O	O	5	conj
43	de	de	ADP	O	O	44	case
44	précisions	précision	NOUN	O	O	42	nmod
45	.	.	PUNCT	O	O	5	punct


#* L'établissement est équipé d'une STEP de détoxication des eaux de rinçage de traitement de surface.
1	*	*	PUNCT	O	O	5	punct
2	L'	le	DET	O	O	3	det
3	établissement	établissement	NOUN	O	O	5	nsubj:pass
4	est	être	AUX	O	O	5	aux:pass
5	équipé	équiper	VERB	O	O	5	ROOT
6	d'	de	ADP	O	O	8	case
7	une	un	DET	BO	O	8	det
8	STEP	step	NOUN	EO	O	5	obl:arg
9	de	de	ADP	O	O	10	case
10	détoxication	détoxication	NOUN	EN	O	8	nmod
11	des	de	ADP	O	O	12	case
12	eaux	eau	NOUN	O	O	10	nmod
13	de	de	ADP	O	O	14	case
14	rinçage	rinçage	NOUN	BA	O	12	nmod
15	de	de	ADP	IA	O	16	case
16	traitement	traitement	NOUN	IA	O	14	nmod
17	de	de	ADP	IA	O	18	case
18	surface	surface	NOUN	EA	O	16	nmod
19	.	.	PUNCT	O	O	5	punct


#* Autorisé par AP du 26/10/1993 et 03/01/2000.
1	*	*	PUNCT	IN	O	2	punct
