
#91.0077
#Implantée en zone industrielle, cette friche est un ancien site de 4,5 hectares de production de substances pharmaceutiques exploité par la société SANOFI PHARMA INDUSTRIE (SANOFI AVENTIS à ce jour).
1	Implantée	implanter	VERB	BR	O	11	advcl
2	en	en	ADP	ER	O	3	case
3	zone	zone	NOUN	BO	O	1	obl:arg
4	industrielle	industriel	ADJ	EO	O	3	amod
5	,	,	PUNCT	O	O	11	punct
6	cette	ce	DET	BO	O	7	det
7	friche	friche	NOUN	EO	O	11	nsubj
8	est	être	AUX	O	O	11	cop
9	un	un	DET	BO	O	11	det
10	ancien	ancien	ADJ	BO	O	11	amod
11	site	site	NOUN	EO	O	11	ROOT
12	de	de	ADP	O	O	14	case
13	4,5	4,5	NUM	BO	O	14	nummod
14	hectares	hectare	NOUN	IO	O	11	nmod
15	de	de	ADP	IO	O	16	case
16	production	production	NOUN	BA	O	14	nmod
17	de	de	ADP	IA	O	18	case
18	substances	substance	NOUN	IA	O	16	nmod
19	pharmaceutiques	pharmaceutique	ADJ	EA	O	18	amod
20	exploité	exploiter	VERB	BN	O	11	acl
21	par	par	ADP	O	O	23	case
22	la	le	DET	BO	BI	23	det
23	société	société	NOUN	IO	II	20	obl:agent
24	SANOFI	SANOFI	PROPN	BO	EI	23	appos
25	PHARMA	PHARMA	PROPN	IO	EI	24	flat:name
26	INDUSTRIE	INDUSTRIE	PROPN	EO	EI	24	flat:name
27	(	(	PUNCT	O	O	23	punct
28	SANOFI	SANOFI	PROPN	BO	EI	23	appos
29	AVENTIS	AVENTIS	PROPN	EO	EI	28	flat:name
30	à	à	ADP	O	O	32	case
31	ce	ce	DET	O	O	32	det
32	jour	jour	NOUN	O	O	28	nmod
33	)	)	PUNCT	O	O	23	punct
34	.	.	PUNCT	O	O	11	punct


#Cette société est également propriétaire du terrain.
1	Cette	ce	DET	BO	O	2	det
2	société	société	NOUN	EO	O	5	nsubj
3	est	être	AUX	BN	O	5	cop
4	également	également	ADV	IN	O	5	advmod
5	propriétaire	propriétaire	NOUN	EN	O	5	ROOT
6	du	de	ADP	BO	O	7	case
7	terrain	terrain	NOUN	EO	O	5	nmod
8	.	.	PUNCT	O	O	5	punct


#Les activités industrielles y ont cessé en 1995, date à laquelle les investigations de sol demandées par la DRIRE n'avaient révélé aucune pollution notable des sols ou eaux souterraines.
1	Les	le	DET	BN	O	2	det
2	activités	activité	NOUN	IN	O	6	nsubj
3	industrielles	industriel	ADJ	IN	O	2	amod
4	y	y	PRON	IN	O	6	iobj
5	ont	avoir	AUX	IN	O	6	aux:tense
6	cessé	cesser	VERB	EN	O	6	ROOT
7	en	en	ADP	BT	O	8	case
8	1995	1995	NUM	IT	O	6	obl:mod
9	,	,	NUM	IT	O	6	punct
10	date	date	NOUN	IT	O	6	obj
11	à	à	ADP	IT	O	12	case
12	laquelle	lequel	PRON	IT	O	23	obl:mod
13	les	le	DET	BN	O	14	det
14	investigations	investigation	NOUN	IN	O	23	nsubj
15	de	de	ADP	IN	O	16	case
16	sol	sol	NOUN	EN	O	14	nmod
17	demandées	demander	VERB	EN	O	14	acl
18	par	par	ADP	O	O	20	case
19	la	le	DET	BO	BI	20	det
20	DRIRE	DRIRE	PROPN	EO	EI	17	obl:agent
21	n'	n'	ADV	O	O	23	advmod
22	avaient	avoir	AUX	O	O	23	aux:tense
23	révélé	révéler	VERB	O	O	10	acl:relcl
24	aucune	aucun	DET	O	O	25	det
25	pollution	pollution	NOUN	O	O	23	obj
26	notable	notable	ADJ	O	O	25	amod
27	des	de	ADP	O	O	28	case
28	sols	sol	NOUN	O	O	25	nmod
29	ou	ou	CCONJ	O	O	30	cc
30	eaux	eau	NOUN	O	O	28	conj
31	souterraines	souterrain	ADJ	O	O	30	amod
32	.	.	PUNCT	O	O	6	punct


#Le site, clôturé et gardienné, est resté sans activité dans l'attente de la démolition des bâtiments et infrastructures présentes.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	9	nsubj
3	,	,	PUNCT	O	O	2	punct
4	clôturé	clôturer	VERB	O	O	2	acl
5	et	et	CCONJ	O	O	6	cc
6	gardienné	gardienner	VERB	O	O	4	conj
7	,	,	PUNCT	O	O	9	punct
8	est	être	AUX	O	O	9	aux:tense
9	resté	rester	VERB	O	O	9	ROOT
10	sans	sans	ADP	O	O	11	case
11	activité	activité	NOUN	EO	O	9	obl:arg
12	dans	dans	ADP	BR	O	14	case
13	l'	le	DET	IR	O	14	det
14	attente	attente	NOUN	IR	O	9	obl:mod
15	de	de	ADP	ER	O	17	case
16	la	le	DET	BN	O	17	det
17	démolition	démolition	NOUN	EN	O	14	nmod
18	des	de	ADP	BO	O	19	case
19	bâtiments	bâtiment	NOUN	IO	O	17	nmod
20	et	et	CCONJ	IO	O	21	cc
21	infrastructures	infrastructure	NOUN	IO	O	19	conj
22	présentes	présent	ADJ	EO	O	21	amod
23	.	.	PUNCT	O	O	9	punct


#Cette démolition a révélé, début 2001, une pollution par des solvants chlorés (trichoroéthylène en particulier) et par des hydrocarbures aromatiques (benzène en particulier) sur une surface de l'ordre de 3000 m2 et une profondeur de 3 m.
1	Cette	ce	DET	BN	O	2	det
2	démolition	démolition	NOUN	EN	O	4	nsubj
3	a	avoir	AUX	BN	O	4	aux:tense
4	révélé	révéler	VERB	EN	O	4	ROOT
5	,	,	PUNCT	O	O	4	punct
6	début	début	NOUN	BT	O	4	obl:mod
7	2001	2001	PUNCT	ET	O	6	nmod
8	,	,	PUNCT	ET	O	4	punct
9	une	un	DET	BN	O	10	det
10	pollution	pollution	NOUN	EN	O	4	obj
11	par	par	ADP	O	O	13	case
12	des	un	DET	O	O	13	det
13	solvants	solvant	NOUN	O	O	10	nmod
14	chlorés	chlorer	VERB	O	BS	13	acl
15	(	(	PUNCT	O	O	13	punct
16	trichoroéthylène	trichoroéthylène	NOUN	O	BS	13	appos
17	en	en	ADP	O	O	13	punct
18	particulier	particulier	ADJ	O	O	17	fixed
19	)	)	PUNCT	O	O	13	punct
20	et	et	CCONJ	O	O	23	cc
21	par	par	ADP	O	O	23	case
22	des	un	DET	O	O	23	det
23	hydrocarbures	hydrocarbure	NOUN	O	BS	13	conj
24	aromatiques	aromatique	ADJ	O	ES	23	amod
25	(	(	PUNCT	O	O	23	punct
26	benzène	benzène	NOUN	O	BS	23	appos
27	en	en	ADP	O	O	23	parataxis
28	particulier	particulier	ADJ	O	O	27	fixed
29	)	)	PUNCT	O	O	23	punct
30	sur	sur	ADP	O	O	32	case
31	une	un	DET	O	O	32	det
32	surface	surface	NOUN	O	O	4	obl:mod
33	de	de	ADP	O	O	35	case
34	l'	le	DET	O	O	35	det
35	ordre	ordre	NOUN	O	O	32	nmod
36	de	de	ADP	O	O	38	case
37	3000	3000	NUM	O	O	38	nummod
38	m2	m2	NOUN	O	O	35	nmod
39	et	et	CCONJ	O	O	41	cc
40	une	un	DET	O	O	41	det
41	profondeur	profondeur	NOUN	O	O	32	conj
42	de	de	ADP	O	O	44	case
43	3	3	NUM	O	O	44	nummod
44	m.	m.	PUNCT	O	O	41	nmod


#Cette pollution est caractéristique des produits employés dans l'un des bâtiments présent sur cette zone.
1	Cette	ce	DET	O	O	2	det
2	pollution	pollution	NOUN	O	O	4	nsubj
3	est	être	AUX	O	O	4	cop
4	caractéristique	caractéristique	ADJ	O	O	4	ROOT
5	des	de	ADP	O	O	6	case
6	produits	produit	NOUN	O	O	4	nmod
7	employés	employer	VERB	O	O	6	acl
8	dans	dans	ADP	O	O	10	case
9	l'	le	DET	O	O	10	det
10	un	un	PRON	O	O	7	obl:mod
11	des	de	ADP	O	O	12	case
12	bâtiments	bâtiment	NOUN	O	O	10	nmod
13	présent	présent	ADJ	O	O	10	acl
14	sur	sur	ADP	O	O	16	case
15	cette	ce	DET	O	O	16	det
16	zone	zone	NOUN	O	O	13	obl:arg
17	.	.	PUNCT	O	O	4	punct


#Le site est clôturé, gardienné et libre de tout bâtiment ou infrastructure.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj:pass
3	est	être	AUX	O	O	4	aux:pass
4	clôturé	clôturer	VERB	O	O	4	ROOT
5	,	,	PUNCT	O	O	6	punct
6	gardienné	gardienner	VERB	O	O	4	conj
7	et	et	CCONJ	O	O	8	cc
8	libre	libre	ADJ	O	O	4	conj
9	de	de	ADP	O	O	11	case
10	tout	tout	DET	O	O	11	det
11	bâtiment	bâtiment	NOUN	O	O	8	obl:arg
12	ou	ou	CCONJ	O	O	13	cc
13	infrastructure	infrastructure	NOUN	O	O	11	conj
14	.	.	PUNCT	O	O	4	punct


#L'exploitant s'est engagé dans la réalisation d'une évaluation détaillée des risques.
1	L'	le	DET	BO	O	2	det
2	exploitant	exploitant	NOUN	EO	O	5	nsubj
3	s'	se	PRON	BN	O	5	expl:comp
4	est	être	AUX	IN	O	5	aux:tense
5	engagé	engager	VERB	IN	O	5	ROOT
6	dans	dans	ADP	IN	O	8	case
7	la	le	DET	IN	O	8	det
8	réalisation	réalisation	NOUN	IN	O	5	obl:arg
9	d'	de	ADP	IN	O	11	case
10	une	un	DET	IN	O	11	det
11	évaluation	évaluation	NOUN	EN	O	8	nmod
12	détaillée	détaillé	ADJ	BN	O	11	amod
13	des	de	ADP	IN	O	14	case
14	risques	risque	NOUN	EN	O	11	nmod
15	.	.	PUNCT	O	O	5	punct


#Une première estimation réalisée par l'exploitant sur la base d'hypothèses conservatives le conduit à considérer que cette pollution peut représenter des risques inacceptables dans certaines conditions d'utilisation du site.
1	Une	un	DET	BN	O	3	det
2	première	premier	ADJ	IN	O	3	amod
3	estimation	estimation	NOUN	EN	O	15	nsubj
4	réalisée	réaliser	VERB	O	O	3	acl
5	par	par	ADP	O	O	7	case
6	l'	le	DET	BO	O	7	det
7	exploitant	exploitant	NOUN	EO	O	4	obl:agent
8	sur	sur	ADP	O	O	10	case
9	la	le	DET	O	O	10	det
10	base	base	NOUN	O	O	4	obl:mod
11	d'	de	ADP	O	O	12	case
12	hypothèses	hypothèse	NOUN	O	O	10	nmod
13	conservatives	conservatif	ADJ	O	O	12	amod
14	le	le	PRON	O	O	15	obj
15	conduit	conduire	VERB	O	O	15	ROOT
16	à	à	ADP	O	O	17	mark
17	considérer	considérer	VERB	O	O	15	xcomp
18	que	que	SCONJ	O	O	21	mark
19	cette	ce	DET	O	O	20	det
20	pollution	pollution	NOUN	O	O	21	nsubj
21	peut	pouvoir	VERB	O	O	17	ccomp
22	représenter	représenter	VERB	O	O	21	xcomp
23	des	un	DET	O	O	24	det
24	risques	risque	NOUN	O	O	22	obj
25	inacceptables	inacceptable	ADJ	O	O	24	amod
26	dans	dans	ADP	O	O	28	case
27	certaines	certain	DET	O	O	28	det
28	conditions	condition	NOUN	O	O	22	obl:mod
29	d'	de	ADP	O	O	30	case
30	utilisation	utilisation	NOUN	O	O	28	nmod
31	du	de	ADP	O	O	32	case
32	site	site	NOUN	O	O	30	nmod
33	.	.	PUNCT	O	O	15	punct


#La version finalisée de cette évaluation détaillée des risques a été déposée fin juin 2002.
1	La	le	DET	BO	O	2	det
2	version	version	NOUN	EO	O	12	nsubj:pass
3	finalisée	finaliser	VERB	EO	O	2	acl
4	de	de	ADP	O	O	6	case
5	cette	ce	DET	BO	O	6	det
6	évaluation	évaluation	NOUN	BN	O	2	nmod
7	détaillée	détaillé	ADJ	BN	O	6	amod
8	des	de	ADP	IN	O	9	case
9	risques	risque	NOUN	EN	O	6	nmod
10	a	avoir	AUX	BN	O	12	aux:tense
11	été	être	AUX	IN	O	12	aux:pass
12	déposée	déposer	VERB	EN	O	12	ROOT
13	fin	fin	NOUN	BT	O	12	obl:mod
14	juin	juin	NOUN	IT	O	13	nmod
15	2002	2002	NUM	ET	O	14	nmod
16	.	.	PUNCT	O	O	12	punct


#Celle-ci conduit à préconiser des travaux de dépollution.
1	Celle	celui	PRON	O	O	4	nsubj
2	-	-	PRON	O	O	4	nsubj
3	ci	ci	PRON	O	O	4	nsubj
4	conduit	conduire	VERB	O	O	4	ROOT
5	à	à	ADP	O	O	6	mark
6	préconiser	préconiser	VERB	O	O	4	xcomp
7	des	un	DET	BN	O	8	det
8	travaux	travail	NOUN	IN	O	6	obj
9	de	de	ADP	IN	O	10	case
10	dépollution	dépollution	NOUN	EN	O	8	nmod
11	.	.	PUNCT	O	O	4	punct


#L'arrêté préfectoral encadrant les travaux de dépollution et de surveillance a été pris le 14 mai 2003.
1	L'	le	DET	BO	O	2	det
2	arrêté	arrêté	NOUN	IO	O	14	nsubj:pass
3	préfectoral	préfectoral	ADJ	EO	O	2	amod
4	encadrant	encadrer	VERB	BN	O	2	acl
5	les	le	DET	BN	O	6	det
6	travaux	travail	NOUN	IN	O	4	obj
7	de	de	ADP	IN	O	8	case
8	dépollution	dépollution	NOUN	EN	O	6	nmod
9	et	et	CCONJ	O	O	11	cc
10	de	de	ADP	O	O	11	case
11	surveillance	surveillance	NOUN	BO	O	8	conj
