
#67.0104
#Terril situé sur l'ancien siège Daniel Mieg de l'ancienne exploitation pétrolière de Pechelbronn, à proximité des puits III et VII.
1	Terril	Terril	PROPN	BR	O	1	ROOT
2	situé	situer	VERB	BL	O	1	acl
3	sur	sur	ADP	IL	O	6	case
4	l'	le	DET	IL	O	6	det
5	ancien	ancien	ADJ	IL	O	6	amod
6	siège	siège	NOUN	BO	O	2	obl:arg
7	Daniel	Daniel	PROPN	BO	O	6	appos
8	Mieg	Mieg	PROPN	EO	O	7	flat:name
9	de	de	ADP	O	O	12	case
10	l'	le	DET	BO	O	12	det
11	ancienne	ancien	ADJ	IO	O	12	amod
12	exploitation	exploitation	NOUN	IO	O	6	nmod
13	pétrolière	pétrolier	ADJ	EO	O	12	amod
14	de	de	ADP	O	O	15	case
15	Pechelbronn	Pechelbronn	PROPN	EO	O	12	nmod
16	,	,	PUNCT	O	O	2	punct
17	à	à	ADP	BL	O	18	case
18	proximité	proximité	NOUN	IL	O	2	obl:mod
19	des	de	ADP	IL	O	20	case
20	puits	puits	NOUN	IL	O	18	nmod
21	III	III	NUM	IL	O	20	amod
22	et	et	CCONJ	IL	O	23	cc
23	VII	vii	ADJ	IL	O	21	conj
24	.	.	PUNCT	O	O	24	ROOT


#Il se trouve entouré de parcelles agricoles et des anciens batiments miniers (rasés en 2012).
1	Il	il	PRON	BO	O	3	nsubj
2	se	se	PRON	BL	O	3	expl:comp
3	trouve	trouve	VERB	IL	O	3	ROOT
4	entouré	entourer	VERB	IL	O	3	xcomp
5	de	de	ADP	IL	O	6	case
6	parcelles	parcelle	NOUN	IO	O	4	obl:agent
7	agricoles	agricole	ADJ	EO	O	6	amod
8	et	et	CCONJ	O	O	11	cc
9	des	de	ADP	O	O	11	case
10	anciens	ancien	ADJ	BO	O	11	amod
11	batiments	batiment	NOUN	BO	O	6	conj
12	miniers	minier	ADJ	EO	O	11	amod
13	(	(	PUNCT	O	O	11	punct
14	rasés	raser	VERB	BN	O	11	acl
15	en	en	ADP	BT	O	16	case
16	2012	2012	PUNCT	ET	O	14	obl:mod
17	)	)	PUNCT	ET	O	3	punct
18	.	.	PUNCT	O	O	3	punct


#Le terril n'est plus stable et s'affaisse.
1	Le	le	DET	BO	O	2	det
2	terril	terril	NOUN	IO	O	6	nsubj
3	n'	n'	ADV	BN	O	6	advmod
4	est	être	AUX	BN	O	6	cop
5	plus	plus	ADV	IN	O	6	advmod
6	stable	stable	ADJ	EN	O	6	ROOT
7	et	et	CCONJ	O	O	9	cc
8	s'	se	PRON	BN	O	9	expl:pass
9	affaisse	affaisse	VERB	EN	O	6	conj
10	.	.	PUNCT	O	O	6	punct


#Une étude de stabilité a été menée dès 1985 par le BRGM (rapport BRGM 85 SGAL 061).
1	Une	un	DET	BN	O	2	det
2	étude	étude	NOUN	IN	O	7	nsubj:pass
3	de	de	ADP	IN	O	4	case
4	stabilité	stabilité	NOUN	EN	O	2	nmod
5	a	avoir	AUX	BN	O	7	aux:tense
6	été	être	AUX	IN	O	7	aux:pass
7	menée	mener	VERB	EN	O	7	ROOT
8	dès	dès	ADP	BT	O	9	case
9	1985	1985	NUM	ET	O	7	obl:mod
10	par	par	ADP	O	O	12	case
11	le	le	DET	BO	BI	12	det
12	BRGM	BRGM	PROPN	EO	EI	7	obl:agent
13	(	(	PUNCT	O	O	7	punct
14	rapport	rapport	NOUN	O	O	7	obl:mod
15	BRGM	BRGM	PROPN	O	BI	14	nmod
16	85	85	NUM	O	O	15	nummod
17	SGAL	SGAL	PROPN	O	O	14	nmod
18	061	061	NUM	O	O	17	nummod
19	)	)	PUNCT	O	O	7	punct
20	.	.	PUNCT	O	O	7	punct


#Une autre étude menée en 1999 par la société ANTEA a montré que le terril comporte des zones polluées (résidus d'hydrocarbures) dont l'ampleur est difficilement estimable.
1	Une	un	DET	BN	O	3	det
2	autre	autre	ADJ	IN	O	3	amod
3	étude	étude	NOUN	EN	O	12	nsubj
4	menée	mener	VERB	O	O	3	acl
5	en	en	ADP	BT	O	6	case
6	1999	1999	NUM	ET	O	4	obl:mod
7	par	par	ADP	O	O	9	case
8	la	le	DET	BO	BI	9	det
9	société	société	NOUN	IO	II	4	obl:agent
10	ANTEA	ANTEA	PROPN	EO	EI	9	flat:name
11	a	avoir	AUX	O	O	12	aux:tense
12	montré	montrer	VERB	O	O	12	ROOT
13	que	que	SCONJ	O	O	16	mark
14	le	le	DET	O	O	15	det
15	terril	terril	NOUN	EN	O	16	nsubj
16	comporte	comporte	VERB	BR	O	12	ccomp
17	des	un	DET	BO	O	18	det
18	zones	zone	NOUN	IO	O	16	obj
19	polluées	polluer	VERB	EO	O	18	acl
20	(	(	PUNCT	O	O	18	punct
21	résidus	résidu	NOUN	O	O	18	appos
22	d'	de	ADP	O	O	23	case
23	hydrocarbures	hydrocarbure	NOUN	O	BS	21	nmod
24	)	)	PUNCT	O	O	18	punct
25	dont	dont	PRON	O	O	27	nmod
26	l'	le	DET	O	O	27	det
27	ampleur	ampleur	NOUN	O	O	30	nsubj
28	est	être	AUX	O	O	30	cop
29	difficilement	difficilement	ADV	O	O	30	advmod
30	estimable	estimable	ADJ	O	O	18	acl:relcl
31	.	.	PUNCT	O	O	18	punct


#Un projet de stabilisation: terrassement et drainage a été mené.
1	Un	un	DET	BN	O	2	det
2	projet	projet	NOUN	IN	O	11	nsubj:pass
3	de	de	ADP	IN	O	4	case
4	stabilisation	stabilisation	NOUN	EN	O	2	nmod
5	:	:	PUNCT	O	O	2	punct
6	terrassement	terrassement	NOUN	EN	O	2	nmod
7	et	et	CCONJ	O	O	8	cc
8	drainage	drainage	NOUN	BO	O	6	conj
9	a	avoir	AUX	BN	O	11	aux:tense
10	été	être	AUX	IN	O	11	aux:pass
11	mené	mener	VERB	EN	O	11	ROOT
12	.	.	PUNCT	O	O	11	punct


#La Dinem a organisé une réunion de présentation du scénario de réhabilitation du terril de Gunstett.
1	La	le	DET	BO	BI	2	det
2	Dinem	Dinem	PROPN	EO	EI	4	nsubj
3	a	avoir	AUX	BN	O	4	aux:tense
4	organisé	organiser	VERB	EN	O	4	ROOT
5	une	un	DET	BN	O	6	det
6	réunion	réunion	NOUN	EN	O	4	obj
7	de	de	ADP	EN	O	8	case
8	présentation	présentation	NOUN	EN	O	6	nmod
9	du	de	ADP	BO	O	10	case
10	scénario	scénario	NOUN	IO	O	8	nmod
11	de	de	ADP	IO	O	12	case
12	réhabilitation	réhabilitation	NOUN	EO	O	10	nmod
13	du	de	ADP	O	O	14	case
14	terril	terril	NOUN	BN	O	12	nmod
15	de	de	ADP	O	O	16	case
16	Gunstett	Gunstett	PROPN	EO	O	14	nmod
17	.	.	PUNCT	O	O	4	punct


#Lors de celle-ci a été demandé qu'au delà de l'étude détaillée des scénarios de réhabilitation du terril, une présentation du contexte géologique et hydrogéologique du secteur soit particulièrement développée.
