
#74.0049
#M.
1	M.	m.	NOUN	O	O	1	ROOT


#Gaston COTTERLAZ-CARRAT a été autorisé, par arrêté n°85-1520 du 22 novembre 1985 à exploiter un chantier de stockage et de récupération de métaux et de carcasses de véhicules hors d'usage sur les parcelles de la section D du cadastre numérotées : 3156, 3180, 3567, 3636, 3638, 3640.
1	Gaston	Gaston	PROPN	BN	EI	7	nsubj:pass
2	COTTERLAZ	COTTERLAZ	PROPN	EO	EI	1	flat:name
3	-	-	PROPN	IO	EI	1	flat:name
4	CARRAT	CARRAT	PROPN	EO	EI	1	flat:name
5	a	avoir	AUX	BN	O	7	aux:tense
6	été	être	AUX	IN	O	7	aux:pass
7	autorisé	autoriser	VERB	EN	O	7	ROOT
8	,	,	PUNCT	O	O	7	punct
9	par	par	ADP	O	O	10	case
10	arrêté	arrêté	NOUN	O	O	7	obl:mod
11	n°	numéro	NOUN	O	O	10	acl
12	85	85	NOUN	O	O	10	nmod
13	-	-	NOUN	O	O	10	nmod
14	1520	1520	NOUN	O	O	10	nmod
15	du	de	ADP	BT	O	16	case
16	22	22	NUM	IT	O	10	nmod
17	novembre	novembre	NOUN	IT	O	16	nmod
18	1985	1985	NUM	ET	O	17	nmod
19	à	à	ADP	O	O	20	mark
20	exploiter	exploiter	VERB	BN	O	7	xcomp
21	un	un	DET	BO	O	22	det
22	chantier	chantier	NOUN	IO	O	20	obj
23	de	de	ADP	IO	O	24	case
24	stockage	stockage	NOUN	IO	O	22	nmod
25	et	et	CCONJ	IO	O	27	cc
26	de	de	ADP	IO	O	27	case
27	récupération	récupération	NOUN	IO	O	24	conj
28	de	de	ADP	IO	O	29	case
29	métaux	métal	NOUN	EO	BU	27	nmod
30	et	et	CCONJ	O	O	32	cc
31	de	de	ADP	O	O	32	case
32	carcasses	carcasse	NOUN	BO	O	29	conj
33	de	de	ADP	IO	O	34	case
34	véhicules	véhicule	NOUN	EO	O	32	nmod
35	hors	hors	ADP	O	O	37	case
36	d'	de	ADP	O	O	37	case
37	usage	usage	NOUN	O	O	34	nmod
38	sur	sur	ADP	O	O	40	case
39	les	le	DET	O	O	40	det
40	parcelles	parcelle	NOUN	O	O	20	obl:mod
41	de	de	ADP	O	O	43	case
42	la	le	DET	O	O	43	det
43	section	section	NOUN	O	O	40	nmod
44	D	d	NOUN	O	O	43	nmod
45	du	de	ADP	O	O	46	case
46	cadastre	cadastre	NOUN	O	O	43	nmod
47	numérotées	numéroter	VERB	O	O	40	acl
48	 	 	SPACE	O	O	20	dep
49	:	:	PUNCT	O	O	48	punct
50	3156	3156	PRON	O	O	20	obj
51	,	,	PUNCT	O	O	52	punct
52	3180	3180	NUM	O	O	50	conj
53	,	,	PUNCT	O	O	54	punct
54	3567	3567	NUM	O	O	50	conj
55	,	,	PUNCT	O	O	56	punct
56	3636	3636	PRON	O	O	50	conj
57	,	,	PUNCT	O	O	58	punct
58	3638	3638	NUM	O	O	50	conj
59	,	,	PUNCT	O	O	60	punct
60	3640	3640	NUM	O	O	50	conj
61	.	.	PUNCT	O	O	7	punct


#Le site n'est plus exploité aujourd'hui.
1	Le	le	DET	BO	O	2	det
