
#42.0133
#Historique du site :
1	Historique	historique	NOUN	O	O	1	ROOT
2	du	de	ADP	O	O	3	case
3	site	site	NOUN	O	O	1	nmod
4	:	:	PUNCT	O	O	1	punct


#- 1829 : Première usine construite sur le site (HOLTZER)
1	-	-	PUNCT	O	O	2	punct
2	1829	1829	NUM	BT	O	5	dep
3	:	:	PUNCT	O	O	5	punct
4	Première	premier	ADJ	BN	O	5	amod
5	usine	usine	NOUN	IN	O	5	ROOT
6	construite	construire	VERB	EN	O	5	acl
7	sur	sur	ADP	O	O	9	case
8	le	le	DET	O	O	9	det
9	site	site	NOUN	O	O	6	obl:mod
10	(	(	PUNCT	O	O	5	punct
11	HOLTZER	HOLTZER	PROPN	EO	EI	5	appos
12	)	)	PUNCT	O	O	5	punct


#- 1853 : Production des premiers cylindres de laminoirs forgés (VERDIER)
1	-	-	PUNCT	O	O	4	punct
2	1853	1853	NUM	ET	O	4	nmod
3	:	:	PUNCT	BA	O	4	punct
4	Production	production	NOUN	IA	O	4	ROOT
5	des	de	ADP	IA	O	7	case
6	premiers	premier	ADJ	IA	O	7	amod
7	cylindres	cylindre	NOUN	IA	ES	4	nmod
8	de	de	ADP	IA	O	9	case
9	laminoirs	laminoir	NOUN	EA	O	7	nmod
10	forgés	forger	VERB	BO	O	9	acl
11	(	(	PUNCT	O	O	7	punct
12	VERDIER	VERDIER	PROPN	O	EI	7	appos
13	)	)	PUNCT	O	O	7	punct


#- 1953 : Création de la C.
1	-	-	PUNCT	O	O	4	punct
2	1953	1953	NUM	O	O	4	nmod
3	:	:	PUNCT	O	O	4	punct
4	Création	création	NOUN	BN	O	4	ROOT
5	de	de	ADP	O	O	7	case
6	la	le	DET	BO	O	7	det
7	C.	c.	NOUN	BO	O	4	nmod


#.F.
1	.F.	.f.	NOUN	O	O	1	ROOT


# : Compagnie des Ateliers et Forges de la Loire(VERDIER + HOLTZER + entreprises locales)
1	 	 	SPACE	BO	II	1	dep
2	:	:	PUNCT	IO	II	1	punct
3	Compagnie	compagnie	NOUN	IO	II	3	ROOT
4	des	de	ADP	IO	II	5	case
5	Ateliers	atelier	NOUN	IO	II	3	nmod
6	et	et	CCONJ	IO	II	7	cc
7	Forges	forge	NOUN	EO	EI	5	conj
8	de	de	ADP	IA	II	10	case
9	la	le	DET	IA	II	10	det
10	Loire(VERDIER	Loire(VERDIER	PROPN	EL	EI	5	nmod
11	+	plus	CCONJ	EO	EI	12	case
12	HOLTZER	HOLTZER	PROPN	EO	EI	10	conj
13	+	plus	ADP	O	O	14	case
14	entreprises	entreprise	NOUN	O	O	5	conj
15	locales	local	ADJ	O	O	14	amod
16	)	)	PUNCT	O	O	3	punct


#- 1970 : Création de Creusot Loire (C.
1	-	-	PUNCT	O	O	4	punct
2	1970	1970	NUM	O	O	4	nmod
3	:	:	PUNCT	O	O	4	punct
4	Création	création	NOUN	BN	O	4	ROOT
5	de	de	ADP	BO	O	6	case
6	Creusot	Creusot	PROPN	IO	O	4	nmod
7	Loire	Loire	PROPN	EO	O	6	flat:name
8	(	(	PUNCT	O	O	4	punct
9	C.	c.	NOUN	BO	O	4	nmod


#.F.
1	.F.	.f.	NOUN	O	O	1	ROOT


# + SCHNEIDER)
1	 	 	SPACE	O	EI	1	dep
2	+	plus	ADP	EO	EI	3	case
3	SCHNEIDER	SCHNEIDER	PROPN	EO	EI	1	conj
4	)	)	PUNCT	O	EI	1	punct


#- 1983 : Création de C3F (Membre du groupe USINOR-SACILOR)
1	-	-	PUNCT	O	O	4	punct
2	1983	1983	NUM	ET	O	4	nmod
3	:	:	PUNCT	BN	O	4	punct
4	Création	création	NOUN	BN	O	4	ROOT
5	de	de	ADP	BO	O	6	case
6	C3F	C3F	PROPN	EO	EI	4	nmod
7	(	(	PUNCT	O	O	6	punct
8	Membre	membre	NOUN	O	O	6	appos
9	du	de	ADP	O	O	10	case
10	groupe	groupe	NOUN	O	BI	8	nmod
