
#42.0143
#Avant 1965, le site était une parcelle agricole.
1	Avant	avant	ADP	BT	O	2	case
2	1965	1965	NUM	ET	O	8	obl:mod
3	,	,	PUNCT	O	O	8	punct
4	le	le	DET	BO	O	5	det
5	site	site	NOUN	EO	O	8	nsubj
6	était	être	AUX	O	O	8	cop
7	une	un	DET	BO	O	8	det
8	parcelle	parcelle	NOUN	IO	O	8	ROOT
9	agricole	agricole	ADJ	EO	O	8	amod
10	.	.	PUNCT	O	O	8	punct


#En 1970, les bâtiments du centre commercial apparaissent sur les photos aériennes et à partir de 1979, les bâtiments et la station-service apparaissent tels qu’en 2007 sur les photos aériennes.
1	En	en	ADP	BT	O	2	case
2	1970	1970	NUM	ET	O	9	obl:mod
3	,	,	PUNCT	ET	O	9	punct
4	les	le	DET	BO	O	5	det
5	bâtiments	bâtiment	NOUN	EO	O	9	nsubj
6	du	de	ADP	O	O	7	case
7	centre	centre	NOUN	O	O	5	nmod
8	commercial	commercial	ADJ	O	O	7	amod
9	apparaissent	apparaître	VERB	O	O	9	ROOT
10	sur	sur	ADP	O	O	12	case
11	les	le	DET	O	O	12	det
12	photos	photo	NOUN	BO	O	9	obl:arg
13	aériennes	aérien	ADJ	EO	O	12	amod
14	et	et	CCONJ	O	O	27	cc
15	à	à	ADP	BT	O	27	advmod
16	partir	partir	VERB	IT	O	15	fixed
17	de	de	ADP	IT	O	18	case
18	1979	1979	NUM	ET	O	15	dep
19	,	,	PUNCT	O	O	27	punct
20	les	le	DET	BO	O	21	det
21	bâtiments	bâtiment	NOUN	EO	O	27	nsubj
22	et	et	CCONJ	O	O	24	cc
23	la	le	DET	O	O	24	det
24	station	station	NOUN	O	O	21	conj
25	-	-	NOUN	O	O	21	nmod
26	service	service	NOUN	O	O	21	nmod
27	apparaissent	apparaître	VERB	O	O	9	conj
28	tels	tel	ADJ	O	O	27	xcomp
29	qu’	qu’	SCONJ	O	O	31	mark
30	en	en	ADP	BT	O	31	case
31	2007	2007	NUM	IT	O	28	dep
32	sur	sur	ADP	O	O	34	case
33	les	le	DET	O	O	34	det
34	photos	photo	NOUN	O	O	28	obl:mod
35	aériennes	aérien	ADJ	O	O	34	amod
36	.	.	PUNCT	O	O	9	punct


#*Contexte géologique :
1	*	*	PUNCT	O	O	2	punct
2	Contexte	contexte	NOUN	O	O	2	ROOT
3	géologique	géologique	ADJ	O	O	2	amod
4	 	 	SPACE	O	O	4	dep
5	:	:	PUNCT	O	O	4	punct


#Le site repose sur les terrains suivants :
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	3	nsubj
3	repose	repose	VERB	O	O	3	ROOT
4	sur	sur	ADP	O	O	6	case
5	les	le	DET	O	O	6	det
6	terrains	terrain	NOUN	O	O	3	obl:arg
7	suivants	suivant	ADJ	O	O	6	amod
8	 	 	SPACE	O	O	8	dep
9	:	:	PUNCT	O	O	8	punct


#- de 0 à 1 m : remblais sableux,
1	-	-	PUNCT	O	O	7	punct
2	de	de	ADP	O	O	6	case
3	0	0	NUM	O	O	6	nummod
4	à	à	ADP	O	O	5	case
5	1	1	NUM	O	O	3	nmod
6	m	m	NOUN	O	O	1	nmod
7	 	 	SPACE	O	O	7	dep
8	:	:	PUNCT	O	O	7	punct
9	remblais	remblai	NOUN	O	O	9	ROOT
10	sableux	sableux	ADJ	O	O	9	amod
11	,	,	PUNCT	O	O	9	punct


#- de 1 m à 2 m : argile sableuse accompagnée de graviers,
1	-	-	PUNCT	O	O	4	punct
2	de	de	ADP	O	O	4	case
3	1	1	NUM	O	O	4	nummod
4	m	m	NOUN	O	O	4	ROOT
5	à	à	ADP	O	O	7	case
6	2	2	NUM	O	O	7	nummod
7	m	m	NOUN	O	O	4	nmod
8	 	 	SPACE	O	O	4	dep
9	:	:	PUNCT	O	O	4	punct
10	argile	argile	NOUN	O	O	4	appos
11	sableuse	sableux	ADJ	O	O	10	amod
12	accompagnée	accompagner	VERB	O	O	10	acl
13	de	de	ADP	O	O	14	case
14	graviers	gravier	NOUN	O	O	12	obl:agent
15	,	,	PUNCT	O	O	10	punct


#- de 2 à 3/4 m : sable et graviers (alluvions du Furan),
1	-	-	PUNCT	O	O	7	punct
2	de	de	ADP	O	O	6	case
3	2	2	NUM	O	O	6	nummod
4	à	à	ADP	O	O	5	case
5	3/4	3/4	NUM	O	O	3	nmod
6	m	m	NOUN	O	O	1	nmod
7	 	 	SPACE	O	O	7	dep
8	:	:	PUNCT	O	O	7	punct
9	sable	sable	NOUN	O	O	7	appos
10	et	et	CCONJ	O	O	11	cc
11	graviers	gravier	NOUN	O	O	9	conj
12	(	(	PUNCT	O	O	9	punct
13	alluvions	alluvion	NOUN	O	O	9	appos
14	du	de	ADP	O	O	15	case
15	Furan	Furan	PROPN	O	O	13	nmod
16	)	)	PUNCT	O	O	9	punct
17	,	,	PUNCT	O	O	9	punct


#- de 3/4 m à 8 m : socle rocheux composé de schiste gris.
1	-	-	PUNCT	O	O	4	punct
2	de	de	ADP	O	O	4	case
3	3/4	3/4	NUM	O	O	4	nummod
4	m	m	NOUN	O	O	4	ROOT
5	à	à	ADP	O	O	7	case
6	8	8	NUM	O	O	7	nummod
7	m	m	NOUN	O	O	4	nmod
8	 	 	SPACE	O	O	8	dep
9	:	:	PUNCT	O	O	8	punct
10	socle	socle	NOUN	O	O	8	appos
11	rocheux	rocheux	ADJ	O	O	10	amod
12	composé	composer	VERB	O	O	10	acl
13	de	de	ADP	O	O	14	case
14	schiste	schiste	NOUN	O	O	12	obl:agent
15	gris	gris	ADJ	O	O	14	amod
16	.	.	PUNCT	O	O	10	punct

