
#60.0023
#La Société STARE a exploité à VILLERS SUR COUDUN un atelier de traitement de surface à l'origine d'une contamination par du chrome hexavalent de l'eau du captage de VILLERS SUR COUDUN (en 1980).
1	La	le	DET	BO	BI	2	det
2	Société	société	NOUN	IO	II	5	nsubj
3	STARE	STARE	PROPN	EO	EI	2	nmod
4	a	avoir	AUX	BN	O	5	aux:tense
5	exploité	exploiter	VERB	EN	O	5	ROOT
6	à	à	ADP	BL	O	7	case
7	VILLERS	VILLERS	PROPN	IL	EI	5	obl:mod
8	SUR	sur	ADP	IL	EI	9	case
9	COUDUN	COUDUN	PROPN	IL	EI	7	nmod
10	un	un	DET	BO	O	11	det
11	atelier	atelier	NOUN	IO	O	5	obj
12	de	de	ADP	IO	O	13	case
13	traitement	traitement	NOUN	IO	O	11	nmod
14	de	de	ADP	IO	O	15	case
15	surface	surface	NOUN	EO	O	13	nmod
16	à	à	ADP	BR	O	18	case
17	l'	le	DET	IR	O	18	det
18	origine	origine	NOUN	IR	O	11	nmod
19	d'	de	ADP	ER	O	21	case
20	une	un	DET	BO	O	21	det
21	contamination	contamination	NOUN	EO	O	18	nmod
22	par	par	ADP	O	O	24	case
23	du	de	DET	O	BS	24	det
24	chrome	chrome	NOUN	BO	BS	21	nmod
25	hexavalent	hexavalent	ADJ	EO	ES	24	amod
26	de	de	ADP	O	O	28	case
27	l'	le	DET	O	O	28	det
28	eau	eau	NOUN	O	O	24	nmod
29	du	de	ADP	O	O	30	case
30	captage	captage	NOUN	BL	O	28	nmod
31	de	de	ADP	IL	O	32	case
32	VILLERS	VILLERS	PROPN	IL	EI	30	nmod
33	SUR	sur	ADP	IL	EI	34	case
34	COUDUN	COUDUN	PROPN	EL	EI	32	nmod
35	(	(	PUNCT	EL	O	21	punct
36	en	en	ADP	BT	O	37	case
37	1980	1980	NUM	ET	O	21	nmod
38	)	)	PUNCT	ET	O	5	punct
39	.	.	PUNCT	ET	O	5	punct


#En 1988, la société META MECA est devenue l'exploitant des installations.
1	En	en	ADP	BT	O	2	case
2	1988	1988	NUM	ET	O	9	obl:mod
3	,	,	PUNCT	O	O	9	punct
4	la	le	DET	BO	BI	5	det
5	société	société	NOUN	IO	II	9	nsubj
6	META	META	PROPN	EO	EI	5	appos
7	MECA	MECA	PROPN	EO	EI	6	flat:name
8	est	être	AUX	BN	O	9	aux:tense
9	devenue	devenir	VERB	EN	O	9	ROOT
10	l'	le	DET	BO	O	11	det
11	exploitant	exploitant	NOUN	EO	O	9	xcomp
12	des	de	ADP	BO	O	13	case
13	installations	installation	NOUN	EO	O	11	nmod
14	.	.	PUNCT	O	O	9	punct


#En septembre 1989, l'exploitation des installations a cessé.
1	En	en	ADP	BT	O	2	case
2	septembre	septembre	NOUN	IT	O	10	obl:mod
3	1989	1989	NUM	ET	O	2	nmod
4	,	,	PUNCT	O	O	10	punct
5	l'	le	DET	BO	O	6	det
6	exploitation	exploitation	NOUN	IO	O	10	nsubj
7	des	de	ADP	IO	O	8	case
8	installations	installation	NOUN	EO	O	6	nmod
9	a	avoir	AUX	BN	O	10	aux:tense
10	cessé	cesser	VERB	EN	O	10	ROOT
11	.	.	PUNCT	O	O	10	punct


#Suite à la contamination de l'eau du captage de VILLERS SUR COUDIN par du chrome hexavalent, un dispositif de contrôle de la qualité de la nappe a été mis en place en aval de l'usine et des pompages ont été entrepris pour résorber la pollution.
1	Suite	suite	NOUN	BR	O	4	case
2	à	à	ADP	ER	O	1	fixed
3	la	le	DET	BN	O	4	det
4	contamination	contamination	NOUN	EN	O	31	obl:mod
5	de	de	ADP	O	O	7	case
6	l'	le	DET	BO	O	7	det
7	eau	eau	NOUN	IO	O	4	nmod
8	du	de	ADP	IL	O	9	case
9	captage	captage	NOUN	IL	O	7	nmod
10	de	de	ADP	IL	O	11	case
11	VILLERS	VILLERS	PROPN	IL	EI	9	nmod
12	SUR	sur	ADP	IL	EI	13	case
13	COUDIN	COUDIN	PROPN	EL	EI	11	nmod
14	par	par	ADP	O	O	16	case
15	du	de	DET	O	BS	16	det
16	chrome	chrome	NOUN	BO	BS	4	nmod
17	hexavalent	hexavalent	ADJ	EO	ES	16	amod
18	,	,	PUNCT	O	O	31	punct
19	un	un	DET	BO	O	20	det
20	dispositif	dispositif	NOUN	IO	O	31	nsubj:pass
21	de	de	ADP	IO	O	22	case
22	contrôle	contrôle	NOUN	IO	O	20	nmod
23	de	de	ADP	IO	O	25	case
24	la	le	DET	IO	O	25	det
25	qualité	qualité	NOUN	IO	O	22	nmod
26	de	de	ADP	IO	O	28	case
27	la	le	DET	IO	O	28	det
28	nappe	nappe	NOUN	EA	O	25	nmod
29	a	avoir	AUX	BN	O	31	aux:tense
30	été	être	AUX	IN	O	31	aux:pass
31	mis	mettre	VERB	IN	O	31	ROOT
32	en	en	ADP	EN	O	33	case
33	place	place	NOUN	EN	O	31	obl:arg
34	en	en	ADP	BL	O	35	case
35	aval	aval	NOUN	IL	O	31	obl:mod
36	de	de	ADP	IL	O	38	case
37	l'	le	DET	IL	O	38	det
38	usine	usine	NOUN	EL	O	35	nmod
39	et	et	CCONJ	O	O	44	cc
40	des	un	DET	BN	O	41	det
41	pompages	pompage	NOUN	EN	O	44	nsubj:pass
