
#12.0012
#Unité de fabrication d'injecteurs et bougies de préchauffage pour véhicules routiers, comportant un atelier d'usinage des métaux et de traitement de surfaces.
1	Unité	unité	NOUN	BA	O	1	ROOT
2	de	de	ADP	BA	O	3	case
3	fabrication	fabrication	NOUN	IA	O	1	nmod
4	d'	de	ADP	IA	O	5	case
5	injecteurs	injecteur	NOUN	IA	O	3	nmod
6	et	et	CCONJ	IA	O	7	cc
7	bougies	bougie	NOUN	IA	O	5	conj
8	de	de	ADP	IA	O	9	case
9	préchauffage	préchauffage	NOUN	IA	O	7	nmod
10	pour	pour	ADP	O	O	11	case
11	véhicules	véhicule	NOUN	O	O	1	nmod
12	routiers	routier	ADJ	O	O	11	amod
13	,	,	PUNCT	O	O	1	punct
14	comportant	comporter	VERB	BR	O	1	acl
15	un	un	DET	BO	O	16	det
16	atelier	atelier	NOUN	IO	O	14	obj
17	d'	de	ADP	BA	O	18	case
18	usinage	usinage	NOUN	IA	O	16	nmod
19	des	de	ADP	IA	O	20	case
20	métaux	métal	NOUN	EA	O	18	nmod
21	et	et	CCONJ	O	O	23	cc
22	de	de	ADP	O	O	23	case
23	traitement	traitement	NOUN	BA	O	18	conj
24	de	de	ADP	IA	O	25	case
25	surfaces	surface	NOUN	EA	O	23	nmod
26	.	.	PUNCT	O	O	1	punct


#Elle est soumise à :
1	Elle	lui	PRON	O	O	3	nsubj:pass
2	est	être	AUX	O	O	3	aux:pass
3	soumise	soumettre	VERB	O	O	3	ROOT
4	à	à	ADP	O	O	5	case
5	:	:	PUNCT	O	O	3	obl:arg


#- l'arrêté préfectoral du 28 juillet 1993, autorisant à poursuivre l'exploitation d'un établissement de fabrication d'accessoires mécaniques, notamment pour l'automobile;
1	-	-	PUNCT	O	O	3	punct
2	l'	le	DET	BO	O	3	det
3	arrêté	arrêté	NOUN	BO	O	3	ROOT
4	préfectoral	préfectoral	ADJ	EO	O	3	amod
5	du	de	ADP	O	O	6	case
6	28	28	NUM	BT	O	3	nmod
7	juillet	juillet	NOUN	IT	O	6	nmod
8	1993	1993	NUM	ET	O	7	nmod
9	,	,	PUNCT	O	O	3	punct
10	autorisant	autoriser	VERB	O	O	3	acl
11	à	à	ADP	O	O	12	mark
