
#64.0007
#TOTAL E&P France exploite une plate-forme industrielle à Lacq (64).
1	TOTAL	TOTAL	PROPN	BO	EI	4	nsubj
2	E&P	E&P	PROPN	BO	EI	1	flat:name
3	France	France	PROPN	EO	EI	1	flat:name
4	exploite	exploite	VERB	BN	O	4	ROOT
5	une	un	DET	IN	O	6	det
6	plate	plate	NOUN	EN	O	4	obj
7	-	-	NOUN	EN	O	4	punct
8	forme	forme	NOUN	IA	O	4	punct
9	industrielle	industriel	ADJ	IA	O	8	amod
10	à	à	ADP	IL	O	11	case
11	Lacq	Lacq	PROPN	EL	O	4	obl:mod
12	(	(	PUNCT	EL	O	11	punct
13	64	64	NUM	EL	O	11	appos
14	)	)	PUNCT	EL	O	11	punct
15	.	.	PUNCT	O	O	4	punct


#D'une surface de 220 hectares environ, l'usine de Lacq traite et transforme le gaz des gisements avoisinants.
1	D'	de	ADP	O	O	3	case
2	une	un	DET	O	O	3	det
3	surface	surface	NOUN	O	O	13	obl:mod
4	de	de	ADP	O	O	6	case
5	220	220	NUM	O	O	6	nummod
6	hectares	hectare	NOUN	O	O	3	nmod
7	environ	environ	ADV	O	O	6	advmod
8	,	,	PUNCT	O	O	13	punct
9	l'	le	DET	BO	O	10	det
10	usine	usine	NOUN	EO	O	13	nsubj
11	de	de	ADP	IL	O	12	case
12	Lacq	Lacq	PROPN	EL	O	10	nmod
13	traite	traire	VERB	BA	O	13	ROOT
14	et	et	CCONJ	IA	O	15	cc
15	transforme	transforme	VERB	IA	O	13	conj
16	le	le	DET	IA	O	17	det
17	gaz	gaz	NOUN	IA	O	15	obj
18	des	de	ADP	IA	O	19	case
19	gisements	gisement	NOUN	IA	O	17	nmod
20	avoisinants	avoisinant	ADJ	EA	O	19	amod
21	.	.	PUNCT	O	O	13	punct


#Le site se trouve le long du Gave de Pau à une vingtaine de km de la ville de Pau.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj
3	se	se	PRON	BL	O	4	expl:comp
4	trouve	trouve	VERB	IL	O	4	ROOT
5	le	le	DET	IL	O	6	det
6	long	long	ADV	IL	O	4	xcomp
7	du	de	ADP	IL	O	8	case
8	Gave	Gave	PROPN	IL	O	6	dep
9	de	de	ADP	IL	O	10	case
10	Pau	Pau	PROPN	IL	O	8	nmod
11	à	à	ADP	IL	O	13	case
12	une	un	DET	IL	O	13	det
13	vingtaine	vingtaine	NOUN	IL	O	4	obl:arg
14	de	de	ADP	IL	O	15	case
15	km	kilomètre	NOUN	IL	O	13	nmod
16	de	de	ADP	IL	O	18	case
17	la	le	DET	IL	O	18	det
18	ville	ville	NOUN	IL	O	15	nmod
19	de	de	ADP	IL	O	20	case
20	Pau	Pau	PROPN	EL	O	18	nmod
21	.	.	PUNCT	O	O	4	punct


#L’activité industrielle du Lotissement a démarré en 1957, après la découverte de Lacq Supérieur (pétrole) et Lacq Profond (gaz) en 1949/1951.
1	L’	l’	DET	BA	O	2	det
2	activité	activité	NOUN	IA	O	7	nsubj
3	industrielle	industriel	ADJ	IA	O	2	amod
4	du	de	ADP	IA	O	5	case
5	Lotissement	Lotissement	PROPN	EO	O	2	nmod
6	a	avoir	AUX	BN	O	7	aux:tense
7	démarré	démarrer	VERB	EN	O	7	ROOT
8	en	en	ADP	BT	O	9	case
9	1957	1957	NUM	ET	O	7	obl:mod
10	,	,	PUNCT	O	O	7	punct
11	après	après	ADP	BR	O	13	case
12	la	le	DET	BN	O	13	det
13	découverte	découverte	NOUN	EN	O	7	obl:mod
14	de	de	ADP	O	O	15	case
15	Lacq	Lacq	PROPN	BO	O	13	nmod
16	Supérieur	supérieur	ADJ	EO	O	15	amod
17	(	(	PUNCT	O	O	15	punct
18	pétrole	pétrole	NOUN	EA	O	15	appos
19	)	)	PUNCT	O	O	15	punct
20	et	et	CCONJ	O	O	21	cc
21	Lacq	Lacq	PROPN	O	O	15	conj
22	Profond	profond	ADJ	O	O	21	amod
23	(	(	PUNCT	O	O	21	punct
24	gaz	gaz	NOUN	O	O	21	appos
25	)	)	PUNCT	O	O	21	punct
26	en	en	ADP	BT	O	27	case
27	1949/1951	1949/1951	NOUN	ET	O	7	obl:mod
28	.	.	PUNCT	O	O	7	punct


#L’usine a été construite sur une zone à vocation agricole.
1	L’	l’	DET	BO	O	2	det
2	usine	usine	NOUN	EO	O	5	nsubj:pass
3	a	avoir	AUX	BN	O	5	aux:tense
4	été	être	AUX	IN	O	5	aux:pass
5	construite	construire	VERB	IL	O	5	ROOT
6	sur	sur	ADP	IL	O	8	case
7	une	un	DET	IL	O	8	det
8	zone	zone	NOUN	IL	O	5	obl:arg
9	à	à	ADP	IL	O	10	case
10	vocation	vocation	NOUN	IL	O	8	nmod
11	agricole	agricole	ADJ	EL	O	10	amod
12	.	.	PUNCT	O	O	5	punct


#Les activités étaient alors localisées à la partie Nord du Lotissement actuel.
1	Les	le	DET	BO	O	2	det
2	activités	activité	NOUN	EO	O	5	nsubj:pass
3	étaient	être	AUX	BN	O	5	aux:pass
4	alors	alors	ADV	IN	O	5	advmod
5	localisées	localiser	VERB	EN	O	5	ROOT
6	à	à	ADP	BL	O	8	case
7	la	le	DET	IL	O	8	det
8	partie	partie	NOUN	IL	O	5	obl:arg
9	Nord	nord	NOUN	IL	O	8	nmod
10	du	de	ADP	IL	O	11	case
11	Lotissement	lotissement	NOUN	IL	O	8	nmod
12	actuel	actuel	ADJ	EL	O	11	amod
13	.	.	PUNCT	O	O	5	punct


#L’extension vers la partie Sud ne se fait que vers 1976.
1	L’	l’	DET	BN	O	2	det
2	extension	extension	NOUN	IN	O	9	nsubj
3	vers	vers	ADP	EN	O	5	case
4	la	le	DET	BO	O	5	det
5	partie	partie	NOUN	IO	O	2	nmod
6	Sud	sud	NOUN	EO	O	5	nmod
7	ne	ne	ADV	BN	O	9	advmod
8	se	se	PRON	IN	O	9	expl:pass
9	fait	faire	VERB	EN	O	9	ROOT
10	que	que	ADV	BT	O	12	advmod
11	vers	vers	ADP	BT	O	12	case
12	1976	1976	NUM	ET	O	9	obl:mod
13	.	.	PUNCT	ET	O	9	punct


#De 1978 aux années 2000, le schéma de traitement de l’usine de Lacq n'a pratiquement pas évolué.
1	De	de	ADP	BT	O	2	case
2	1978	1978	NUM	IT	O	20	obl:mod
3	aux	à	ADP	IT	O	4	case
4	années	année	NOUN	IT	O	2	nmod
5	2000	2000	PUNCT	ET	O	4	nmod
6	,	,	PUNCT	ET	O	20	punct
7	le	le	DET	BO	O	8	det
8	schéma	schéma	NOUN	IO	O	20	nsubj
9	de	de	ADP	IO	O	10	case
10	traitement	traitement	NOUN	EO	O	8	nmod
11	de	de	ADP	O	O	13	case
12	l’	l’	DET	BO	O	13	det
13	usine	usine	NOUN	EO	O	8	nmod
14	de	de	ADP	O	O	15	case
15	Lacq	Lacq	PROPN	BL	O	13	nmod
16	n'	n'	ADV	O	O	20	advmod
17	a	avoir	AUX	O	O	20	aux:tense
18	pratiquement	pratiquement	ADV	O	O	19	advmod
19	pas	pas	ADV	O	O	20	advmod
20	évolué	évoluer	VERB	O	O	20	ROOT
21	.	.	PUNCT	O	O	20	punct


#En 2005, le déclin des gisements a contraint TEPF à remodeler et à optimiser les unités de traitement de gaz brut et d’huile du Lotissement afin de poursuivre l’exploitation des champs du Sud-Ouest de la France (Lacq - Meillon principalement) dans des conditions techniques et économiques satisfaisantes.
1	En	en	ADP	BT	O	2	case
2	2005	2005	PUNCT	ET	O	9	obl:mod
3	,	,	PUNCT	ET	O	9	punct
4	le	le	DET	O	O	5	det
5	déclin	déclin	NOUN	O	O	9	nsubj
6	des	de	ADP	O	O	7	case
7	gisements	gisement	NOUN	BO	O	5	nmod
8	a	avoir	AUX	BN	O	9	aux:tense
9	contraint	contraindre	VERB	EN	O	9	ROOT
10	TEPF	TEPF	PROPN	EO	EI	9	obj
11	à	à	ADP	O	O	12	mark
12	remodeler	remodeler	VERB	BN	O	9	xcomp
13	et	et	CCONJ	IN	O	15	cc
14	à	à	ADP	IN	O	15	mark
15	optimiser	optimiser	VERB	EN	O	12	conj
16	les	le	DET	BO	O	17	det
17	unités	unité	NOUN	IO	O	12	obj
18	de	de	ADP	IO	O	19	case
19	traitement	traitement	NOUN	EO	O	17	nmod
20	de	de	ADP	O	O	21	case
21	gaz	gaz	NOUN	O	O	19	nmod
22	brut	brut	ADJ	O	O	21	amod
23	et	et	CCONJ	O	O	25	cc
24	d’	d’	ADP	O	O	25	case
25	huile	huile	NOUN	O	O	21	conj
26	du	de	ADP	O	O	27	case
27	Lotissement	Lotissement	PROPN	EL	O	21	nmod
28	afin	afin	ADV	O	O	12	advmod
29	de	de	ADP	O	O	30	case
30	poursuivre	poursuivre	VERB	O	O	28	obl:arg
31	l’	l’	DET	BA	O	32	det
32	exploitation	exploitation	NOUN	IA	O	30	obj
33	des	de	ADP	IA	O	34	case
34	champs	champ	NOUN	IA	O	32	nmod
35	du	de	ADP	IA	O	36	case
36	Sud-Ouest	Sud-Ouest	PROPN	IA	O	34	nmod
37	de	de	ADP	IA	O	39	case
38	la	le	DET	IA	O	39	det
39	France	France	PROPN	EA	O	36	nmod
40	(	(	PUNCT	O	O	34	punct
41	Lacq	Lacq	PROPN	BL	BI	34	appos
42	-	-	PUNCT	IL	O	43	punct
43	Meillon	Meillon	PROPN	IL	BI	41	conj
44	principalement	principalement	ADV	IL	O	43	advmod
45	)	)	PUNCT	O	O	41	punct
46	dans	dans	ADP	O	O	48	case
47	des	un	DET	O	O	48	det
48	conditions	condition	NOUN	O	O	32	obl:mod
49	techniques	technique	ADJ	O	O	48	amod
50	et	et	CCONJ	O	O	51	cc
51	économiques	économique	ADJ	O	O	49	conj
52	satisfaisantes	satisfaisant	ADJ	O	O	48	amod
53	.	.	PUNCT	O	O	9	punct


#Cette modification de l'architecture a conduit à arrêter l'ensemble de la chaîne de fabrication et de stockage G.
1	Cette	ce	DET	BN	O	2	det
2	modification	modification	NOUN	EN	O	7	nsubj
3	de	de	ADP	O	O	5	case
