
#38.0034
#ancien site Seveso situé à Champagnier, l'usine Polimeri Europa Elastomères France a démarré sa production de caoutchouc de polychloroprène (à partir du butadiène et du chlore) en juin 1966.
1	ancien	ancien	ADJ	BO	O	2	amod
2	site	site	NOUN	IO	O	15	obl:mod
3	Seveso	Seveso	PROPN	EO	O	2	nmod
4	situé	situer	VERB	BL	O	2	acl
5	à	à	ADP	IL	O	6	case
6	Champagnier	Champagnier	PROPN	IL	O	4	obl:arg
7	,	,	PUNCT	O	O	15	punct
8	l'	le	DET	BO	O	9	det
9	usine	usine	NOUN	IO	O	15	nsubj
10	Polimeri	Polimeri	PROPN	EO	BI	9	nmod
11	Europa	Europa	PROPN	EO	EI	9	nmod
12	Elastomères	Elastomères	PROPN	EO	EI	9	nmod
13	France	France	PROPN	EO	O	9	nmod
14	a	avoir	AUX	BN	O	15	aux:tense
15	démarré	démarrer	VERB	EN	O	15	ROOT
16	sa	son	DET	BA	O	17	det
17	production	production	NOUN	IA	O	15	obj
18	de	de	ADP	IA	O	19	case
19	caoutchouc	caoutchouc	NOUN	IA	BU	17	nmod
20	de	de	ADP	IA	IU	21	case
21	polychloroprène	polychloroprène	NOUN	EA	ES	19	nmod
22	(	(	PUNCT	O	O	17	punct
23	à	à	ADP	O	O	17	dep
24	partir	partir	VERB	O	O	23	fixed
25	du	de	ADP	O	O	26	case
26	butadiène	butadiène	NOUN	O	BS	23	dep
27	et	et	CCONJ	O	O	29	cc
28	du	de	ADP	O	O	29	case
29	chlore	chlore	NOUN	O	BS	26	conj
30	)	)	PUNCT	O	O	17	punct
31	en	en	ADP	BT	O	32	case
32	juin	juin	NOUN	IT	O	15	obl:mod
33	1966	1966	NUM	ET	O	32	nmod
34	.	.	PUNCT	ET	O	15	punct


#Sa production était d'environ 30 000 t/an.
1	Sa	son	DET	BA	O	2	det
2	production	production	NOUN	EA	O	4	nsubj
3	était	être	AUX	O	O	4	cop
4	d'	de	ADP	O	O	4	ROOT
5	environ	environ	ADV	O	O	8	advmod
6	30	30	DET	O	O	8	det
7	000	000	DET	O	O	8	det
8	t	t	NOUN	ET	O	8	ROOT
9	/	sur	ADP	ET	O	10	case
10	an	an	NOUN	ET	O	8	nmod
11	.	.	PUNCT	O	O	8	punct


#Le site a cessé son activité le 2 août 2006.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj
3	a	avoir	AUX	BN	O	4	aux:tense
4	cessé	cesser	VERB	IN	O	4	ROOT
5	son	son	DET	IN	O	6	det
6	activité	activité	NOUN	EN	O	4	obj
7	le	le	DET	BT	O	8	det
8	2	2	NUM	IT	O	4	obl:mod
9	août	août	NOUN	IT	O	8	nmod
10	2006	2006	PUNCT	ET	O	9	nmod
11	.	.	PUNCT	ET	O	4	punct


#e site exploitait également un incinérateur de déchets chlorés.
1	e	e	DET	BO	O	2	det
2	site	site	NOUN	EO	O	3	nsubj
3	exploitait	exploiter	VERB	BR	O	3	ROOT
4	également	également	ADV	ER	O	3	advmod
5	un	un	DET	BO	O	6	det
6	incinérateur	incinérateur	NOUN	IA	O	3	obj
7	de	de	ADP	IA	O	8	case
8	déchets	déchet	NOUN	IA	BU	6	nmod
9	chlorés	chlorer	VERB	EA	EU	8	acl
10	.	.	PUNCT	O	O	3	punct


#Le site est entouré de la route nationale 85 au sud-ouest, du canal d'arrosage de la Romanche au Nord-est, d’habitations au sud-est en nombre limité et d'une voie de chemin de fer parallèle à la RN85.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj:pass
3	est	être	AUX	O	O	4	aux:pass
4	entouré	entourer	VERB	BL	O	4	ROOT
5	de	de	ADP	IL	O	7	case
6	la	le	DET	IL	O	7	det
7	route	route	NOUN	IL	O	4	obl:agent
8	nationale	national	ADJ	IL	O	7	amod
9	85	85	NUM	IL	O	7	nummod
10	au	au	ADP	IL	O	11	case
11	sud-ouest	sud-ouest	NOUN	EL	O	7	nmod
12	,	,	PUNCT	O	O	14	punct
13	du	de	ADP	O	O	14	case
14	canal	canal	NOUN	BO	O	7	conj
15	d'	de	ADP	BL	O	16	case
16	arrosage	arrosage	NOUN	IL	O	14	nmod
17	de	de	ADP	IL	O	19	case
18	la	le	DET	IL	O	19	det
19	Romanche	Romanche	PROPN	IL	O	14	nmod
20	au	au	ADP	IL	O	21	case
21	Nord-est	nord-est	NOUN	IL	O	14	nmod
22	,	,	PUNCT	O	O	24	punct
23	d’	d’	ADP	O	O	24	case
24	habitations	habitation	NOUN	BL	O	7	conj
25	au	au	ADP	IL	O	26	case
26	sud-est	sud-est	NOUN	EL	O	24	nmod
27	en	en	ADP	O	O	28	case
28	nombre	nombre	NOUN	O	O	24	nmod
29	limité	limité	ADJ	O	O	28	amod
30	et	et	CCONJ	O	O	33	cc
31	d'	de	ADP	O	O	33	case
32	une	un	DET	BO	O	33	det
33	voie	voie	NOUN	IO	O	7	conj
34	de	de	ADP	IO	O	35	case
35	chemin	chemin	NOUN	IO	O	33	nmod
36	de	de	ADP	IO	O	37	case
37	fer	fer	NOUN	EO	O	35	nmod
38	parallèle	parallèle	ADJ	BL	O	33	amod
39	à	à	ADP	IL	O	41	case
40	la	le	DET	IL	O	41	det
41	RN85	rn85	NOUN	IL	O	38	obl:arg
42	.	.	PUNCT	O	O	4	punct


#La superficie de l'ensemble des parcelles cadastrales représente 258408 m2, mais toutes les parcelles n'ont pas été exploitées.
1	La	le	DET	O	O	2	det
2	superficie	superficie	NOUN	O	O	9	nsubj
3	de	de	ADP	O	O	5	case
4	l'	le	DET	O	O	5	det
5	ensemble	ensemble	NOUN	O	O	2	nmod
6	des	de	ADP	BO	O	7	case
7	parcelles	parcelle	NOUN	IO	O	5	nmod
8	cadastrales	cadastral	ADJ	EO	O	7	amod
9	représente	représente	VERB	O	O	9	ROOT
10	258408	258408	NUM	O	O	11	nummod
11	m2	m2	PUNCT	O	O	9	obj
12	,	,	PUNCT	O	O	9	punct
13	mais	mais	CCONJ	O	O	21	cc
14	toutes	tout	ADJ	O	O	16	amod
15	les	le	DET	BO	O	16	det
16	parcelles	parcelle	NOUN	EO	O	21	nsubj:pass
17	n'	n'	ADV	BR	O	21	advmod
18	ont	avoir	AUX	IN	O	21	aux:tense
19	pas	pas	ADV	IN	O	21	advmod
20	été	être	AUX	IN	O	21	aux:pass
21	exploitées	exploiter	VERB	EN	O	9	conj
22	.	.	PUNCT	O	O	9	punct


#Le site est implanté à 500 mètres en aval de la confluence du Drac et de la Romanche.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj:pass
3	est	être	AUX	BL	O	4	aux:pass
4	implanté	implanter	VERB	IL	O	4	ROOT
5	à	à	ADP	IL	O	7	case
6	500	500	NUM	IL	O	7	nummod
7	mètres	mètre	NOUN	IL	O	4	obl:arg
8	en	en	ADP	IL	O	9	case
9	aval	aval	NOUN	IL	O	4	obl:mod
10	de	de	ADP	IL	O	12	case
11	la	le	DET	IL	O	12	det
12	confluence	confluence	NOUN	IL	O	9	nmod
13	du	de	ADP	IL	O	14	case
14	Drac	Drac	PROPN	IL	O	12	nmod
15	et	et	CCONJ	IL	O	18	cc
16	de	de	ADP	IL	O	18	case
17	la	le	DET	IL	O	18	det
18	Romanche	Romanche	PROPN	IL	O	14	conj
19	.	.	PUNCT	O	O	4	punct


#Un canal de réalimentation artificielle du Drac se situe sur la rive gauche au sud du site en amont. un canal EDF étanche se situe sur la rive droite du Drac au sud du site.
1	Un	un	DET	BO	O	2	det
2	canal	canal	NOUN	IO	O	9	nsubj
3	de	de	ADP	IO	O	4	case
4	réalimentation	réalimentation	NOUN	IN	O	2	nmod
5	artificielle	artificiel	ADJ	EN	O	4	amod
6	du	de	ADP	O	O	7	case
7	Drac	Drac	PROPN	EL	O	4	nmod
8	se	se	PRON	BL	O	9	expl:comp
9	situe	situe	VERB	IL	O	9	ROOT
10	sur	sur	ADP	IL	O	12	case
11	la	le	DET	IL	O	12	det
12	rive	rive	NOUN	IL	O	9	obl:arg
13	gauche	gauche	ADJ	IL	O	12	amod
14	au	au	ADP	IL	O	15	case
15	sud	sud	NOUN	IL	O	9	obl:mod
16	du	de	ADP	IL	O	17	case
17	site	site	NOUN	IL	O	15	nmod
18	en	en	ADP	IL	O	19	case
19	amont	amont	NOUN	EL	O	9	obl:mod
20	.	.	PUNCT	O	O	9	punct
21	un	un	DET	BO	O	22	det
22	canal	canal	NOUN	BO	O	26	nsubj
23	EDF	EDF	PROPN	BO	O	22	nmod
24	étanche	étanche	ADJ	IO	O	22	amod
25	se	se	PRON	BL	O	26	expl:comp
26	situe	situe	VERB	IL	O	26	ROOT
27	sur	sur	ADP	IL	O	29	case
28	la	le	DET	IL	O	29	det
29	rive	rive	NOUN	IL	O	26	obl:arg
30	droite	droit	ADJ	IL	O	29	amod
31	du	de	ADP	IL	O	32	case
32	Drac	Drac	PROPN	EL	O	29	nmod
33	au	au	ADP	BL	O	34	case
34	sud	sud	NOUN	IL	O	26	obl:mod
