
#76.0057
#Nature : Site industriel en activité (ancien site HYDRO AGRI FRANCE exploité par d’autres industriels)
1	Nature	nature	NOUN	O	O	1	ROOT
2	:	:	PUNCT	O	O	1	punct
3	Site	site	NOUN	BN	O	3	ROOT
4	industriel	industriel	ADJ	IN	O	3	amod
5	en	en	ADP	IN	O	6	case
6	activité	activité	NOUN	EN	O	3	nmod
7	(	(	PUNCT	O	O	3	punct
8	ancien	ancien	ADJ	BO	O	9	amod
9	site	site	NOUN	IO	O	3	appos
10	HYDRO	HYDRO	PROPN	IO	EI	9	nmod
11	AGRI	AGRI	PROPN	EO	EI	9	nmod
12	FRANCE	FRANCE	PROPN	EO	EI	9	nmod
13	exploité	exploiter	VERB	BN	O	9	acl
14	par	par	ADP	EN	O	17	case
15	d’	d’	DET	O	O	17	det
16	autres	autre	ADJ	O	O	17	amod
17	industriels	industriel	NOUN	O	O	13	obl:agent
18	)	)	PUNCT	O	O	3	punct


#Topographie : Terrain remblayé de la Zone Industrielle (Gonfreville l’Orcher et Rogerville), situé à proximité du grand canal du Havre.
1	Topographie	topographie	NOUN	O	O	1	ROOT
2	:	:	PUNCT	O	O	1	punct
3	Terrain	terrain	NOUN	O	O	3	ROOT
4	remblayé	remblayer	VERB	EN	O	3	acl
5	de	de	ADP	IL	O	7	case
6	la	le	DET	IL	O	7	det
7	Zone	zone	NOUN	IL	O	3	nmod
8	Industrielle	industriel	ADJ	IL	O	7	amod
9	(	(	PUNCT	O	O	7	punct
10	Gonfreville	Gonfreville	PROPN	IL	O	7	appos
11	l’	l’	DET	IL	O	12	det
12	Orcher	Orcher	PROPN	IL	O	10	nmod
13	et	et	CCONJ	IL	O	14	cc
14	Rogerville	Rogerville	PROPN	EL	O	10	conj
15	)	)	PUNCT	O	O	7	punct
16	,	,	PUNCT	O	O	3	punct
17	situé	situer	VERB	BL	O	3	acl
18	à	à	ADP	IL	O	19	case
19	proximité	proximité	NOUN	IL	O	17	obl:arg
20	du	de	ADP	IL	O	22	case
21	grand	grand	ADJ	IL	O	22	amod
22	canal	canal	NOUN	IL	O	19	nmod
23	du	de	ADP	IL	O	24	case
24	Havre	Havre	PROPN	EL	O	22	nmod
25	.	.	PUNCT	O	O	3	punct


#Superficie du site : La zone polluée (correspondant à l’implantation de l’atelier phosphorique HYDRO AGRI FRANCE) a été entièrement dépolluée.
1	Superficie	superficie	NOUN	O	O	1	ROOT
2	du	de	ADP	O	O	3	case
3	site	site	NOUN	O	O	1	nmod
4	:	:	PUNCT	O	O	1	punct
5	La	le	DET	BO	O	6	det
6	zone	zone	NOUN	IO	O	24	nsubj:pass
7	polluée	polluer	VERB	EO	O	6	acl
8	(	(	PUNCT	O	O	6	punct
9	correspondant	correspondre	VERB	BR	O	6	acl
10	à	à	ADP	ER	O	12	case
