
#974.0013
#Ensemble enterré de 2 pipe-lines (fuel domestique et fuel lourd) reliant les postes de déchargement des pétroliers au dépôt d'hydrocarbures de la société SRE.
1	Ensemble	ensemble	NOUN	BO	O	1	ROOT
2	enterré	enterrer	VERB	BN	O	1	acl
3	de	de	ADP	IN	O	5	case
4	2	2	NUM	BO	O	5	nummod
5	pipe	pipe	NOUN	EO	O	1	nmod
6	-	-	NOUN	EO	O	1	conj
7	lines	line	NOUN	EO	O	7	ROOT
8	(	(	PUNCT	O	O	8	ROOT
9	fuel	fuel	NOUN	O	BS	9	ROOT
10	domestique	domestique	ADJ	O	O	9	amod
11	et	et	CCONJ	O	O	12	cc
12	fuel	fuel	NOUN	O	BS	10	conj
13	lourd	lourd	ADJ	O	BS	12	amod
14	)	)	PUNCT	O	O	12	punct
15	reliant	relier	VERB	O	O	12	acl
16	les	le	DET	BO	O	17	det
17	postes	poste	NOUN	IO	O	15	obj
18	de	de	ADP	IO	O	19	case
19	déchargement	déchargement	NOUN	IO	O	17	nmod
20	des	de	ADP	IA	O	21	case
21	pétroliers	pétrolier	NOUN	EA	O	19	nmod
22	au	au	ADP	ER	O	23	case
23	dépôt	dépôt	NOUN	BO	O	15	obl:arg
24	d'	de	ADP	IO	O	25	case
25	hydrocarbures	hydrocarbure	NOUN	EO	BS	23	nmod
26	de	de	ADP	O	O	28	case
27	la	le	DET	BO	BI	28	det
28	société	société	NOUN	IO	II	23	nmod
29	SRE	SRE	PROPN	EO	EI	28	nmod
30	.	.	PUNCT	O	O	9	punct


#Le 3 mars 2001 la société SRE a découvert une fuite sur le pipe-line fuel lourd lors du déchargement d'un pétrolier.
1	Le	le	DET	BT	O	2	det
2	3	3	NUM	IT	O	9	obl:mod
3	mars	mars	NOUN	IT	O	2	nmod
4	2001	2001	NUM	ET	O	3	nmod
5	la	le	DET	BO	BI	6	det
6	société	société	NOUN	IO	II	9	nsubj
7	SRE	SRE	PROPN	EO	EI	6	nmod
8	a	avoir	AUX	BN	O	9	aux:tense
9	découvert	découvrir	VERB	EN	O	9	ROOT
10	une	un	DET	BO	O	11	det
11	fuite	fuite	NOUN	EO	O	9	obj
12	sur	sur	ADP	O	O	14	case
13	le	le	DET	BO	O	14	det
14	pipe	pipe	NOUN	IO	O	11	nmod
15	-	-	NOUN	IO	O	9	obl:arg
16	line	line	NOUN	IO	O	15	nmod
17	fuel	fuel	NOUN	IO	BU	16	nmod
18	lourd	lourd	ADJ	EO	EU	16	amod
19	lors	lors	ADV	BR	O	9	advmod
20	du	de	ADP	IL	O	21	case
21	déchargement	déchargement	NOUN	IL	O	19	obl:arg
22	d'	de	ADP	IL	O	24	case
23	un	un	DET	IL	O	24	det
24	pétrolier	pétrolier	NOUN	EL	O	21	nmod
25	.	.	PUNCT	O	O	9	punct


#A la demande de la DRIRE, des investigations ont été menées par la société SRE pour déterminer le lieu et l'origine de la fuite constatée.
1	A	à	ADP	BR	O	3	case
2	la	le	DET	IR	O	3	det
3	demande	demande	NOUN	IR	O	12	obl:mod
4	de	de	ADP	ER	O	6	case
5	la	le	DET	BO	BI	6	det
6	DRIRE	DRIRE	PROPN	EO	EI	3	nmod
7	,	,	PUNCT	O	O	12	punct
8	des	un	DET	BN	O	9	det
9	investigations	investigation	NOUN	EN	O	12	nsubj:pass
10	ont	avoir	AUX	BN	O	12	aux:tense
11	été	être	AUX	IN	O	12	aux:pass
12	menées	mener	VERB	EN	O	12	ROOT
13	par	par	ADP	O	O	15	case
14	la	le	DET	BO	BI	15	det
15	société	société	NOUN	IO	II	12	obl:agent
16	SRE	SRE	PROPN	EO	EI	15	flat:name
17	pour	pour	ADP	O	O	18	mark
18	déterminer	déterminer	VERB	O	O	12	advcl
19	le	le	DET	BO	O	20	det
20	lieu	lieu	NOUN	EO	O	18	obj
21	et	et	CCONJ	O	O	23	cc
22	l'	le	DET	O	O	23	det
23	origine	origine	NOUN	O	O	20	conj
24	de	de	ADP	O	O	26	case
25	la	le	DET	O	O	26	det
26	fuite	fuite	NOUN	O	O	20	nmod
27	constatée	constater	VERB	O	O	26	acl
28	.	.	PUNCT	O	O	12	punct


#Ceci a conduit la DRIRE à proposer au Préfet de prescrire à la société SRE la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	Ceci	ceci	PRON	O	O	3	nsubj
2	a	avoir	AUX	O	O	3	aux:tense
3	conduit	conduire	VERB	O	O	3	ROOT
4	la	le	DET	BO	BI	5	det
5	DRIRE	DRIRE	PROPN	EO	EI	3	obj
6	à	à	ADP	O	O	7	mark
7	proposer	proposer	VERB	O	O	3	xcomp
8	au	au	ADP	O	O	9	case
9	Préfet	préfet	NOUN	O	EI	7	obl:arg
10	de	de	ADP	O	O	11	mark
11	prescrire	prescrire	VERB	BN	O	7	xcomp
12	à	à	ADP	O	O	14	case
13	la	le	DET	BO	BI	14	det
14	société	société	NOUN	IO	II	11	obl:arg
15	SRE	SRE	PROPN	EO	EI	14	nmod
16	la	le	DET	BN	O	17	det
17	réalisation	réalisation	NOUN	IN	O	11	obj
18	d'	de	ADP	IN	O	20	case
19	un	un	DET	IN	O	20	det
20	diagnostic	diagnostic	NOUN	IN	O	17	nmod
21	initial	initial	ADJ	EN	O	20	amod
22	et	et	CCONJ	O	O	25	cc
23	d'	de	ADP	O	O	25	case
24	une	un	DET	BN	O	25	det
25	évaluation	évaluation	NOUN	IN	O	20	conj
26	simplifiée	simplifier	ADJ	IN	O	25	amod
27	des	de	ADP	IN	O	28	case
28	risques	risque	NOUN	EN	O	25	nmod
29	.	.	PUNCT	O	O	3	punct


#L'arrêté préfectoral du 16/07/2001 impose la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	L'	le	DET	BO	O	2	det
2	arrêté	arrêté	NOUN	IO	O	6	nsubj
3	préfectoral	préfectoral	ADJ	EO	O	2	amod
4	du	de	ADP	O	O	5	case
5	16/07/2001	16/07/2001	NOUN	IT	O	2	nmod
6	impose	impose	VERB	BN	O	6	ROOT
7	la	le	DET	BN	O	8	det
8	réalisation	réalisation	NOUN	IN	O	6	obj
9	d'	de	ADP	IN	O	11	case
10	un	un	DET	IN	O	11	det
11	diagnostic	diagnostic	NOUN	IN	O	8	nmod
12	initial	initial	ADJ	EN	O	11	amod
13	et	et	CCONJ	O	O	16	cc
14	d'	de	ADP	BN	O	16	case
15	une	un	DET	BN	O	16	det
16	évaluation	évaluation	NOUN	IN	O	11	conj
17	simplifiée	simplifier	ADJ	IN	O	16	amod
18	des	de	ADP	IN	O	19	case
19	risques	risque	NOUN	EN	O	16	nmod
20	.	.	PUNCT	O	O	6	punct


#Ces éléments sont reçus le 16/10/2001 puis complétés le 01/10/2002.
1	Ces	ce	DET	BO	O	2	det
2	éléments	élément	NOUN	EO	O	4	nsubj:pass
3	sont	être	AUX	BN	O	4	aux:pass
4	reçus	recevoir	VERB	EN	O	4	ROOT
5	le	le	DET	BT	O	6	det
6	16/10/2001	16/10/2001	NUM	IT	O	4	obl:mod
7	puis	puis	CCONJ	IN	O	8	cc
8	complétés	compléter	VERB	EN	O	4	conj
9	le	le	DET	BT	O	10	det
10	01/10/2002	01/10/2002	NUM	IT	O	8	obl:mod
11	.	.	PUNCT	O	O	4	punct


#L'arrêté préfectoral n°03-612/SG/DRCTCV du 14 mars 2003 a prescrit une surveillance des eaux souterraines arrêtée en mars 2004, suite à la réception du rapport final de suivi de la pollution des sols en novembre 2003.
1	L'	le	DET	BO	O	2	det
2	arrêté	arrêté	NOUN	IO	O	17	nsubj
3	préfectoral	préfectoral	ADJ	EO	O	2	amod
4	n°	numéro	NOUN	O	O	2	acl
5	03	03	NOUN	O	O	2	nmod
6	-	-	NOUN	O	O	2	nmod
7	612	612	NOUN	O	O	2	nmod
8	/	/	NOUN	O	O	2	nmod
9	SG	SG	PROPN	O	BI	2	nmod
10	/	/	PROPN	O	EI	2	nmod
11	DRCTCV	DRCTCV	PROPN	IA	EI	2	nmod
12	du	de	ADP	BT	O	13	case
13	14	14	NUM	IT	O	2	nmod
14	mars	mars	NOUN	IT	O	13	nmod
15	2003	2003	NUM	ET	O	14	nmod
16	a	avoir	AUX	BN	O	17	aux:tense
17	prescrit	prescrire	VERB	IN	O	17	ROOT
18	une	un	DET	BA	O	19	det
19	surveillance	surveillance	NOUN	IA	O	17	obj
20	des	de	ADP	IA	O	21	case
21	eaux	eau	NOUN	IA	O	19	nmod
22	souterraines	souterrain	ADJ	EA	O	21	amod
23	arrêtée	arrêter	VERB	BO	O	19	acl
24	en	en	ADP	BT	O	25	case
25	mars	mars	NOUN	IT	O	23	obl:mod
26	2004	2004	PUNCT	ET	O	25	nmod
27	,	,	PUNCT	ET	O	23	punct
28	suite	suite	NOUN	BR	O	31	case
29	à	à	ADP	ER	O	28	fixed
30	la	le	DET	EN	O	31	det
