
#92.0029
#Dépôt pétrolier situé en zone industrielle et en bordure de SEINE.
1	Dépôt	dépôt	NOUN	BO	O	1	ROOT
2	pétrolier	pétrolier	ADJ	EO	O	1	amod
3	situé	situer	VERB	BL	O	1	acl
4	en	en	ADP	IL	O	5	case
5	zone	zone	NOUN	IL	O	3	obl:arg
6	industrielle	industriel	ADJ	IL	O	5	amod
7	et	et	CCONJ	IL	O	9	cc
8	en	en	ADP	IL	O	9	case
9	bordure	bordure	NOUN	IL	O	5	conj
10	de	de	ADP	IL	O	11	case
11	SEINE	SEINE	PROPN	EL	O	9	nmod
12	.	.	PUNCT	O	O	1	punct


#Cessation d'activité au 31/12/2013.
1	Cessation	cessation	NOUN	BN	O	1	ROOT
2	d'	de	ADP	IN	O	3	case
3	activité	activité	NOUN	EN	O	1	nmod
4	au	au	ADP	BT	O	5	case
5	31/12/2013	31/12/2013	NOUN	IT	O	1	nmod
6	.	.	PUNCT	ET	O	1	punct


#Site soumis à l'article 65 de l'arrêté du 2 février 1998 concernant la surveillance des eaux souterraines.
1	Site	site	NOUN	BO	O	1	ROOT
2	soumis	soumettre	VERB	BL	O	1	acl
3	à	à	ADP	IL	O	5	case
4	l'	le	DET	O	O	5	det
5	article	article	NOUN	O	O	2	obl:arg
6	65	65	NUM	O	O	5	nummod
7	de	de	ADP	O	O	9	case
8	l'	le	DET	O	O	9	det
9	arrêté	arrêté	NOUN	O	O	5	nmod
10	du	de	ADP	O	O	11	case
11	2	2	NUM	BT	O	9	nmod
12	février	février	NOUN	IT	O	11	nmod
13	1998	1998	NUM	ET	O	12	nmod
14	concernant	concerner	VERB	O	O	9	acl
15	la	le	DET	O	O	16	det
16	surveillance	surveillance	NOUN	BA	O	14	obj
17	des	de	ADP	IA	O	18	case
18	eaux	eau	NOUN	IA	O	16	nmod
19	souterraines	souterrain	ADJ	EA	O	18	amod
20	.	.	PUNCT	O	O	1	punct


#En application de la circulaire du 03/04/1996, une Évaluation Simplifiée des Risques (ESR) a été imposée par arrêté préfectoral du 08/10/1998.
1	En	en	ADP	O	O	2	case
2	application	application	NOUN	O	O	19	obl:mod
3	de	de	ADP	O	O	5	case
4	la	le	DET	O	O	5	det
5	circulaire	circulaire	NOUN	O	O	2	nmod
6	du	de	ADP	O	O	7	case
7	03/04/1996	03/04/1996	NOUN	ET	O	5	nmod
8	,	,	PUNCT	BN	O	19	punct
9	une	un	DET	IN	O	10	det
10	Évaluation	évaluation	NOUN	IN	O	19	nsubj:pass
11	Simplifiée	simplifier	ADJ	IN	O	10	amod
12	des	de	ADP	IN	O	13	case
13	Risques	risque	NOUN	EN	O	10	nmod
14	(	(	PUNCT	O	O	10	punct
15	ESR	esr	NOUN	BN	O	10	appos
16	)	)	PUNCT	IN	O	10	punct
17	a	avoir	AUX	IN	O	19	aux:tense
18	été	être	AUX	IN	O	19	aux:pass
19	imposée	imposer	VERB	EN	O	19	ROOT
20	par	par	ADP	BO	O	21	case
21	arrêté	arrêté	NOUN	BO	O	19	obl:mod
22	préfectoral	préfectoral	ADJ	EO	O	21	amod
23	du	de	ADP	BT	O	24	case
24	08/10/1998	08/10/1998	NOUN	ET	O	21	nmod
25	.	.	PUNCT	ET	O	19	punct


#Une surveillance des eaux souterraines existe, imposée par l'arrêté préfectoral complémentaire du 20/01/2011.
1	Une	un	DET	BA	O	2	det
2	surveillance	surveillance	NOUN	IA	O	6	nsubj
3	des	de	ADP	IA	O	4	case
4	eaux	eau	NOUN	IA	O	2	nmod
5	souterraines	souterrain	ADJ	EA	O	4	amod
6	existe	existe	VERB	O	O	6	ROOT
7	,	,	PUNCT	O	O	6	punct
8	imposée	imposer	VERB	BN	O	6	advcl
9	par	par	ADP	ER	O	11	case
10	l'	le	DET	BO	O	11	det
11	arrêté	arrêté	NOUN	IO	O	8	obl:agent
12	préfectoral	préfectoral	ADJ	IO	O	11	amod
13	complémentaire	complémentaire	ADJ	EO	O	11	amod
14	du	de	ADP	O	O	15	case
15	20/01/2011	20/01/2011	NOUN	ET	O	11	nmod
16	.	.	PUNCT	O	O	6	punct


#L'ESR a montré :
1	L'	le	DET	O	O	2	det
2	ESR	esr	NOUN	O	EI	4	nsubj
3	a	avoir	AUX	O	O	4	aux:tense
4	montré	montrer	VERB	O	O	4	ROOT
5	:	:	PUNCT	O	O	4	punct


#- des dépassements de la VDSS (usage industriel) pour les hydrocarbures et BTEX dans les sols en certains points.
1	-	-	PUNCT	O	O	3	punct
