
#13.0104
#GDF Marseille - Terrains de l'ancienne usine à Gaz (15ème)
1	GDF	GDF	PROPN	EO	BI	1	ROOT
2	Marseille	Marseille	PROPN	EO	EI	1	flat:name
3	-	-	PUNCT	O	O	4	punct
4	Terrains	terrain	NOUN	EO	O	4	ROOT
5	de	de	ADP	O	O	8	case
6	l'	le	DET	O	O	8	det
7	ancienne	ancien	ADJ	O	O	8	amod
8	usine	usine	NOUN	O	O	4	nmod
9	à	à	ADP	O	O	10	case
10	Gaz	gaz	NOUN	O	O	8	nmod
11	(	(	PUNCT	O	O	8	punct
12	15ème	15ème	NUM	O	O	8	nummod
13	)	)	PUNCT	O	O	8	punct


#Le site de Marseille implanté, rue Allar, a accueilli une usine créée en 1855, ayant fabriqué du gaz à partir de la distillation de la houille jusqu'en 1979.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	IO	O	11	nsubj
3	de	de	ADP	IO	O	4	case
4	Marseille	Marseille	PROPN	EO	O	2	nmod
5	implanté	implanter	VERB	EO	O	2	acl
6	,	,	PUNCT	O	O	2	punct
7	rue	rue	NOUN	BL	O	2	nmod
8	Allar	Allar	PROPN	EL	O	7	nmod
9	,	,	PUNCT	O	O	11	punct
10	a	avoir	AUX	BN	O	11	aux:tense
11	accueilli	accueillir	VERB	EN	O	11	ROOT
12	une	un	DET	BO	O	13	det
13	usine	usine	NOUN	EO	O	11	obj
14	créée	créer	VERB	BN	O	13	acl
15	en	en	ADP	BT	O	16	case
16	1855	1855	NUM	IT	O	14	obl:mod
17	,	,	PUNCT	O	O	14	punct
18	ayant	avoir	AUX	BA	O	19	aux:tense
19	fabriqué	fabriquer	VERB	BA	O	14	advcl
20	du	de	DET	IA	O	21	det
21	gaz	gaz	NOUN	EA	O	19	obj
22	à	à	ADP	O	O	19	advmod
23	partir	partir	VERB	O	O	22	fixed
24	de	de	ADP	O	O	26	case
25	la	le	DET	BA	O	26	det
26	distillation	distillation	NOUN	IA	O	22	dep
27	de	de	ADP	IA	O	29	case
28	la	le	DET	IA	O	29	det
29	houille	houille	NOUN	EA	O	26	nmod
30	jusqu'	jusque	ADP	BT	O	32	case
31	en	en	ADP	IT	O	32	case
32	1979	1979	NUM	ET	O	19	obl:mod
33	.	.	PUNCT	O	O	11	punct


#Ainsi, des matériaux tels que des liquides contaminés (eaux chargées en HAP,...), des sols imprégnés (HAP, Benzoapyrène, Benzène, cyanures totaux, ...)ainsi que des goudrons pâteux sont présents sur le site.
1	Ainsi	ainsi	ADV	O	O	40	advmod
2	,	,	PUNCT	O	O	40	punct
3	des	un	DET	BO	O	4	det
4	matériaux	matériau	NOUN	EO	O	40	nsubj
5	tels	tel	ADJ	O	O	4	amod
6	que	que	SCONJ	O	O	8	mark
7	des	un	DET	O	O	8	det
8	liquides	liquide	NOUN	O	O	5	dep
9	contaminés	contaminer	VERB	O	O	8	acl
10	(	(	PUNCT	O	O	8	punct
11	eaux	eau	NOUN	O	O	8	appos
12	chargées	charger	VERB	O	O	11	acl
13	en	en	ADP	O	O	14	case
14	HAP	hap	NOUN	O	BS	12	obl:arg
15	,	,	PUNCT	O	O	11	punct
16	...	...	PUNCT	O	O	8	punct
17	)	)	PUNCT	O	O	4	punct
18	,	,	PUNCT	O	O	20	punct
19	des	un	DET	O	O	20	det
20	sols	sol	NOUN	O	O	4	conj
21	imprégnés	imprégner	VERB	O	O	20	acl
22	(	(	PUNCT	O	O	20	punct
23	HAP	hap	NOUN	O	BS	20	appos
24	,	,	PUNCT	O	O	25	punct
25	Benzoapyrène	Benzoapyrène	PROPN	O	BS	23	conj
26	,	,	PUNCT	O	O	27	punct
27	Benzène	benzène	NOUN	O	BS	23	conj
28	,	,	PUNCT	O	O	29	punct
29	cyanures	cyanure	NOUN	O	BS	23	conj
30	totaux	total	ADJ	O	ES	29	amod
31	,	,	PUNCT	O	O	23	punct
32	...	...	PUNCT	O	O	20	punct
33	)	)	PUNCT	O	O	4	punct
34	ainsi	ainsi	ADV	O	O	37	cc
