
#77.0112
#Après une activité industrielle de plus de cent ans dans la fabrication de tubes en cuivre, laiton, maillechort puis plus récemment en plastique PVC, la Société MUELLER EUROPE a cessé son activité le 4 mars 2003.
1	Après	après	ADP	BR	O	3	case
2	une	un	DET	BA	O	3	det
3	activité	activité	NOUN	IA	O	33	obl:mod
4	industrielle	industriel	ADJ	IA	O	3	amod
5	de	de	ADP	IA	O	9	case
6	plus	plus	ADV	IA	O	8	advmod
7	de	de	ADP	IA	O	6	fixed
8	cent	cent	NUM	IA	O	9	nummod
9	ans	an	NOUN	IA	O	3	nmod
10	dans	dans	ADP	IA	O	12	case
11	la	le	DET	IA	O	12	det
12	fabrication	fabrication	NOUN	IA	O	3	nmod
13	de	de	ADP	IA	O	14	case
14	tubes	tube	NOUN	IA	O	12	nmod
15	en	en	ADP	IA	O	16	case
16	cuivre	cuivre	NOUN	EA	BS	14	nmod
17	,	,	PUNCT	O	O	18	punct
18	laiton	laiton	NOUN	O	BS	16	conj
19	,	,	PUNCT	O	O	20	punct
20	maillechort	maillechort	NOUN	O	BS	16	conj
21	puis	puis	CCONJ	O	O	25	cc
22	plus	plus	ADV	O	O	23	advmod
23	récemment	récemment	ADV	O	O	25	advmod
24	en	en	ADP	O	O	25	case
25	plastique	plastique	NOUN	O	BS	16	conj
26	PVC	pvc	NOUN	O	BS	25	nmod
27	,	,	PUNCT	O	O	33	punct
28	la	le	DET	BO	BI	29	det
29	Société	société	NOUN	IO	II	33	nsubj
30	MUELLER	MUELLER	PROPN	EO	EI	29	nmod
31	EUROPE	EUROPE	PROPN	EO	EI	29	nmod
32	a	avoir	AUX	BN	O	33	aux:tense
33	cessé	cesser	VERB	EN	O	33	ROOT
34	son	son	DET	BO	O	35	det
35	activité	activité	NOUN	EO	O	33	obj
36	le	le	DET	BT	O	37	det
37	4	4	NUM	IT	O	33	obl:mod
38	mars	mars	NOUN	IT	O	37	nmod
39	2003	2003	NUM	ET	O	38	nmod
40	.	.	PUNCT	ET	O	33	punct


#Le site, d’une superficie d’environ 6,5 ha est implanté dans le village de LONGUEVILLE.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	12	nsubj:pass
3	,	,	PUNCT	O	O	2	punct
4	d’	d’	ADP	O	O	6	case
5	une	un	DET	O	O	6	det
6	superficie	superficie	NOUN	O	O	2	nmod
7	d’	d’	ADP	O	O	10	case
8	environ	environ	ADV	O	O	10	advmod
9	6,5	6,5	NUM	O	O	10	nummod
10	ha	ha	NOUN	O	O	6	nmod
11	est	être	AUX	BR	O	12	aux:pass
12	implanté	implanter	VERB	BR	O	12	ROOT
13	dans	dans	ADP	BL	O	15	case
14	le	le	DET	IL	O	15	det
15	village	village	NOUN	IL	O	12	obl:arg
16	de	de	ADP	IL	O	17	case
17	LONGUEVILLE	LONGUEVILLE	PROPN	EL	O	15	nmod
18	.	.	PUNCT	O	O	12	punct


#Il est bâti sur un peu moins de la moitié du terrain.
1	Il	il	PRON	O	O	3	nsubj:pass
2	est	être	AUX	O	O	3	aux:pass
3	bâti	bâtir	VERB	BN	O	3	ROOT
4	sur	sur	ADP	EN	O	10	case
5	un	un	DET	O	O	7	advmod
6	peu	peu	ADV	O	O	5	fixed
7	moins	moins	ADV	O	O	10	advmod
8	de	de	ADP	O	O	10	case
9	la	le	DET	O	O	10	det
10	moitié	moitié	NOUN	O	O	3	obl:mod
11	du	de	ADP	BO	O	12	case
12	terrain	terrain	NOUN	EO	O	10	nmod
13	.	.	PUNCT	O	O	3	punct


#La partie la plus ancienne de l’usine est désaffectée depuis une vingtaine d’années et les bâtiments ont été complètement murés.
1	La	le	DET	BO	O	2	det
2	partie	partie	NOUN	IO	O	10	nsubj:pass
3	la	le	DET	IO	O	5	det
4	plus	plus	ADV	IO	O	5	advmod
5	ancienne	ancien	ADJ	IO	O	2	amod
6	de	de	ADP	IO	O	8	case
7	l’	l’	DET	IO	O	8	det
8	usine	usine	NOUN	EO	O	2	nmod
9	est	être	AUX	BN	O	10	aux:pass
10	désaffectée	désaffecter	VERB	EN	O	10	ROOT
11	depuis	depuis	ADP	BT	O	13	case
12	une	un	DET	IT	O	13	det
13	vingtaine	vingtaine	NOUN	IT	O	10	obl:mod
14	d’	d’	ADP	IT	O	15	case
15	années	année	NOUN	ET	O	13	nmod
16	et	et	CCONJ	O	O	22	cc
17	les	le	DET	BO	O	18	det
18	bâtiments	bâtiment	NOUN	EO	O	22	nsubj:pass
19	ont	avoir	AUX	BN	O	22	aux:tense
20	été	être	AUX	IN	O	22	aux:pass
21	complètement	complètement	ADV	IN	O	22	advmod
22	murés	murer	VERB	EN	O	10	conj
23	.	.	PUNCT	O	O	10	punct


#Le reste du site est entièrement clôturé.
1	Le	le	DET	O	O	2	det
2	reste	reste	NOUN	O	O	7	nsubj:pass
3	du	de	ADP	O	O	4	case
4	site	site	NOUN	O	O	2	nmod
5	est	être	AUX	O	O	7	aux:pass
6	entièrement	entièrement	ADV	O	O	7	advmod
7	clôturé	clôturer	VERB	O	O	7	ROOT
8	.	.	PUNCT	O	O	7	punct


#Le site est bordé au nord par la voie ferrée pour la partie la plus ancienne de l'usine, à l'ouest par le cours d'eau "la Voulzie" et à l'est par des surfaces boisées et des habitations.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj:pass
3	est	être	AUX	O	O	4	aux:pass
4	bordé	border	VERB	BL	O	4	ROOT
5	au	au	ADP	IL	O	6	case
6	nord	nord	NOUN	IL	O	4	obl:mod
7	par	par	ADP	IL	O	9	case
8	la	le	DET	IL	O	9	det
9	voie	voie	NOUN	IL	O	4	obl:agent
10	ferrée	ferré	ADJ	EL	O	9	amod
11	pour	pour	ADP	O	O	13	case
12	la	le	DET	BO	O	13	det
13	partie	partie	NOUN	EO	O	4	obl:mod
14	la	le	DET	O	O	16	det
15	plus	plus	ADV	O	O	16	advmod
16	ancienne	ancien	ADJ	O	O	13	amod
17	de	de	ADP	O	O	19	case
18	l'	le	DET	BO	O	19	det
19	usine	usine	NOUN	EO	O	13	nmod
20	,	,	PUNCT	O	O	4	punct
21	à	à	ADP	O	O	23	case
22	l'	le	DET	BO	O	23	det
23	ouest	ouest	NOUN	EO	O	26	nmod
24	par	par	ADP	BL	O	26	case
25	le	le	DET	IL	O	26	det
26	cours	cours	NOUN	IL	O	4	obl:mod
27	d'	de	ADP	IL	O	28	case
28	eau	eau	NOUN	IL	O	26	nmod
29	"	"	PUNCT	IL	O	31	punct
30	la	le	DET	IL	O	31	det
31	Voulzie	Voulzie	PROPN	EL	O	26	nmod
32	"	"	PUNCT	O	O	31	punct
33	et	et	CCONJ	O	O	36	cc
34	à	à	ADP	BL	O	36	case
35	l'	le	DET	IL	O	36	det
36	est	est	NOUN	EL	O	26	conj
37	par	par	ADP	O	O	39	case
38	des	un	DET	O	O	39	det
39	surfaces	surface	NOUN	O	O	36	dep
40	boisées	boisé	ADJ	O	O	39	amod
41	et	et	CCONJ	O	O	43	cc
42	des	un	DET	O	O	43	det
43	habitations	habitation	NOUN	O	O	39	conj
44	.	.	PUNCT	O	O	4	punct


#Suite à la fermeture du site, M le Préfet de Seine-et-Marne a imposé, par arrêté préfectoral du 6 mai 2003, au liquidateur de la société MUELLER EUROPE, la réalisation d'un diagnostic initial et d'une étude simplifiée des risques (ESR).
1	Suite	suite	NOUN	BR	O	4	case
2	à	à	ADP	ER	O	1	fixed
3	la	le	DET	BN	O	4	det
4	fermeture	fermeture	NOUN	IA	O	14	obl:mod
5	du	de	ADP	IA	O	6	case
6	site	site	NOUN	EA	O	4	nmod
7	,	,	PUNCT	O	O	14	punct
8	M	m	NOUN	BO	O	14	nsubj
9	le	le	DET	IO	BI	10	det
10	Préfet	préfet	NOUN	IO	EI	8	nmod
