
#91.0026
#L\'activité du site était dédiée à la fabrication de joints.
1	L\'activité	l\'activité	DET	IO	O	5	nsubj:pass
2	du	de	ADP	IO	O	3	case
3	site	site	NOUN	EO	O	1	nmod
4	était	être	AUX	BR	O	5	aux:pass
5	dédiée	dédier	VERB	IR	O	5	ROOT
6	à	à	ADP	ER	O	8	case
7	la	le	DET	IA	O	8	det
8	fabrication	fabrication	NOUN	IA	O	5	obl:arg
9	de	de	ADP	IA	O	10	case
10	joints	joint	NOUN	EA	O	8	nmod
11	.	.	PUNCT	O	O	5	punct


#L\'établissement était autorisé par arrêté préfectoral du 14 décembre 1992 cependant certaines activités ayant cessé, le site est passé sous le régime de la déclaration en février 2001.
1	L\'établissement	l\'établissement	DET	EO	O	3	nsubj:pass
2	était	être	AUX	O	O	3	aux:pass
3	autorisé	autoriser	VERB	BO	O	20	advcl
4	par	par	ADP	BO	O	5	case
5	arrêté	arrêté	NOUN	BO	O	3	obl:mod
6	préfectoral	préfectoral	ADJ	EO	O	5	amod
7	du	de	ADP	O	O	8	case
8	14	14	NUM	BT	O	5	nmod
9	décembre	décembre	NOUN	IT	O	8	nmod
10	1992	1992	NUM	ET	O	9	nmod
11	cependant	cependant	ADV	O	O	15	advmod
12	certaines	certain	DET	BO	O	13	det
13	activités	activité	NOUN	EO	O	15	nsubj
14	ayant	avoir	AUX	BN	O	15	aux:tense
15	cessé	cesser	VERB	EN	O	3	advcl
16	,	,	PUNCT	O	O	20	punct
17	le	le	DET	BO	O	18	det
18	site	site	NOUN	EO	O	20	nsubj
19	est	être	AUX	BN	O	20	aux:tense
20	passé	passer	VERB	EN	O	20	ROOT
21	sous	sous	ADP	BR	O	23	case
22	le	le	DET	BN	O	23	det
23	régime	régime	NOUN	IN	O	20	obl:arg
24	de	de	ADP	IN	O	26	case
25	la	le	DET	IN	O	26	det
26	déclaration	déclaration	NOUN	EN	O	23	nmod
27	en	en	ADP	BT	O	28	case
28	février	février	NOUN	IT	O	20	obl:mod
29	2001	2001	NUM	ET	O	28	nmod
30	.	.	PUNCT	O	O	20	punct


#La société SOFAJOINT a cessé définitivement ses activités le 1er février 2003.
1	La	le	DET	BO	BI	2	det
2	société	société	NOUN	IO	II	5	nsubj
3	SOFAJOINT	SOFAJOINT	PROPN	EO	EI	2	nmod
4	a	avoir	AUX	BN	O	5	aux:tense
5	cessé	cesser	VERB	IN	O	5	ROOT
6	définitivement	définitivement	ADV	IN	O	5	advmod
7	ses	son	DET	IN	O	8	det
8	activités	activité	NOUN	EN	O	5	obj
9	le	le	DET	BT	O	10	det
10	1er	premier	ADJ	IT	O	5	obl:mod
11	février	février	NOUN	IT	O	10	nmod
12	2003	2003	NUM	ET	O	11	nmod
13	.	.	PUNCT	ET	O	5	punct


#CE SITE A ETE A L\'ORIGINE D\'UNE POLLUTION DE LA RIVIERE ORGE DUE A UN DEVERSEMENT CHRONIQUE DE TOLUENE.
1	CE	ce	DET	BO	O	2	det
2	SITE	site	NOUN	EO	O	6	nsubj
3	A	avoir	AUX	BR	O	6	aux:tense
4	ETE	ete	AUX	IR	O	6	cop
5	A	à	ADP	ER	O	6	case
6	L\'ORIGINE	l\'origine	NOUN	EN	O	6	ROOT
7	D\'UNE	d\'une	ADP	BN	O	8	case
8	POLLUTION	pollution	NOUN	EN	EI	6	nmod
9	DE	de	ADP	IL	EI	11	case
10	LA	le	DET	IL	EI	11	det
11	RIVIERE	riviere	NOUN	IL	EI	8	nmod
12	ORGE	orge	NOUN	EL	EI	11	nmod
13	DUE	devoir	VERB	IR	EI	12	acl
14	A	à	ADP	ER	EI	16	case
15	UN	un	DET	BN	EI	16	det
16	DEVERSEMENT	deversement	NOUN	BN	EI	13	obl:arg
17	CHRONIQUE	chronique	NOUN	EN	EI	16	amod
18	DE	de	ADP	O	EI	19	case
19	TOLUENE	toluene	NOUN	BO	EI	17	nmod
20	.	.	PUNCT	O	O	20	ROOT


#LA NAPPE D\'ACCOMPAGNEMENT DE LA RIVIERE A PRESENTE EGALEMENT DES TRACES DE POLLUTION.
1	LA	le	DET	BO	O	2	det
2	NAPPE	nappe	NOUN	EO	O	2	ROOT
3	D\'ACCOMPAGNEMENT	d\'accompagnement	NOUN	EN	EI	2	nmod
4	DE	de	ADP	O	EI	6	case
5	LA	le	DET	BO	EI	6	det
6	RIVIERE	riviere	NOUN	EL	EI	3	nmod
7	A	à	ADP	BR	O	8	mark
8	PRESENTE	presente	VERB	IR	O	2	acl
9	EGALEMENT	egalement	ADV	IR	O	8	advmod
10	DES	de	ADP	BO	O	11	case
11	TRACES	trace	NOUN	IO	EI	9	nmod
12	DE	de	ADP	IO	EI	13	case
13	POLLUTION	pollution	NOUN	EA	EI	11	nmod
14	.	.	PUNCT	O	O	2	punct


#DES TRAVAUX DE MODIFICATION DES INSTALLATIONS POUR REMEDIER AU REJET ONT ETE REALISES EN JUIN 2000 (associés à un suivi de la qualité des rejets).
1	DES	un	DET	BN	O	2	det
2	TRAVAUX	travail	NOUN	IN	O	13	nsubj:pass
3	DE	de	ADP	IN	O	4	case
4	MODIFICATION	modification	NOUN	EN	II	2	nmod
5	DES	de	ADP	O	EI	6	case
6	INSTALLATIONS	installation	NOUN	EN	EI	4	nmod
7	POUR	pour	ADP	O	EI	8	mark
8	REMEDIER	remedier	VERB	O	EI	4	acl
9	AU	au	ADP	O	EI	10	case
10	REJET	rejet	NOUN	EN	EI	8	obl:arg
11	ONT	avoir	AUX	BN	O	13	aux:tense
12	ETE	ete	AUX	EN	O	13	aux:pass
13	REALISES	realiser	VERB	EN	O	13	ROOT
14	EN	en	ADP	BT	O	15	case
15	JUIN	juin	NOUN	IT	O	13	obl:mod
16	2000	2000	NUM	ET	O	15	nmod
17	(	(	PUNCT	O	O	13	punct
18	associés	associer	ADJ	O	O	13	advcl
19	à	à	ADP	O	O	21	case
20	un	un	DET	BA	O	21	det
21	suivi	suivi	NOUN	IA	O	18	obl:arg
22	de	de	ADP	IA	O	24	case
23	la	le	DET	IA	O	24	det
24	qualité	qualité	NOUN	IA	O	21	nmod
25	des	de	ADP	IA	O	26	case
26	rejets	rejet	NOUN	EA	O	24	nmod
27	)	)	PUNCT	O	O	13	punct
28	.	.	PUNCT	O	O	13	punct


#Toute trace de la pollution chronique a disparu.
1	Toute	tout	DET	O	O	2	det
2	trace	trace	NOUN	O	O	8	nsubj
3	de	de	ADP	O	O	5	case
4	la	le	DET	O	O	5	det
5	pollution	pollution	NOUN	O	O	2	nmod
6	chronique	chronique	ADJ	O	O	5	amod
7	a	avoir	AUX	O	O	8	aux:tense
8	disparu	disparaître	VERB	O	O	8	ROOT
9	.	.	PUNCT	O	O	8	punct


#Cet établissement a fait l\'objet de \"l\'action nationale amiante\" en 2006, qui consistait à réexaminer la situation des anciens sites industriels d\'exploitation ou de transformation d\'amiante.
1	Cet	ce	DET	BO	O	2	det
2	établissement	établissement	NOUN	EO	O	4	nsubj
3	a	avoir	AUX	BR	O	4	aux:tense
4	fait	faire	VERB	IR	O	4	ROOT
5	l\'objet	l\'objet	DET	IR	O	4	obj
6	de	de	ADP	ER	O	7	case
7	\"l\'action	\"l\'action	NOUN	IO	O	4	obl:arg
8	nationale	national	ADJ	IO	O	7	amod
9	amiante\	amiante\	PUNCT	EO	O	7	nmod
10	"	"	PUNCT	O	O	7	punct
11	en	en	ADP	BT	O	12	case
12	2006	2006	NUM	ET	O	4	obl:mod
13	,	,	NUM	ET	O	4	punct
14	qui	qui	PRON	O	O	15	nsubj
15	consistait	consister	VERB	O	O	4	acl:relcl
16	à	à	ADP	O	O	17	mark
17	réexaminer	réexaminer	VERB	EN	O	15	xcomp
18	la	le	DET	BO	O	19	det
19	situation	situation	NOUN	EO	O	17	obj
20	des	de	ADP	O	O	22	case
21	anciens	ancien	ADJ	BO	O	22	amod
22	sites	site	NOUN	IO	O	19	nmod
23	industriels	industriel	ADJ	IO	O	22	amod
24	d\'exploitation	d\'exploitation	ADP	BA	O	24	ROOT
25	ou	ou	CCONJ	IA	O	27	cc
26	de	de	ADP	IA	O	27	case
27	transformation	transformation	NOUN	IA	O	24	conj
28	d\'amiante	d\'amiante	ADP	EO	O	27	nummod
29	.	.	PUNCT	O	O	29	ROOT


#Dans ce cadre, à la demande de l\'inspection des installations classées, la société SOFAJOINT, reprise par le groupe LATTY  INTERNATIONAL, a transmis le 20 septembre 2005 un dossier technique de synthèse, rappelant l’historique de l’exploitation de l’unité de Viry-Châtillon et explicitant les actions de nettoyage effectuées sur le site.
1	Dans	dans	ADP	O	O	3	case
2	ce	ce	DET	O	O	3	det
3	cadre	cadre	NOUN	O	O	23	obl:mod
4	,	,	PUNCT	O	O	23	punct
5	à	à	ADP	BR	O	7	case
6	la	le	DET	IR	O	7	det
7	demande	demande	NOUN	IR	O	23	obl:mod
8	de	de	ADP	ER	O	11	case
9	l\'inspection	l\'inspection	DET	IO	O	11	det
10	des	de	ADP	IO	O	11	case
11	installations	installation	NOUN	IO	O	7	nmod
12	classées	classer	VERB	EO	O	11	acl
13	,	,	PUNCT	O	O	23	punct
14	la	le	DET	BO	BI	15	det
15	société	société	NOUN	IO	II	23	nsubj
16	SOFAJOINT	SOFAJOINT	PROPN	EO	EI	15	flat:name
17	,	,	PUNCT	O	O	15	punct
18	reprise	reprendre	VERB	O	O	15	acl
19	par	par	ADP	O	O	21	case
20	le	le	DET	BO	BI	21	det
21	groupe	groupe	NOUN	BO	II	18	obl:agent
22	LATTY	LATTY	PROPN	EO	EI	21	nmod
23	 	 	SPACE	EO	EI	23	dep
24	INTERNATIONAL	INTERNATIONAL	PROPN	EO	EI	23	flat:name
25	,	,	PUNCT	BN	O	27	punct
26	a	avoir	AUX	EN	O	27	aux:tense
27	transmis	transmettre	VERB	EN	O	27	ROOT
28	le	le	DET	BT	O	29	det
29	20	20	NUM	IT	O	27	obl:mod
30	septembre	septembre	NOUN	IT	O	29	nmod
31	2005	2005	NUM	ET	O	30	nmod
32	un	un	DET	BO	O	33	det
33	dossier	dossier	NOUN	BO	O	27	obj
34	technique	technique	ADJ	EO	O	33	amod
35	de	de	ADP	O	O	36	case
36	synthèse	synthèse	NOUN	O	O	33	nmod
37	,	,	PUNCT	O	O	33	punct
38	rappelant	rappeler	VERB	O	O	33	acl
39	l’	l’	DET	O	O	40	det
40	historique	historique	NOUN	O	O	38	obj
41	de	de	ADP	O	O	43	case
42	l’	l’	DET	BN	O	43	det
43	exploitation	exploitation	NOUN	EN	O	40	nmod
44	de	de	ADP	BO	O	46	case
45	l’	l’	DET	EN	O	46	det
46	unité	unité	NOUN	EN	O	43	nmod
47	de	de	ADP	BL	O	48	case
48	Viry	Viry	PROPN	BL	O	46	nmod
49	-	-	PROPN	BL	O	46	nmod
50	Châtillon	Châtillon	PROPN	EL	O	46	nmod
51	et	et	CCONJ	BR	O	52	cc
52	explicitant	expliciter	VERB	BR	O	38	conj
53	les	le	DET	BN	O	54	det
54	actions	action	NOUN	IN	O	52	obj
55	de	de	ADP	IN	O	56	case
56	nettoyage	nettoyage	NOUN	EN	O	54	nmod
57	effectuées	effectuer	VERB	O	O	54	acl
58	sur	sur	ADP	O	O	60	case
59	le	le	DET	O	O	60	det
60	site	site	NOUN	O	O	57	obl:mod
61	.	.	PUNCT	O	O	27	punct


#D’autre part, l’exploitant a indiqué que le site était entièrement bétonné, même du temps de la société MAJAC, ancien fournisseur de SOFAJOINT, et a insisté sur l’impossibilité d’enfouir des déchets.
1	D’	d’	ADP	O	O	3	case
2	autre	autre	ADJ	O	O	3	amod
3	part	part	NOUN	O	O	8	obl:mod
4	,	,	PUNCT	O	O	8	punct
5	l’	l’	DET	BO	O	6	det
6	exploitant	exploitant	NOUN	EO	O	8	nsubj
7	a	avoir	AUX	O	O	8	aux:tense
8	indiqué	indiquer	VERB	O	O	8	ROOT
9	que	que	SCONJ	O	O	14	mark
10	le	le	DET	BO	O	11	det
11	site	site	NOUN	EO	O	14	nsubj:pass
12	était	être	AUX	O	O	14	aux:pass
13	entièrement	entièrement	ADV	O	O	14	advmod
14	bétonné	bétonner	VERB	BO	O	8	ccomp
15	,	,	PUNCT	O	O	14	punct
16	même	même	ADV	O	O	18	advmod
17	du	de	ADP	O	O	18	case
18	temps	temps	NOUN	O	O	14	obl:mod
19	de	de	ADP	O	O	21	case
20	la	le	DET	BO	BI	21	det
