
#69.0079
#Localisation, réseau hydrographique, géologie et hydrogéologie
1	Localisation	localisation	NOUN	O	O	1	ROOT
2	,	,	PUNCT	O	O	3	punct
3	réseau	réseau	NOUN	O	O	1	conj
4	hydrographique	hydrographique	ADJ	O	O	3	amod
5	,	,	PUNCT	O	O	6	punct
6	géologie	géologie	NOUN	O	O	1	conj
7	et	et	CCONJ	O	O	8	cc
8	hydrogéologie	hydrogéologie	NOUN	EN	O	1	conj


#Le site est localisé sur la ZAC d'Yvours, route d'Irigny à Pierre-Bénite (69).
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj:pass
3	est	être	AUX	O	O	4	aux:pass
4	localisé	localiser	VERB	BL	O	4	ROOT
5	sur	sur	ADP	IL	O	7	case
6	la	le	DET	IL	O	7	det
7	ZAC	zac	NOUN	IL	O	4	obl:arg
8	d'	de	ADP	IL	O	9	case
9	Yvours	Yvours	PROPN	IL	O	7	nmod
10	,	,	PUNCT	IL	O	7	punct
11	route	route	NOUN	IL	O	4	obl:mod
12	d'	de	ADP	IL	O	13	case
13	Irigny	Irigny	PROPN	IL	O	11	nmod
14	à	à	ADP	IL	O	15	case
15	Pierre-Bénite	Pierre-Bénite	PROPN	IL	O	4	obl:mod
16	(	(	PUNCT	EL	O	15	punct
17	69	69	NUM	EL	O	15	appos
18	)	)	PUNCT	EL	O	4	punct
19	.	.	PUNCT	O	O	4	punct


#La superficie totale du site est d'environ 25 ha.
1	La	le	DET	O	O	2	det
2	superficie	superficie	NOUN	O	O	6	nsubj
3	totale	total	ADJ	O	O	2	amod
4	du	de	ADP	O	O	5	case
5	site	site	NOUN	O	O	2	nmod
6	est	être	AUX	O	O	7	cop
7	d'	de	ADP	O	O	10	case
8	environ	environ	ADV	O	O	10	advmod
9	25	25	NUM	O	O	10	nummod
10	ha	ha	NOUN	O	O	10	ROOT
11	.	.	PUNCT	O	O	11	ROOT


#La rivière "la Mouche" borde la limite ouest du terrain avec un écoulement se dirigeant du nord-ouest vers le sud-est.
1	La	le	DET	O	O	2	det
2	rivière	rivière	NOUN	O	O	7	nsubj
3	"	"	PUNCT	O	O	5	punct
4	la	le	DET	O	O	5	det
5	Mouche	Mouche	PROPN	O	O	2	nmod
6	"	"	PUNCT	O	O	5	punct
7	borde	borde	VERB	BL	O	7	ROOT
8	la	le	DET	IL	O	9	det
9	limite	limite	NOUN	IL	O	7	obj
10	ouest	ouest	NOUN	IL	O	9	amod
11	du	de	ADP	IL	O	12	case
12	terrain	terrain	NOUN	EO	O	9	nmod
13	avec	avec	ADP	O	O	15	case
14	un	un	DET	BN	O	15	det
15	écoulement	écoulement	NOUN	IL	O	7	obl:mod
16	se	se	PRON	IL	O	17	expl:comp
17	dirigeant	diriger	VERB	IL	O	15	acl
18	du	de	ADP	IL	O	19	case
19	nord-ouest	nord-ouest	NOUN	IL	O	17	obl:arg
20	vers	vers	ADP	IL	O	22	case
21	le	le	DET	IL	O	22	det
22	sud-est	sud-est	NOUN	IL	O	19	nmod
23	.	.	PUNCT	O	O	7	punct


#Le Rhône est positionné à 200 m à l'est des limites de l'emprise du site, il s'écoule du nord au sud.
1	Le	le	DET	BO	O	2	det
2	Rhône	Rhône	PROPN	EO	O	4	nsubj:pass
