
#50.0016
#Ancienne fonderie (bronze, aluminium, plomb et fonte) et chaudronnerie, créée en 1929 par M.
1	Ancienne	ancien	ADJ	O	O	2	amod
2	fonderie	fonderie	NOUN	BA	O	2	ROOT
3	(	(	PUNCT	O	O	2	punct
4	bronze	bronze	NOUN	O	BS	2	appos
5	,	,	PUNCT	O	O	6	punct
6	aluminium	aluminium	NOUN	BO	BS	4	conj
7	,	,	PUNCT	O	O	8	punct
8	plomb	plomb	NOUN	O	BS	4	conj
9	et	et	CCONJ	O	O	10	cc
10	fonte	fonte	NOUN	O	O	4	conj
11	)	)	PUNCT	O	O	2	punct
12	et	et	CCONJ	O	O	13	cc
13	chaudronnerie	chaudronnerie	NOUN	BA	O	2	conj
14	,	,	PUNCT	O	O	2	punct
15	créée	créer	VERB	BN	O	2	acl
16	en	en	ADP	IN	O	17	case
17	1929	1929	NUM	ET	O	15	obl:mod
18	par	par	ADP	O	O	19	case
19	M.	m.	NOUN	BO	BI	15	obl:agent


#Truffert.
1	Truffert	Truffert	PROPN	O	O	1	ROOT
2	.	.	PUNCT	O	O	2	ROOT


#Le site se situe en zone urbaine.
1	Le	le	DET	BO	O	2	det
2	site	site	NOUN	EO	O	4	nsubj
3	se	se	PRON	BL	O	4	expl:comp
4	situe	situe	VERB	IL	O	4	ROOT
5	en	en	ADP	IL	O	6	case
6	zone	zone	NOUN	IL	O	4	obl:arg
7	urbaine	urbain	ADJ	EL	O	6	amod
8	.	.	PUNCT	O	O	4	punct


#Les nuisances générées par le site sur le voisinage (bruit, vibration, retombées de cendres…) conduisent à la fermeture de l'atelier fonderie en 1976.
1	Les	le	DET	BO	O	2	det
2	nuisances	nuisance	NOUN	EO	O	20	nsubj
3	générées	générer	VERB	O	O	2	acl
4	par	par	ADP	O	O	6	case
5	le	le	DET	BO	O	6	det
6	site	site	NOUN	EO	O	3	obl:agent
7	sur	sur	ADP	O	O	9	case
8	le	le	DET	O	O	9	det
9	voisinage	voisinage	NOUN	O	O	3	obl:mod
10	(	(	PUNCT	O	O	9	punct
11	bruit	bruit	NOUN	O	O	9	appos
12	,	,	PUNCT	O	O	13	punct
13	vibration	vibration	NOUN	O	O	11	conj
14	,	,	PUNCT	O	O	15	punct
15	retombées	retombée	NOUN	O	O	11	conj
16	de	de	ADP	O	O	17	case
17	cendres	cendre	NOUN	O	O	15	nmod
18	…	…	PUNCT	O	O	9	punct
19	)	)	PUNCT	O	O	2	punct
20	conduisent	conduire	VERB	O	O	20	ROOT
21	à	à	ADP	O	O	23	case
22	la	le	DET	ER	O	23	det
23	fermeture	fermeture	NOUN	IO	O	20	obl:arg
24	de	de	ADP	IO	O	26	case
25	l'	le	DET	IO	O	26	det
26	atelier	atelier	NOUN	IO	O	23	nmod
27	fonderie	fonderie	NOUN	EO	O	26	nmod
28	en	en	ADP	EO	O	29	case
29	1976	1976	NUM	BT	O	23	nmod
30	.	.	PUNCT	ET	O	20	punct


#Les activités de chaudronnerie se sont poursuivies jusqu'au début des années 1990.
1	Les	le	DET	BA	O	2	det
2	activités	activité	NOUN	IA	O	7	nsubj
3	de	de	ADP	IA	O	4	case
4	chaudronnerie	chaudronnerie	NOUN	IA	O	2	nmod
5	se	se	PRON	BN	O	7	expl:comp
6	sont	être	AUX	IN	O	7	aux:tense
7	poursuivies	poursuivre	VERB	IN	O	7	ROOT
8	jusqu'	jusque	ADP	BT	O	10	case
9	au	au	ADP	IT	O	10	case
10	début	début	NOUN	IT	O	7	obl:mod
11	des	de	ADP	IT	O	12	case
12	années	année	NOUN	IT	O	10	nmod
13	1990	1990	NUM	ET	O	12	nummod
14	.	.	PUNCT	O	O	7	punct


#En 1990, la société Herlicq devient le nouvel exploitant.
1	En	en	ADP	BT	O	2	case
2	1990	1990	PUNCT	ET	O	7	obl:mod
3	,	,	PUNCT	ET	O	7	punct
4	la	le	DET	BO	BI	5	det
5	société	société	NOUN	IO	II	7	nsubj
6	Herlicq	Herlicq	PROPN	EO	EI	5	nmod
7	devient	devenir	VERB	BR	O	7	ROOT
8	le	le	DET	BO	O	10	det
9	nouvel	nouveau	ADJ	IO	O	10	amod
10	exploitant	exploitant	NOUN	EO	O	7	xcomp
11	.	.	PUNCT	O	O	7	punct


#Aucune déclaration de cessation d'activité n'ayant été transmise, la date de fermeture des ateliers reste inconnue.
1	Aucune	aucun	DET	O	O	2	det
2	déclaration	déclaration	NOUN	O	O	10	nsubj:pass
3	de	de	ADP	O	O	4	case
4	cessation	cessation	NOUN	BN	O	2	nmod
5	d'	de	ADP	IN	O	6	case
6	activité	activité	NOUN	EN	O	4	nmod
7	n'	n'	ADV	O	O	10	advmod
8	ayant	avoir	AUX	O	O	10	aux:tense
9	été	être	AUX	O	O	10	aux:pass
10	transmise	transmettre	VERB	O	O	18	advcl
11	,	,	PUNCT	O	O	18	punct
12	la	le	DET	BO	O	13	det
13	date	date	NOUN	IO	O	18	nsubj
14	de	de	ADP	IO	O	15	case
15	fermeture	fermeture	NOUN	IO	O	13	nmod
16	des	de	ADP	IO	O	17	case
17	ateliers	atelier	NOUN	EO	O	15	nmod
18	reste	reste	VERB	O	O	18	ROOT
19	inconnue	inconnu	ADJ	O	O	18	xcomp
20	.	.	PUNCT	O	O	18	punct


#La municipalité a acquis le site en 1997 pour y exercer des activités de stockage de matériels.
1	La	le	DET	BO	O	2	det
2	municipalité	municipalité	NOUN	EO	O	4	nsubj
3	a	avoir	AUX	BN	O	4	aux:tense
4	acquis	acquérir	VERB	EN	O	4	ROOT
5	le	le	DET	BO	O	6	det
6	site	site	NOUN	EO	O	4	obj
7	en	en	ADP	BT	O	8	case
8	1997	1997	NUM	ET	O	4	obl:mod
9	pour	pour	ADP	O	O	11	mark
10	y	y	PRON	O	O	11	iobj
11	exercer	exercer	VERB	BA	O	4	advcl
12	des	un	DET	BA	O	13	det
13	activités	activité	NOUN	IA	O	11	obj
14	de	de	ADP	IA	O	15	case
