
#974.0013

#Ensemble enterré de 2 pipe-lines (fuel domestique et fuel lourd) reliant les postes de déchargement des pétroliers au dépôt d'hydrocarbures de la société SRE.
1	Ensemble	ADJ	O	_
2	enterré	NOUN	O	_
3	de	ADP	O	_
4	2	NUM	O	_
5	pipe	ADJ	O	_
6	-	PUNCT	O	_
7	lines	ADJ	O	_
8	(	PUNCT	O	_
9	fuel	AUX	BS	_
10	domestique	ADJ	O	_
11	et	CCONJ	O	_
12	fuel	ADJ	BS	_
13	lourd	PROPN	BS	_
14	)	PUNCT	O	_
15	reliant	VERB	O	_
16	les	DET	O	_
17	postes	NOUN	O	_
18	de	ADP	O	_
19	déchargement	ADV	O	_
20	des	DET	O	_
21	pétroliers	NOUN	O	_
22	au	X	O	_
23	dépôt	NOUN	O	_
24	d'	ADP	O	_
25	hydrocarbures	NOUN	BS	_
26	de	ADP	O	_
27	la	DET	BI	_
28	société	NOUN	II	_
29	SRE	NOUN	EI	_
30	.	PUNCT	O	_


#Le 3 mars 2001 la société SRE a découvert une fuite sur le pipe-line fuel lourd lors du déchargement d'un pétrolier.
1	Le	DET	O	_
2	3	NUM	O	_
3	mars	NOUN	O	_
4	2001	NUM	O	_
5	la	DET	BI	_
6	société	NOUN	II	_
7	SRE	NOUN	EI	_
8	a	AUX	O	_
9	découvert	VERB	O	_
10	une	DET	O	_
11	fuite	NOUN	O	_
12	sur	ADP	O	_
13	le	DET	O	_
14	pipe	NOUN	O	_
15	-	PUNCT	O	_
16	line	NOUN	O	_
17	fuel	AUX	BU	_
18	lourd	PROPN	EU	_
19	lors	ADV	O	_
20	du	DET	O	_
21	déchargement	NOUN	O	_
22	d'	ADP	O	_
23	un	DET	O	_
24	pétrolier	NOUN	O	_
25	.	PUNCT	O	_


#A la demande de la DRIRE, des investigations ont été menées par la société SRE pour déterminer le lieu et l'origine de la fuite constatée.
1	A	ADP	O	_
2	la	DET	O	_
3	demande	NOUN	O	_
4	de	ADP	O	_
5	la	DET	BI	_
6	DRIRE	NOUN	EI	_
7	,	PUNCT	O	_
8	des	DET	O	_
9	investigations	NOUN	O	_
10	ont	AUX	O	_
11	été	AUX	O	_
12	menées	VERB	O	_
13	par	ADP	O	_
14	la	DET	BI	_
15	société	NOUN	II	_
16	SRE	NOUN	EI	_
17	pour	ADP	O	_
18	déterminer	VERB	O	_
19	le	DET	O	_
20	lieu	NOUN	O	_
21	et	CCONJ	O	_
22	l'	DET	O	_
23	origine	NOUN	O	_
24	de	ADP	O	_
25	la	DET	O	_
26	fuite	NOUN	O	_
27	constatée	VERB	O	_
28	.	PUNCT	O	_


#Ceci a conduit la DRIRE à proposer au Préfet de prescrire à la société SRE la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	Ceci	PRON	O	_
2	a	AUX	O	_
3	conduit	VERB	O	_
4	la	DET	BI	_
5	DRIRE	NOUN	EI	_
6	à	ADP	O	_
7	proposer	VERB	O	_
8	au	PROPN	O	_
9	Préfet	NOUN	EI	_
10	de	ADP	O	_
11	prescrire	NOUN	O	_
12	à	ADP	O	_
13	la	DET	BI	_
14	société	NOUN	II	_
15	SRE	NOUN	EI	_
16	la	DET	O	_
17	réalisation	NOUN	O	_
18	d'	ADP	O	_
19	un	DET	O	_
20	diagnostic	NOUN	O	_
21	initial	ADJ	O	_
22	et	CCONJ	O	_
23	d'	ADP	O	_
24	une	DET	O	_
25	évaluation	NOUN	O	_
26	simplifiée	ADP	O	_
27	des	DET	O	_
28	risques	NOUN	O	_
29	.	PUNCT	O	_


#L'arrêté préfectoral du 16/07/2001 impose la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	L'	DET	O	_
2	arrêté	PROPN	O	_
3	préfectoral	ADJ	O	_
4	du	DET	O	_
5	16/07/2001	NOUN	O	_
6	impose	VERB	O	_
7	la	DET	O	_
8	réalisation	NOUN	O	_
9	d'	ADP	O	_
10	un	DET	O	_
11	diagnostic	NOUN	O	_
12	initial	ADJ	O	_
13	et	CCONJ	O	_
14	d'	ADP	O	_
15	une	DET	O	_
16	évaluation	NOUN	O	_
17	simplifiée	ADP	O	_
18	des	DET	O	_
19	risques	NOUN	O	_
20	.	PUNCT	O	_


#Ces éléments sont reçus le 16/10/2001 puis complétés le 01/10/2002.
1	Ces	DET	O	_
2	éléments	NOUN	O	_
3	sont	AUX	O	_
4	reçus	VERB	O	_
5	le	DET	O	_
6	16/10/2001	PRON	O	_
7	puis	CCONJ	O	_
8	complétés	VERB	O	_
9	le	DET	O	_
10	01/10/2002	PROPN	O	_
11	.	PUNCT	O	_


#L'arrêté préfectoral n°03-612/SG/DRCTCV du 14 mars 2003 a prescrit une surveillance des eaux souterraines arrêtée en mars 2004, suite à la réception du rapport final de suivi de la pollution des sols en novembre 2003.
1	L'	DET	O	_
2	arrêté	NOUN	O	_
3	préfectoral	ADJ	O	_
4	n	NOUN	O	_
5	°	NOUN	O	_
6	03	NUM	O	_
7	-	PUNCT	O	_
8	612	NUM	O	_
9	/	PUNCT	O	_
10	SG	NOUN	BI	_
11	/	PUNCT	EI	_
12	DRCTCV	PROPN	EI	_
13	du	DET	O	_
14	14	NUM	O	_
15	mars	NOUN	O	_
16	2003	NUM	O	_
17	a	AUX	O	_
18	prescrit	VERB	O	_
19	une	DET	O	_
20	surveillance	NOUN	O	_
21	des	DET	O	_
22	eaux	NOUN	O	_
23	souterraines	ADJ	O	_
24	arrêtée	VERB	O	_
25	en	ADP	O	_
26	mars	NOUN	O	_
27	2004	NUM	O	_
28	,	PUNCT	O	_
29	suite	NOUN	O	_
30	à	ADP	O	_
31	la	DET	O	_
32	réception	NOUN	O	_
33	du	DET	O	_
34	rapport	NOUN	O	_
35	final	ADJ	O	_
36	de	ADP	O	_
37	suivi	NOUN	O	_
38	de	ADP	O	_
39	la	DET	O	_
40	pollution	NOUN	O	_
41	des	DET	O	_
42	sols	NOUN	O	_
43	en	ADP	O	_
44	novembre	NOUN	O	_
45	2003	NUM	O	_
46	.	PUNCT	O	_


#Suite à nouvelle pollution au fioul lourd sur la canalisation de transport, constatée le 27 février 2006, l'arrêté préfectoral du 17 août 2006 a prescrit à la SRE la réalisation d'un diagnostic de la zone impactée par le déversement accidentel d'hydrocarbures dans les sols.
1	Suite	NOUN	O	_
2	à	ADP	O	_
3	nouvelle	ADJ	O	_
4	pollution	NOUN	O	_
5	au	PROPN	O	_
6	fioul	ADJ	BU	_
7	lourd	PROPN	EU	_
8	sur	ADP	O	_
9	la	DET	O	_
10	canalisation	NOUN	O	_
11	de	ADP	O	_
12	transport	NOUN	O	_
13	,	PUNCT	O	_
14	constatée	VERB	O	_
