
#974.0013
#Ensemble enterré de 2 pipe-lines (fuel domestique et fuel lourd) reliant les postes de déchargement des pétroliers au dépôt d'hydrocarbures de la société SRE.
1	Ensemble	ensemble	O	_
2	enterré	enterrer	O	_
3	de	de	O	_
4	2	2	O	_
5	pipe	pipe	O	_
6	-	-	O	_
7	lines	line	O	_
8	(	(	O	_
9	fuel	fuel	BS	_
10	domestique	domestique	O	_
11	et	et	O	_
12	fuel	fuel	BS	_
13	lourd	lourd	BS	_
14	)	)	O	_
15	reliant	relier	O	_
16	les	le	O	_
17	postes	poste	O	_
18	de	de	O	_
19	déchargement	déchargement	O	_
20	des	de	O	_
21	pétroliers	pétrolier	O	_
22	au	au	O	_
23	dépôt	dépôt	O	_
24	d'	de	O	_
25	hydrocarbures	hydrocarbure	BS	_
26	de	de	O	_
27	la	le	BI	_
28	société	société	II	_
29	SRE	SRE	EI	_
30	.	.	O	_


#Le 3 mars 2001 la société SRE a découvert une fuite sur le pipe-line fuel lourd lors du déchargement d'un pétrolier.
1	Le	le	O	_
2	3	3	O	_
3	mars	mars	O	_
4	2001	2001	O	_
5	la	le	BI	_
6	société	société	II	_
7	SRE	SRE	EI	_
8	a	avoir	O	_
9	découvert	découvrir	O	_
10	une	un	O	_
11	fuite	fuite	O	_
12	sur	sur	O	_
13	le	le	O	_
14	pipe	pipe	O	_
15	-	-	O	_
16	line	line	O	_
17	fuel	fuel	BU	_
18	lourd	lourd	EU	_
19	lors	lors	O	_
20	du	de	O	_
21	déchargement	déchargement	O	_
22	d'	de	O	_
23	un	un	O	_
24	pétrolier	pétrolier	O	_
25	.	.	O	_


#A la demande de la DRIRE, des investigations ont été menées par la société SRE pour déterminer le lieu et l'origine de la fuite constatée.
1	A	à	O	_
2	la	le	O	_
3	demande	demande	O	_
4	de	de	O	_
5	la	le	BI	_
6	DRIRE	DRIRE	EI	_
7	,	,	O	_
8	des	un	O	_
9	investigations	investigation	O	_
10	ont	avoir	O	_
11	été	être	O	_
12	menées	mener	O	_
13	par	par	O	_
14	la	le	BI	_
15	société	société	II	_
16	SRE	SRE	EI	_
17	pour	pour	O	_
18	déterminer	déterminer	O	_
19	le	le	O	_
20	lieu	lieu	O	_
21	et	et	O	_
22	l'	le	O	_
23	origine	origine	O	_
24	de	de	O	_
25	la	le	O	_
26	fuite	fuite	O	_
27	constatée	constater	O	_
28	.	.	O	_


#Ceci a conduit la DRIRE à proposer au Préfet de prescrire à la société SRE la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	Ceci	ceci	O	_
2	a	avoir	O	_
3	conduit	conduire	O	_
4	la	le	BI	_
5	DRIRE	DRIRE	EI	_
6	à	à	O	_
7	proposer	proposer	O	_
8	au	au	O	_
9	Préfet	préfet	EI	_
10	de	de	O	_
11	prescrire	prescrire	O	_
12	à	à	O	_
13	la	le	BI	_
14	société	société	II	_
15	SRE	SRE	EI	_
16	la	le	O	_
17	réalisation	réalisation	O	_
18	d'	de	O	_
19	un	un	O	_
20	diagnostic	diagnostic	O	_
21	initial	initial	O	_
22	et	et	O	_
23	d'	de	O	_
24	une	un	O	_
25	évaluation	évaluation	O	_
26	simplifiée	simplifier	O	_
27	des	de	O	_
28	risques	risque	O	_
29	.	.	O	_


#L'arrêté préfectoral du 16/07/2001 impose la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques.
1	L'	le	O	_
2	arrêté	arrêté	O	_
3	préfectoral	préfectoral	O	_
4	du	de	O	_
5	16/07/2001	16/07/2001	O	_
6	impose	impose	O	_
7	la	le	O	_
8	réalisation	réalisation	O	_
9	d'	de	O	_
10	un	un	O	_
11	diagnostic	diagnostic	O	_
12	initial	initial	O	_
13	et	et	O	_
14	d'	de	O	_
15	une	un	O	_
16	évaluation	évaluation	O	_
17	simplifiée	simplifier	O	_
18	des	de	O	_
19	risques	risque	O	_
20	.	.	O	_


#Ces éléments sont reçus le 16/10/2001 puis complétés le 01/10/2002.
1	Ces	ce	O	_
2	éléments	élément	O	_
3	sont	être	O	_
4	reçus	recevoir	O	_
5	le	le	O	_
6	16/10/2001	16/10/2001	O	_
7	puis	puis	O	_
8	complétés	compléter	O	_
9	le	le	O	_
10	01/10/2002	01/10/2002	O	_
11	.	.	O	_


#L'arrêté préfectoral n°03-612/SG/DRCTCV du 14 mars 2003 a prescrit une surveillance des eaux souterraines arrêtée en mars 2004, suite à la réception du rapport final de suivi de la pollution des sols en novembre 2003.
1	L'	le	O	_
2	arrêté	arrêté	O	_
3	préfectoral	préfectoral	O	_
4	n°	numéro	O	_
5	03	03	O	_
6	-	-	O	_
7	612	612	O	_
8	/	/	O	_
9	SG	SG	BI	_
10	/	/	EI	_
11	DRCTCV	DRCTCV	EI	_
12	du	de	O	_
13	14	14	O	_
14	mars	mars	O	_
15	2003	2003	O	_
16	a	avoir	O	_
17	prescrit	prescrire	O	_
