
#13.0076
#EUROCOPTER ( ex SNIAS ) à Marignane -13-
1	EUROCOPTER	EUROCOPTER	EI	_
2	(	(	O	_
3	ex	ex	O	_
4	SNIAS	SNIAS	EI	_
5	)	)	O	_
6	à	à	O	_
7	Marignane	Marignane	O	_
8	-13-	-13-	O	_


#* Ce site en activité est implanté à Marignane depuis 1936 à proximité de l'étang de Berre sur une superficie d'environ 70 ha.
1	*	*	O	_
2	Ce	ce	O	_
3	site	site	O	_
4	en	en	O	_
5	activité	activité	O	_
6	est	être	O	_
7	implanté	implanter	O	_
8	à	à	O	_
9	Marignane	Marignane	O	_
10	depuis	depuis	O	_
11	1936	1936	O	_
12	à	à	O	_
13	proximité	proximité	O	_
14	de	de	O	_
15	l'	le	O	_
16	étang	étang	O	_
17	de	de	O	_
18	Berre	Berre	O	_
19	sur	sur	O	_
20	une	un	O	_
21	superficie	superficie	O	_
22	d'	de	O	_
23	environ	environ	O	_
24	70	70	O	_
25	ha	ha	O	_
26	.	.	O	_


#* L'établissement est spécialisé dans l'assemblage des pièces pour hélicoptères (production annuelle de 300 unités) avec les activités de traitement de surface : métallisation par dépôts électrolytiques de cadmium, nickel, chrome, ...), mécanique de précisions.
1	*	*	O	_
2	L'	le	O	_
3	établissement	établissement	O	_
4	est	être	O	_
5	spécialisé	spécialiser	O	_
6	dans	dans	O	_
7	l'	le	O	_
8	assemblage	assemblage	O	_
9	des	de	O	_
10	pièces	pièce	O	_
11	pour	pour	O	_
12	hélicoptères	hélicoptère	O	_
13	(	(	O	_
14	production	production	O	_
15	annuelle	annuel	O	_
16	de	de	O	_
17	300	300	O	_
18	unités	unité	O	_
19	)	)	O	_
20	avec	avec	O	_
21	les	le	O	_
22	activités	activité	O	_
23	de	de	O	_
24	traitement	traitement	O	_
25	de	de	O	_
26	surface	surface	O	_
27	:	:	O	_
28	métallisation	métallisation	O	_
29	par	par	O	_
30	dépôts	dépôt	O	_
31	électrolytiques	électrolytique	O	_
32	de	de	O	_
33	cadmium	cadmium	BS	_
34	,	,	O	_
35	nickel	nickel	BS	_
36	,	,	O	_
37	chrome	chrome	BS	_
38	,	,	O	_
39	...	...	O	_
40	)	)	O	_
41	,	,	O	_
42	mécanique	mécanique	O	_
43	de	de	O	_
44	précisions	précision	O	_
45	.	.	O	_


#* L'établissement est équipé d'une STEP de détoxication des eaux de rinçage de traitement de surface.
1	*	*	O	_
2	L'	le	O	_
3	établissement	établissement	O	_
4	est	être	O	_
5	équipé	équiper	O	_
6	d'	de	O	_
7	une	un	O	_
8	STEP	step	O	_
9	de	de	O	_
10	détoxication	détoxication	O	_
11	des	de	O	_
12	eaux	eau	O	_
13	de	de	O	_
14	rinçage	rinçage	O	_
15	de	de	O	_
16	traitement	traitement	O	_
17	de	de	O	_
18	surface	surface	O	_
19	.	.	O	_


#* Autorisé par AP du 26/10/1993 et 03/01/2000.
1	*	*	O	_
2	Autorisé	autoriser	O	_
3	par	par	O	_
4	AP	ap	O	_
5	du	de	O	_
6	26/10/1993	26/10/1993	O	_
7	et	et	O	_
8	03/01/2000	03/01/2000	O	_
9	.	.	O	_


#* L'ESR prescrite par l'AP du 16/06/1999 a été remise en janvier 2002 et classe le site en catégorie 2.
