
#73.0020
#Il s'agit d'une décharge de 3,3 hectares, exploitée conjointement de 1965 à 1977  par la collectivité pour les ordures ménagères et par la société PLACOPLÂTRE pour ses propres déchets : déchets de plaques de plâtre (rebus de fabrication), polystyrène, laine minérale et de polyuréthane, colle et carton.
1	Il	il	O	_
2	s'	se	O	_
3	agit	agir	O	_
4	d'	de	O	_
5	une	un	O	_
6	décharge	décharge	O	_
7	de	de	O	_
8	3,3	3,3	O	_
9	hectares	hectare	O	_
10	,	,	O	_
11	exploitée	exploiter	O	_
12	conjointement	conjointement	O	_
13	de	de	O	_
14	1965	1965	O	_
15	à	à	O	_
16	1977	1977	O	_
17	 	 	O	_
18	par	par	O	_
19	la	le	O	_
20	collectivité	collectivité	O	_
21	pour	pour	O	_
22	les	le	O	_
23	ordures	ordure	O	_
24	ménagères	ménager	O	_
25	et	et	O	_
26	par	par	BI	_
27	la	le	BI	_
28	société	société	II	_
29	PLACOPLÂTRE	PLACOPLÂTRE	EI	_
30	pour	pour	O	_
31	ses	son	O	_
32	propres	propre	O	_
33	déchets	déchet	O	_
34	:	:	O	_
35	déchets	déchet	O	_
36	de	de	O	_
37	plaques	plaque	O	_
38	de	de	O	_
39	plâtre	plâtre	O	_
40	(	(	O	_
41	rebus	rebu	O	_
42	de	de	O	_
43	fabrication	fabrication	O	_
44	)	)	O	_
45	,	,	O	_
46	polystyrène	polystyrène	BS	_
47	,	,	BU	_
48	laine	laine	BU	_
49	minérale	minéral	EU	_
50	et	et	O	_
51	de	de	BS	_
52	polyuréthane	polyuréthane	BS	_
53	,	,	O	_
54	colle	colle	O	_
55	et	et	O	_
56	carton	carton	O	_
57	.	.	O	_


#De 1977 à 1995, la société PLACOPLÂTRE a été seul exploitant pour ses déchets.
1	De	de	O	_
2	1977	1977	O	_
3	à	à	O	_
4	1995	1995	O	_
5	,	,	O	_
6	la	le	BI	_
7	société	société	II	_
8	PLACOPLÂTRE	PLACOPLÂTRE	EI	_
9	a	avoir	O	_
10	été	être	O	_
11	seul	seul	O	_
12	exploitant	exploitant	O	_
