
#33.0084
#Ancien site de créosotage du bois.
1	Ancien	ancien	O	_
2	site	site	O	_
3	de	de	O	_
4	créosotage	créosotage	O	_
5	du	de	O	_
6	bois	bois	O	_
7	.	.	O	_


#La Sté Anonyme des Ets Armand Beaumartin acquière l'usine de St Médard d'Eyrans en 1913 pour la fabrication :
1	La	le	O	_
2	Sté	sté	II	_
3	Anonyme	anonyme	II	_
4	des	de	II	_
5	Ets	et	II	_
6	Armand	Armand	II	_
7	Beaumartin	Beaumartin	EI	_
8	acquière	acquérir	O	_
9	l'	le	O	_
10	usine	usine	O	_
11	de	de	O	_
12	St	St	O	_
13	Médard	Médard	O	_
14	d'	de	O	_
15	Eyrans	Eyrans	O	_
16	en	en	O	_
17	1913	1913	O	_
18	pour	pour	O	_
19	la	le	O	_
20	fabrication	fabrication	O	_
21	:	:	O	_


#- de poteaux en bois et leur imprégnation d'une solution aqueuse de sulfate de cuivre : procédé du Docteur Boucherie
1	-	-	O	_
2	de	de	O	_
3	poteaux	poteau	O	_
4	en	en	O	_
5	bois	bois	O	_
6	et	et	O	_
7	leur	leur	O	_
8	imprégnation	imprégnation	O	_
9	d'	de	O	_
10	une	un	O	_
11	solution	solution	O	_
12	aqueuse	aqueux	O	_
13	de	de	O	_
14	sulfate	sulfate	BS	_
15	de	de	O	_
16	cuivre	cuivre	BS	_
17	:	:	O	_
18	procédé	procédé	O	_
19	du	de	O	_
20	Docteur	docteur	BI	_
21	Boucherie	Boucherie	EI	_


#- de traverses de chemin de fer et leur imprégnation avec de la créosole, à l'aide d'autoclaves par vide et pression.
1	-	-	O	_
2	de	de	O	_
3	traverses	traverse	O	_
4	de	de	O	_
5	chemin	chemin	O	_
6	de	de	O	_
7	fer	fer	O	_
8	et	et	O	_
9	leur	leur	O	_
10	imprégnation	imprégnation	O	_
11	avec	avec	O	_
12	de	de	O	_
13	la	le	O	_
14	créosole	créosole	BS	_
15	,	,	O	_
16	à	à	O	_
17	l'	le	O	_
18	aide	aide	O	_
19	d'	de	O	_
20	autoclaves	autoclave	O	_
21	par	par	O	_
22	vide	vide	O	_
23	et	et	O	_
24	pression	pression	O	_
25	.	.	O	_


#Le démantèlement des installations Boucherie et la modernisation de la fabrication des poteaux par la mise en place d'un autoclave pour injecter la solution de sulfate de cuivre a lieu en 1950.
1	Le	le	O	_
2	démantèlement	démantèlement	O	_
3	des	de	O	_
4	installations	installation	O	_
5	Boucherie	boucherie	O	_
6	et	et	O	_
7	la	le	O	_
8	modernisation	modernisation	O	_
9	de	de	O	_
10	la	le	O	_
11	fabrication	fabrication	O	_
12	des	de	O	_
13	poteaux	poteau	O	_
14	par	par	O	_
15	la	le	O	_
16	mise	mise	O	_
17	en	en	O	_
18	place	place	O	_
19	d'	de	O	_
20	un	un	O	_
21	autoclave	autoclave	O	_
22	pour	pour	O	_
23	injecter	injecter	O	_
24	la	le	O	_
25	solution	solution	O	_
26	de	de	O	_
27	sulfate	sulfate	BS	_
28	de	de	O	_
29	cuivre	cuivre	BS	_
30	a	avoir	O	_
31	lieu	lieu	O	_
