
#64.0007
#TOTAL E&P France exploite une plate-forme industrielle à Lacq (64).
1	TOTAL	TOTAL	EI	_
2	E&P	E&P	EI	_
3	France	France	EI	_
4	exploite	exploite	O	_
5	une	un	O	_
6	plate	plate	O	_
7	-	-	O	_
8	forme	forme	O	_
9	industrielle	industriel	O	_
10	à	à	O	_
11	Lacq	Lacq	O	_
12	(	(	O	_
13	64	64	O	_
14	)	)	O	_
15	.	.	O	_


#D'une surface de 220 hectares environ, l'usine de Lacq traite et transforme le gaz des gisements avoisinants.
1	D'	de	O	_
2	une	un	O	_
3	surface	surface	O	_
4	de	de	O	_
5	220	220	O	_
6	hectares	hectare	O	_
7	environ	environ	O	_
8	,	,	O	_
9	l'	le	O	_
10	usine	usine	O	_
11	de	de	O	_
12	Lacq	Lacq	O	_
13	traite	traire	O	_
14	et	et	O	_
15	transforme	transforme	O	_
16	le	le	O	_
17	gaz	gaz	O	_
18	des	de	O	_
19	gisements	gisement	O	_
20	avoisinants	avoisinant	O	_
21	.	.	O	_


#Le site se trouve le long du Gave de Pau à une vingtaine de km de la ville de Pau.
1	Le	le	O	_
2	site	site	O	_
3	se	se	O	_
4	trouve	trouve	O	_
5	le	le	O	_
6	long	long	O	_
7	du	de	O	_
8	Gave	Gave	O	_
9	de	de	O	_
10	Pau	Pau	O	_
11	à	à	O	_
12	une	un	O	_
13	vingtaine	vingtaine	O	_
14	de	de	O	_
15	km	kilomètre	O	_
16	de	de	O	_
17	la	le	O	_
18	ville	ville	O	_
19	de	de	O	_
20	Pau	Pau	O	_
21	.	.	O	_


#L’activité industrielle du Lotissement a démarré en 1957, après la découverte de Lacq Supérieur (pétrole) et Lacq Profond (gaz) en 1949/1951.
1	L’	l’	O	_
2	activité	activité	O	_
3	industrielle	industriel	O	_
4	du	de	O	_
5	Lotissement	Lotissement	O	_
6	a	avoir	O	_
7	démarré	démarrer	O	_
8	en	en	O	_
9	1957	1957	O	_
10	,	,	O	_
11	après	après	O	_
12	la	le	O	_
13	découverte	découverte	O	_
14	de	de	O	_
15	Lacq	Lacq	O	_
16	Supérieur	supérieur	O	_
17	(	(	O	_
18	pétrole	pétrole	O	_
19	)	)	O	_
20	et	et	O	_
21	Lacq	Lacq	O	_
22	Profond	profond	O	_
23	(	(	O	_
24	gaz	gaz	O	_
25	)	)	O	_
26	en	en	O	_
27	1949/1951	1949/1951	O	_
28	.	.	O	_


#L’usine a été construite sur une zone à vocation agricole.
1	L’	l’	O	_
2	usine	usine	O	_
3	a	avoir	O	_
4	été	être	O	_
5	construite	construire	O	_
6	sur	sur	O	_
7	une	un	O	_
8	zone	zone	O	_
9	à	à	O	_
10	vocation	vocation	O	_
11	agricole	agricole	O	_
12	.	.	O	_


#Les activités étaient alors localisées à la partie Nord du Lotissement actuel.
1	Les	le	O	_
2	activités	activité	O	_
3	étaient	être	O	_
4	alors	alors	O	_
5	localisées	localiser	O	_
6	à	à	O	_
7	la	le	O	_
8	partie	partie	O	_
9	Nord	nord	O	_
10	du	de	O	_
11	Lotissement	lotissement	O	_
12	actuel	actuel	O	_
13	.	.	O	_


#L’extension vers la partie Sud ne se fait que vers 1976.
