
#12.0012
#Unité de fabrication d'injecteurs et bougies de préchauffage pour véhicules routiers, comportant un atelier d'usinage des métaux et de traitement de surfaces.
1	Unité	unité	O	_
2	de	de	O	_
3	fabrication	fabrication	O	_
4	d'	de	O	_
5	injecteurs	injecteur	O	_
6	et	et	O	_
7	bougies	bougie	O	_
8	de	de	O	_
9	préchauffage	préchauffage	O	_
10	pour	pour	O	_
11	véhicules	véhicule	O	_
12	routiers	routier	O	_
13	,	,	O	_
14	comportant	comporter	O	_
15	un	un	O	_
16	atelier	atelier	O	_
17	d'	de	O	_
18	usinage	usinage	O	_
19	des	de	O	_
20	métaux	métal	O	_
21	et	et	O	_
22	de	de	O	_
23	traitement	traitement	O	_
24	de	de	O	_
25	surfaces	surface	O	_
26	.	.	O	_


#Elle est soumise à :
1	Elle	lui	O	_
2	est	être	O	_
3	soumise	soumettre	O	_
4	à	à	O	_
5	:	:	O	_


#- l'arrêté préfectoral du 28 juillet 1993, autorisant à poursuivre l'exploitation d'un établissement de fabrication d'accessoires mécaniques, notamment pour l'automobile;
1	-	-	O	_
2	l'	le	O	_
3	arrêté	arrêté	O	_
4	préfectoral	préfectoral	O	_
5	du	de	O	_
6	28	28	O	_
7	juillet	juillet	O	_
8	1993	1993	O	_
9	,	,	O	_
10	autorisant	autoriser	O	_
11	à	à	O	_
12	poursuivre	poursuivre	O	_
13	l'	le	O	_
14	exploitation	exploitation	O	_
15	d'	de	O	_
16	un	un	O	_
17	établissement	établissement	O	_
18	de	de	O	_
19	fabrication	fabrication	O	_
20	d'	de	O	_
21	accessoires	accessoire	O	_
22	mécaniques	mécanique	O	_
23	,	,	O	_
24	notamment	notamment	O	_
25	pour	pour	O	_
26	l'	le	O	_
27	automobile	automobile	O	_
28	;	;	O	_


#- l'arrêté préfectoral complémentaire du 29 octobre 2004, imposant des prescriptions techniques pour l'exploitation d'une installation de réfrigération comportant des tours de réfrigération;
1	-	-	O	_
2	l'	le	O	_
3	arrêté	arrêté	O	_
4	préfectoral	préfectoral	O	_
5	complémentaire	complémentaire	O	_
6	du	de	O	_
7	29	29	O	_
8	octobre	octobre	O	_
9	2004	2004	O	_
10	,	,	O	_
11	imposant	imposer	O	_
12	des	un	O	_
13	prescriptions	prescription	O	_
14	techniques	technique	O	_
15	pour	pour	O	_
16	l'	le	O	_
17	exploitation	exploitation	O	_
18	d'	de	O	_
19	une	un	O	_
20	installation	installation	O	_
21	de	de	O	_
22	réfrigération	réfrigération	O	_
23	comportant	comporter	O	_
24	des	un	BU	_
25	tours	tour	IU	_
26	de	de	IU	_
27	réfrigération	réfrigération	EU	_
28	;	;	O	_


#- l'arrêté préfectoral d'autorisation d'exploiter une usine de fabrication d'équipements pour automobiles du 11 mai 2005, annulant et remplaçant les prescriptions des arrêtés préfectoraux du 28 juillet 1993 ainsi que du 29 octobre 2004.
1	-	-	O	_
2	l'	le	O	_
3	arrêté	arrêté	O	_
4	préfectoral	préfectoral	O	_
5	d'	de	O	_
6	autorisation	autorisation	O	_
7	d'	de	O	_
8	exploiter	exploiter	O	_
9	une	un	O	_
10	usine	usine	O	_
11	de	de	O	_
12	fabrication	fabrication	O	_
13	d'	de	O	_
14	équipements	équipement	O	_
15	pour	pour	O	_
16	automobiles	automobile	O	_
17	du	de	O	_
18	11	11	O	_
19	mai	mai	O	_
20	2005	2005	O	_
21	,	,	O	_
22	annulant	annuler	O	_
23	et	et	O	_
24	remplaçant	remplacer	O	_
25	les	le	O	_
26	prescriptions	prescription	O	_
27	des	de	O	_
28	arrêtés	arrêté	O	_
29	préfectoraux	préfectoral	O	_
30	du	de	O	_
31	28	28	O	_
32	juillet	juillet	O	_
33	1993	1993	O	_
34	ainsi	ainsi	O	_
35	que	que	O	_
36	du	de	O	_
37	29	29	O	_
38	octobre	octobre	O	_
39	2004	2004	O	_
40	.	.	O	_


#Le 10 octobre 2007, l'entreprise a déclaré l'exploitation d'un stockage d'huiles (V OIL 1412) en cuve de 25 m3.
1	Le	le	O	_
2	10	10	O	_
3	octobre	octobre	O	_
4	2007	2007	O	_
5	,	,	O	_
6	l'	le	O	_
7	entreprise	entreprise	O	_
8	a	avoir	O	_
9	déclaré	déclarer	O	_
10	l'	le	O	_
11	exploitation	exploitation	O	_
12	d'	de	O	_
13	un	un	O	_
14	stockage	stockage	BD	_
15	d'	de	O	_
16	huiles	huile	O	_
17	(	(	O	_
18	V	v	O	_
19	OIL	OIL	EI	_
20	1412	1412	O	_
21	)	)	O	_
22	en	en	O	_
23	cuve	cuve	O	_
24	de	de	O	_
25	25	25	O	_
26	m3	m3	O	_
27	.	.	O	_


#Le site est situé au Nord de la rivière Aveyron (masse d'eau n°	FRFR200), qui est de bonne qualité écologique et physico-chimique.
1	Le	le	O	_
2	site	site	O	_
3	est	être	O	_
4	situé	situer	O	_
5	au	au	O	_
6	Nord	nord	O	_
7	de	de	O	_
8	la	le	O	_
9	rivière	rivière	O	_
10	Aveyron	Aveyron	O	_
11	(	(	O	_
12	masse	masse	O	_
13	d'	de	O	_
14	eau	eau	O	_
15	n°	numéro	O	_
16				_
17	FRFR200	FRFR200	O	_
18	)	)	O	_
19	,	,	O	_
20	qui	qui	O	_
21	est	être	O	_
22	de	de	O	_
23	bonne	bon	O	_
24	qualité	qualité	O	_
25	écologique	écologique	O	_
26	et	et	O	_
27	physico	physico	O	_
28	-	-	O	_
29	chimique	chimique	O	_
30	.	.	O	_


#Les activités exercées sur le site étant susceptibles d'avoir été à l'origine d'une pollution éventuelle du sol, l'exploitant s'est engagé par écrit du 7 octobre 1996 à réaliser un diagnostic initial et une évaluation simplifiée des risques.
1	Les	le	O	_
2	activités	activité	O	_
3	exercées	exercer	O	_
4	sur	sur	O	_
5	le	le	O	_
6	site	site	O	_
7	étant	être	O	_
8	susceptibles	susceptible	O	_
9	d'	de	O	_
10	avoir	avoir	O	_
11	été	être	O	_
12	à	à	O	_
13	l'	le	O	_
14	origine	origine	O	_
15	d'	de	O	_
16	une	un	O	_
17	pollution	pollution	O	_
18	éventuelle	éventuel	O	_
19	du	de	O	_
20	sol	sol	O	_
21	,	,	O	_
22	l'	le	O	_
23	exploitant	exploitant	O	_
24	s'	se	O	_
25	est	être	O	_
26	engagé	engager	O	_
27	par	par	O	_
28	écrit	écrit	O	_
29	du	de	O	_
30	7	7	O	_
31	octobre	octobre	O	_
32	1996	1996	O	_
33	à	à	O	_
34	réaliser	réaliser	O	_
35	un	un	O	_
