
#95.0008
#Le Joint Français (Groupe TOTAL) exerce son activité industrielle sur la commune de Bezons.
1	Le	le	BI	_
2	Joint	joint	BI	_
3	Français	français	BI	_
4	(	(	BI	_
5	Groupe	groupe	BI	_
6	TOTAL	TOTAL	EI	_
7	)	)	O	_
8	exerce	exercer	O	_
9	son	son	O	_
10	activité	activité	O	_
11	industrielle	industriel	O	_
12	sur	sur	O	_
13	la	le	O	_
14	commune	commune	O	_
15	de	de	O	_
16	Bezons	Bezons	O	_
17	.	.	O	_


#Son installation est située sur deux parcelles voisines dont l'une exploitée depuis 1994 seulement.
1	Son	son	O	_
2	installation	installation	O	_
3	est	être	O	_
4	située	situer	O	_
5	sur	sur	O	_
6	deux	deux	O	_
7	parcelles	parcelle	O	_
8	voisines	voisin	O	_
9	dont	dont	O	_
10	l'	le	O	_
11	une	un	O	_
12	exploitée	exploiter	O	_
13	depuis	depuis	O	_
14	1994	1994	O	_
15	seulement	seulement	O	_
16	.	.	O	_


#Son activité majeure est la fabrication de mastics et de joints caoutchouc.
1	Son	son	O	_
2	activité	activité	O	_
3	majeure	majeur	O	_
4	est	être	O	_
5	la	le	O	_
6	fabrication	fabrication	O	_
7	de	de	O	_
8	mastics	mastic	O	_
9	et	et	O	_
10	de	de	O	_
11	joints	joint	O	_
12	caoutchouc	caoutchouc	O	_
13	.	.	O	_


#Le site se trouve en bord de Seine en zone industrielle.
1	Le	le	O	_
2	site	site	O	_
3	se	se	O	_
4	trouve	trouve	O	_
5	en	en	O	_
6	bord	bord	O	_
7	de	de	O	_
8	Seine	Seine	O	_
9	en	en	O	_
10	zone	zone	O	_
11	industrielle	industriel	O	_
12	.	.	O	_


#Ce site a été retenu pour la réalisation d'un diagnostic initial et d'une étude simplifiée des risques en application d'une démarche systématique sur certains sites industriels (circulaire du 3 avril 1996).
1	Ce	ce	O	_
2	site	site	O	_
3	a	avoir	O	_
4	été	être	O	_
5	retenu	retenir	O	_
6	pour	pour	O	_
7	la	le	O	_
8	réalisation	réalisation	O	_
9	d'	de	O	_
10	un	un	O	_
11	diagnostic	diagnostic	O	_
12	initial	initial	O	_
13	et	et	O	_
14	d'	de	O	_
15	une	un	O	_
