
#67.0104
#Terril situé sur l'ancien siège Daniel Mieg de l'ancienne exploitation pétrolière de Pechelbronn, à proximité des puits III et VII.
1	Terril	Terril	O	_
2	situé	situer	O	_
3	sur	sur	O	_
4	l'	le	O	_
5	ancien	ancien	O	_
6	siège	siège	O	_
7	Daniel	Daniel	O	_
8	Mieg	Mieg	O	_
9	de	de	O	_
10	l'	le	O	_
11	ancienne	ancien	O	_
12	exploitation	exploitation	O	_
13	pétrolière	pétrolier	O	_
14	de	de	O	_
15	Pechelbronn	Pechelbronn	O	_
16	,	,	O	_
17	à	à	O	_
18	proximité	proximité	O	_
19	des	de	O	_
20	puits	puits	O	_
21	III	III	O	_
22	et	et	O	_
23	VII	vii	O	_
24	.	.	O	_


#Il se trouve entouré de parcelles agricoles et des anciens batiments miniers (rasés en 2012).
1	Il	il	O	_
2	se	se	O	_
3	trouve	trouve	O	_
4	entouré	entourer	O	_
5	de	de	O	_
6	parcelles	parcelle	O	_
7	agricoles	agricole	O	_
8	et	et	O	_
9	des	de	O	_
10	anciens	ancien	O	_
11	batiments	batiment	O	_
12	miniers	minier	O	_
13	(	(	O	_
14	rasés	raser	O	_
15	en	en	O	_
16	2012	2012	O	_
17	)	)	O	_
18	.	.	O	_


#Le terril n'est plus stable et s'affaisse.
1	Le	le	O	_
2	terril	terril	O	_
3	n'	n'	O	_
4	est	être	O	_
5	plus	plus	O	_
6	stable	stable	O	_
7	et	et	O	_
8	s'	se	O	_
9	affaisse	affaisse	O	_
10	.	.	O	_


#Une étude de stabilité a été menée dès 1985 par le BRGM (rapport BRGM 85 SGAL 061).
1	Une	un	O	_
2	étude	étude	O	_
3	de	de	O	_
4	stabilité	stabilité	O	_
5	a	avoir	O	_
6	été	être	O	_
7	menée	mener	O	_
8	dès	dès	O	_
9	1985	1985	O	_
10	par	par	O	_
11	le	le	BI	_
12	BRGM	BRGM	EI	_
13	(	(	O	_
14	rapport	rapport	O	_
15	BRGM	BRGM	BI	_
16	85	85	O	_
17	SGAL	SGAL	O	_
18	061	061	O	_
19	)	)	O	_
20	.	.	O	_


#Une autre étude menée en 1999 par la société ANTEA a montré que le terril comporte des zones polluées (résidus d'hydrocarbures) dont l'ampleur est difficilement estimable.
1	Une	un	O	_
2	autre	autre	O	_
3	étude	étude	O	_
4	menée	mener	O	_
5	en	en	O	_
6	1999	1999	O	_
7	par	par	O	_
8	la	le	BI	_
9	société	société	II	_
10	ANTEA	ANTEA	EI	_
11	a	avoir	O	_
12	montré	montrer	O	_
13	que	que	O	_
14	le	le	O	_
15	terril	terril	O	_
16	comporte	comporte	O	_
17	des	un	O	_
18	zones	zone	O	_
19	polluées	polluer	O	_
