
#13.0104
#GDF Marseille - Terrains de l'ancienne usine à Gaz (15ème)
1	GDF	GDF	BI	_
2	Marseille	Marseille	EI	_
3	-	-	O	_
4	Terrains	terrain	O	_
5	de	de	O	_
6	l'	le	O	_
7	ancienne	ancien	O	_
8	usine	usine	O	_
9	à	à	O	_
10	Gaz	gaz	O	_
11	(	(	O	_
12	15ème	15ème	O	_
13	)	)	O	_


#Le site de Marseille implanté, rue Allar, a accueilli une usine créée en 1855, ayant fabriqué du gaz à partir de la distillation de la houille jusqu'en 1979.
1	Le	le	O	_
2	site	site	O	_
3	de	de	O	_
4	Marseille	Marseille	O	_
5	implanté	implanter	O	_
6	,	,	O	_
7	rue	rue	O	_
8	Allar	Allar	O	_
9	,	,	O	_
10	a	avoir	O	_
11	accueilli	accueillir	O	_
12	une	un	O	_
13	usine	usine	O	_
14	créée	créer	O	_
15	en	en	O	_
16	1855	1855	O	_
17	,	,	O	_
18	ayant	avoir	O	_
19	fabriqué	fabriquer	O	_
20	du	de	O	_
21	gaz	gaz	O	_
22	à	à	O	_
23	partir	partir	O	_
24	de	de	O	_
25	la	le	O	_
26	distillation	distillation	O	_
27	de	de	O	_
28	la	le	O	_
29	houille	houille	O	_
30	jusqu'	jusque	O	_
31	en	en	O	_
32	1979	1979	O	_
33	.	.	O	_


#Ainsi, des matériaux tels que des liquides contaminés (eaux chargées en HAP,...), des sols imprégnés (HAP, Benzoapyrène, Benzène, cyanures totaux, ...)ainsi que des goudrons pâteux sont présents sur le site.
1	Ainsi	ainsi	O	_
2	,	,	O	_
3	des	un	O	_
4	matériaux	matériau	O	_
5	tels	tel	O	_
6	que	que	O	_
7	des	un	O	_
8	liquides	liquide	O	_
9	contaminés	contaminer	O	_
10	(	(	O	_
11	eaux	eau	O	_
12	chargées	charger	O	_
13	en	en	O	_
14	HAP	hap	BS	_
15	,	,	O	_
16	...	...	O	_
17	)	)	O	_
18	,	,	O	_
19	des	un	O	_
20	sols	sol	O	_
21	imprégnés	imprégner	O	_
22	(	(	O	_
23	HAP	hap	BS	_
24	,	,	O	_
25	Benzoapyrène	Benzoapyrène	BS	_
26	,	,	O	_
27	Benzène	benzène	BS	_
28	,	,	O	_
29	cyanures	cyanure	BS	_
30	totaux	total	ES	_
31	,	,	O	_
32	...	...	O	_
33	)	)	O	_
34	ainsi	ainsi	O	_
35	que	que	O	_
36	des	un	O	_
37	goudrons	goudron	BU	_
38	pâteux	pâteux	EU	_
39	sont	être	O	_
